asset,t,date,method,q01,q05,q1,q5,q9,n_uniq_samples
spx,5343,2021-03-31,exact_cdf_topk50,-0.09297869354486465,-0.07867427915334702,-0.057217661291360855,0.1072831079363823,0.3146970868110657,
spx,5343,2021-03-31,exact_cdf_topk500,-1.4876588582992554,-1.0513743162155151,-0.7652860879898071,0.1430441290140152,1.0513743162155151,
spx,5343,2021-03-31,exact_cdf_untruncated,-2.474663257598877,-1.301701545715332,-0.8868736028671265,0.13589192926883698,1.1157441139221191,
spx,5343,2021-03-31,native_sample_1000_topk50,-0.09297869354486465,-0.0715220719575882,-0.057217661291360855,0.12158751487731934,0.3154123067855837,50.0
spx,5343,2021-03-31,realized_ctx,-4.956006894111633,-2.464138948917389,-1.3076740145683288,0.1346645951271057,1.3820134401321411,
spx,5343,2021-03-31,chronos_bolt_stored,-1.1195015907287598,-1.1195015907287598,-1.1195015907287598,,,
btc,2410,2021-04-24,exact_cdf_topk50,-0.5679879784584045,-0.5130214095115662,-0.4580548405647278,-0.09161099046468735,0.27483290433883667,
btc,2410,2021-04-24,exact_cdf_topk500,-4.122493267059326,-3.3712832927703857,-2.6750400066375732,0.10993318259716034,3.1330947875976562,
btc,2410,2021-04-24,exact_cdf_untruncated,-9.600828170776367,-5.698201656341553,-4.030882358551025,0.14657756686210632,4.8370585441589355,
btc,2410,2021-04-24,native_sample_1000_topk50,-0.5317100822925568,-0.5130214095115662,-0.4580548405647278,-0.07328879833221436,0.29315510392189026,50.0
btc,2410,2021-04-24,realized_ctx,-9.099406423568725,-4.823209595680237,-3.3038766145706178,0.23320093005895615,4.54329977035523,
btc,2410,2021-04-24,chronos_bolt_stored,-2.7591776847839355,-2.7591776847839355,-2.7591776847839355,,,
nvda,5343,2021-03-31,exact_cdf_topk50,-0.6510573625564575,-0.6185044646263123,-0.5696752071380615,-0.24414652585983276,0.2929758131504059,
nvda,5343,2021-03-31,exact_cdf_topk500,-3.6296443939208984,-2.9460344314575195,-2.3600828647613525,0.1302114874124527,2.766993522644043,
nvda,5343,2021-03-31,exact_cdf_untruncated,-6.738442897796631,-4.199319362640381,-3.027416467666626,0.1302114874124527,3.4343271255493164,
nvda,5343,2021-03-31,native_sample_1000_topk50,-0.6510573625564575,-0.602228045463562,-0.5696752071380615,-0.260422945022583,0.32552868127822876,50.0
nvda,5343,2021-03-31,realized_ctx,-7.979425024986267,-4.373590850830078,-3.3140708923339846,0.2973928898572922,3.481142258644105,
nvda,5343,2021-03-31,chronos_bolt_stored,-2.898961067199707,-2.898961067199707,-2.898961067199707,,,
