asset,config,alpha,erule,n,n_alpha,hit_rate,kupiec_stat,kupiec_p_asym,kupiec_p_mc,cc_stat,cc_p_asym,cc_p_mc,dq_p_asym,qs_mean,sigma_tail,prec_floor
aapl,topk50,0.01,e0,2639,26.39,0.3724895793861311,5602.1599914826875,0.0,9.999000099990002e-05,5602.435212217069,0.0,9.999000099990002e-05,0.0,0.4565703333995683,1.366719683241606,0.2660478502149905
aapl,topk50,0.025,e0,2639,65.97500000000001,0.3819628647214854,4009.40861726438,0.0,9.999000099990002e-05,4010.1121548232445,0.0,9.999000099990002e-05,0.0,0.47050703314351955,1.3673545403490488,0.16834159496654305
aapl,topk50,0.05,e0,2639,131.95000000000002,0.38537324744221296,2741.223660187121,0.0,9.999000099990002e-05,2741.780360505151,0.0,9.999000099990002e-05,0.0,0.48608056123259546,1.3683548916751076,0.11912256925869223
aapl,topk500,0.01,e0,2639,26.39,0.0867752936718454,600.5327432159768,1.282103923753433e-132,9.999000099990002e-05,610.8279260411198,2.2929847373210023e-133,9.999000099990002e-05,0.0,0.13990744974194827,1.551253491401802,0.3019694979054385
aapl,topk500,0.025,e0,2639,65.97500000000001,0.09814323607427056,337.19884245993194,2.599681813490756e-75,9.999000099990002e-05,345.1096970182175,1.149162556596072e-75,9.999000099990002e-05,1.3120730126614669e-145,0.18240079066437911,1.5226165938351357,0.187456653241741
aapl,topk500,0.05,e0,2639,131.95000000000002,0.11708980674497915,184.57606692903164,4.856761843178731e-42,9.999000099990002e-05,191.68605088922095,2.3763090417988532e-42,9.999000099990002e-05,1.0783661418825032e-60,0.2441131198207657,1.4824418341948333,0.12905444423827558
aapl,untruncated,0.01,e0,2639,26.39,0.014399393709738537,4.541346183555731,0.03308556283514009,0.036996300369963,4.852386989978527,0.0883725838407454,0.06329367063293671,0.05224520982192109,0.06483297347551242,1.284626304033575,0.2500674210728724
aapl,untruncated,0.025,e0,2639,65.97500000000001,0.027661993179234557,0.7419970602164767,0.38902189860501757,0.413958604139586,1.1825639418126457,0.553617108592734,0.5506449355064493,0.7726277181403602,0.1265516973134859,1.4026139591826217,0.17268255163058557
aapl,untruncated,0.05,e0,2639,131.95000000000002,0.05267146646456991,0.3899856130110493,0.5323069642507776,0.5641435856414359,0.45766763571919,0.7954607138858222,0.788021197880212,0.010628568052781081,0.2051518609710314,1.4020913012747924,0.12205950310058349
audusd,topk50,0.01,e0,2734,27.34,0.3792977322604243,5956.016751190752,0.0,9.999000099990002e-05,5962.430127243706,0.0,9.999000099990002e-05,0.0,0.16984874419609838,0.4183626218071778,0.08001172265186024
audusd,topk50,0.025,e0,2734,68.35000000000001,0.387710314557425,4254.134566523029,0.0,9.999000099990002e-05,4262.939473016757,0.0,9.999000099990002e-05,0.0,0.17572060592885608,0.4188388325795171,0.050661457609785576
audusd,topk50,0.05,e0,2734,136.70000000000002,0.3917337234820775,2926.53949327206,0.0,9.999000099990002e-05,2933.7184833654687,0.0,9.999000099990002e-05,0.0,0.18171742572984917,0.4190974354494546,0.03584517838513846
audusd,topk500,0.01,e0,2734,27.34,0.08266276517922458,572.3386690626185,1.74018379247586e-126,9.999000099990002e-05,572.6674860033397,4.434405780077497e-125,9.999000099990002e-05,0.0,0.038953660057142306,0.462574607282742,0.08846725126595648
audusd,topk500,0.025,e0,2734,68.35000000000001,0.09217264081931237,303.26649136009746,6.399197854871055e-68,9.999000099990002e-05,304.8985566641977,6.196117576086817e-67,9.999000099990002e-05,7.676477834042296e-114,0.05454013530308501,0.45274847213766634,0.0547630633669646
audusd,topk500,0.05,e0,2734,136.70000000000002,0.1141185076810534,176.44091179931934,2.9010535734581486e-40,9.999000099990002e-05,176.64059553976222,4.3952343729182236e-39,9.999000099990002e-05,2.7995987135625196e-52,0.07791538103722831,0.43668128592117456,0.03734911566449797
audusd,untruncated,0.01,e0,2734,27.34,0.011338697878566204,0.4744064955079921,0.4909669287487204,0.49945005499450057,1.1857470460203103,0.5527366989136168,0.5186481351864813,0.07710208146501006,0.020316947163119853,0.7732311071821338,0.14788021125405962
