head,dgp,path,t,alpha,true_v,true_e,e0_v,e2_v,e2_e,e3_v,e3_e
chronos_bolt,garch_t,0,512,0.01,-3.152172600113327,-3.9079108772785474,-1.8279823064804077,-4.879735276831861,-7.163884145276066,-4.241055364988194,-5.767235513490873
chronos_bolt,garch_t,0,512,0.025,-2.509589101400448,-3.232104060275753,-1.8279823064804077,-3.5418130131147776,-5.31662794528518,-3.170664698708382,-4.473724132217986
chronos_bolt,garch_t,0,512,0.05,-2.0237177451680433,-2.7357877665961596,-1.8279823064804077,-2.701958767819448,-4.1902351710033265,-2.466202456813628,-3.6224181966618603
chronos_2,garch_t,0,512,0.01,-3.152172600113327,-3.9079108772785474,-3.7137370109558105,-5.328638541856218,-7.864145438182922,-4.738775475637553,-6.4778125710182
chronos_2,garch_t,0,512,0.025,-2.509589101400448,-3.232104060275753,-3.2811858654022217,-3.8434852870623253,-5.813608847041484,-3.519097001221511,-5.003894647542693
chronos_2,garch_t,0,512,0.05,-2.0237177451680433,-2.7357877665961596,-2.560267210006714,-2.9112096984287366,-4.5632627392987395,-2.716383132775566,-4.033856737599829
chronos_base,garch_t,0,512,0.01,-3.152172600113327,-3.9079108772785474,-0.6632733345031738,-1.0838361632415574,-1.4532180859503732,-0.8828147880563143,-1.0927677107292912
chronos_base,garch_t,0,512,0.025,-2.509589101400448,-3.232104060275753,-0.5975081443786621,-0.8674736025371128,-1.154488411928217,-0.735563725324432,-0.9148224692874843
chronos_base,garch_t,0,512,0.05,-2.0237177451680433,-2.7357877665961596,-0.573337972164154,-0.7316562833561375,-0.972333415624082,-0.6386525535052543,-0.7977103646422916
chronos_bolt,garch_t,0,528,0.01,-3.300126897406588,-4.091337447166139,-1.6063225269317627,-4.134348540410111,-5.931607213919882,-3.5788920428008577,-4.894405311327667
chronos_bolt,garch_t,0,528,0.025,-2.6273822996470098,-3.3838101200897373,-1.6063225269317627,-3.040843407711068,-4.464656787918723,-2.69107980656308,-3.790818829297333
chronos_bolt,garch_t,0,528,0.05,-2.118705480578051,-2.8641981069866835,-1.6063225269317627,-2.3419105456859115,-3.554313853387853,-2.11757992786392,-3.07793530759633
chronos_2,garch_t,0,528,0.01,-3.300126897406588,-4.091337447166139,-3.5379080772399902,-4.896061914180324,-7.060112018326084,-4.351231824549251,-5.983279004927072
chronos_2,garch_t,0,528,0.025,-2.6273822996470098,-3.3838101200897373,-3.129765748977661,-3.5793900676730726,-5.293780733378072,-3.249797508740779,-4.614151646510026
chronos_2,garch_t,0,528,0.05,-2.118705480578051,-2.8641981069866835,-2.449528455734253,-2.737816311401972,-4.197651527651262,-2.538304221389788,-3.7297367421793033
chronos_base,garch_t,0,528,0.01,-3.300126897406588,-4.091337447166139,-0.5468058586120605,-0.9867838248716791,-1.3114297339993877,-0.8007054679538179,-1.0050960837339558
chronos_base,garch_t,0,528,0.025,-2.6273822996470098,-3.3838101200897373,-0.5257748365402222,-0.7892596881553815,-1.0464487038817794,-0.6627665402340002,-0.8336324231040523
chronos_base,garch_t,0,528,0.05,-2.118705480578051,-2.8641981069866835,-0.5257748365402222,-0.6630086939296721,-0.8820098760409224,-0.5736621608548218,-0.7228720792398261
chronos_bolt,garch_t,0,545,0.01,-3.62713599594459,-4.496747485023763,-1.613803505897522,-3.824656126370338,-5.155160325036465,-3.5006253277071737,-4.561269175709418
chronos_bolt,garch_t,0,545,0.025,-2.887729232971743,-3.719111377100153,-1.613803505897522,-2.9029643326994212,-4.032525627373113,-2.691321266620092,-3.6411256158743703
chronos_bolt,garch_t,0,545,0.05,-2.328647701228966,-3.148011084522793,-1.613803505897522,-2.275278713421293,-3.2909494840969864,-2.135786789642765,-3.0095070489659106
chronos_2,garch_t,0,545,0.01,-3.62713599594459,-4.496747485023763,-3.516676425933838,-4.319322816743895,-5.823165359753841,-4.041958034030147,-5.268537749866402
chronos_2,garch_t,0,545,0.025,-2.887729232971743,-3.719111377100153,-3.102926254272461,-3.2775528379230408,-4.554273596542724,-3.1060397734914598,-4.204439345602952
chronos_2,garch_t,0,545,0.05,-2.328647701228966,-3.148011084522793,-2.4133424758911133,-2.5680922147605405,-3.716084769887449,-2.463592902950001,-3.474005162842443
chronos_base,garch_t,0,545,0.01,-3.62713599594459,-4.496747485023763,-0.5102701783180237,-0.8351472164566597,-1.039054809563218,-0.6844087632890201,-0.8153945902970855
chronos_base,garch_t,0,545,0.025,-2.887729232971743,-3.719111377100153,-0.5004572868347168,-0.6938925286308573,-0.8670044399605243,-0.5844625259708616,-0.7017600603102733
chronos_base,garch_t,0,545,0.05,-2.328647701228966,-3.148011084522793,-0.47101864218711853,-0.5976960160734999,-0.7533535348132312,-0.5158559498469086,-0.6237573636501417
chronos_bolt,garch_t,0,562,0.01,-3.0015737810254732,-3.7212057573883586,-1.3733580112457275,-3.2065547112344426,-4.270587400944745,-3.013966773941158,-3.951158590433535
chronos_bolt,garch_t,0,562,0.025,-2.38969047812929,-3.0776864200015224,-1.3733580112457275,-2.4502373768142216,-3.366567011185993,-2.306964544316437,-3.1407272908442825
chronos_bolt,garch_t,0,562,0.05,-1.92703220752379,-2.6050822313378537,-1.3733580112457275,-1.9285040747852127,-2.7616870833002,-1.824455945725437,-2.5876313397513724
chronos_2,garch_t,0,562,0.01,-3.0015737810254732,-3.7212057573883586,-3.3116250038146973,-3.7797478120124994,-5.03532804567585,-3.691334427158139,-4.841617822607873
chronos_2,garch_t,0,562,0.025,-2.38969047812929,-3.0776864200015224,-2.8984622955322266,-2.8872779615481026,-3.968565583219207,-2.8235793838768024,-3.846916790582964
chronos_2,garch_t,0,562,0.05,-1.92703220752379,-2.6050822313378537,-2.209857702255249,-2.271622044576333,-3.2547949551759165,-2.231361633621337,-3.168062070090612
chronos_base,garch_t,0,562,0.01,-3.0015737810254732,-3.7212057573883586,-0.43688175082206726,-0.777966899744052,-0.9953993715533987,-0.6881033890315333,-0.8634724653231345
chronos_base,garch_t,0,562,0.025,-2.38969047812929,-3.0776864200015224,-0.4182910621166229,-0.6234153064654486,-0.8106650209905306,-0.5558078164886221,-0.7118230527848367
chronos_base,garch_t,0,562,0.05,-1.92703220752379,-2.6050822313378537,-0.40899571776390076,-0.5168003851548018,-0.6870592905088142,-0.4655199098417687,-0.6083267094142613
chronos_bolt,garch_t,0,578,0.01,-4.142210502588963,-5.135311904704355,-1.5756089687347412,-3.660277454172458,-4.841116048023803,-3.4542328110313134,-4.556937466086726
chronos_bolt,garch_t,0,578,0.025,-3.2978036585401456,-4.24724692532805,-1.5756089687347412,-2.8063214704728936,-3.833134324771164,-2.6382885654844848,-3.6085238396230586
chronos_bolt,garch_t,0,578,0.05,-2.659329282289095,-3.5950470539721078,-1.5756089687347412,-2.212101090873008,-3.1528112025872717,-2.0868315276587897,-2.9675371889571545
chronos_2,garch_t,0,578,0.01,-4.142210502588963,-5.135311904704355,-3.6462807655334473,-4.085886747348563,-5.40705743796103,-4.014881958748097,-5.3007048913468005
chronos_2,garch_t,0,578,0.025,-3.2978036585401456,-4.24724692532805,-3.1810250282287598,-3.130445739058625,-4.279286109712859,-3.0634396864804256,-4.194794995251546
chronos_2,garch_t,0,578,0.05,-2.659329282289095,-3.5950470539721078,-2.4055991172790527,-2.4656075864272293,-3.5181126742784863,-2.420406121392594,-3.4473642746707607
chronos_base,garch_t,0,578,0.01,-4.142210502588963,-5.135311904704355,-0.44292566180229187,-0.7234277061052318,-0.8902886268378338,-0.6038437030471873,-0.7301335550837541
chronos_base,garch_t,0,578,0.025,-3.2978036585401456,-4.24724692532805,-0.4248470366001129,-0.6027576310863572,-0.7478536155675772,-0.5103957634127809,-0.6215142470882316
chronos_base,garch_t,0,578,0.05,-2.659329282289095,-3.5950470539721078,-0.40676847100257874,-0.5187900506105827,-0.6517191030657157,-0.44723884520059587,-0.5481037387541177
chronos_bolt,garch_t,0,595,0.01,-3.9656858937401247,-4.916465246687305,-1.608850121498108,-3.1150720339338402,-3.755314416346214,-3.12639216354614,-3.6371012509029783
chronos_bolt,garch_t,0,595,0.025,-3.157264325611456,-4.066246080076618,-1.608850121498108,-2.5298991741306915,-3.1699318404292876,-2.5749971228926136,-3.1432492088873163
chronos_bolt,garch_t,0,595,0.05,-2.545999198976589,-3.441840384586535,-1.608850121498108,-2.0702945011553218,-2.7227713143092425,-2.116973008788841,-2.733024003063067
chronos_2,garch_t,0,595,0.01,-3.9656858937401247,-4.916465246687305,-3.833427906036377,-3.484496454831343,-4.197566720225077,-3.6069872890290227,-4.19387641461861
chronos_2,garch_t,0,595,0.025,-3.157264325611456,-4.066246080076618,-3.3290939331054688,-2.8327598970783097,-3.5455965910481315,-2.97334328058107,-3.626358819407519
chronos_2,garch_t,0,595,0.05,-2.545999198976589,-3.441840384586535,-2.488537311553955,-2.3208749685924923,-3.0475713371863065,-2.4469978943720165,-3.154942276602236
chronos_base,garch_t,0,595,0.01,-3.9656858937401247,-4.916465246687305,-0.42994698882102966,-0.6259563009616216,-0.7276582994202024,-0.5804074860131613,-0.653739955211463
chronos_base,garch_t,0,595,0.025,-3.157264325611456,-4.066246080076618,-0.4130863547325134,-0.5330020528197493,-0.6346707380387415,-0.5012329405902628,-0.5828279809463021
