asset,n_windows,failed_fits,invalid_days,valid_starts_min
aapl,2639,0,0,8
amzn,2639,0,0,8
audusd,2734,0,0,8
brent,2641,0,0,8
btc,3308,0,0,8
copper,2640,0,0,8
csi300,2180,0,0,8
dax,2665,0,0,8
dgs10,2625,0,0,8
dgs2,2625,0,0,8
dgs30,2625,0,0,8
dgs5,2625,0,0,8
eth,2159,0,0,8
ftse,2652,0,0,8
gbpusd,2734,0,0,8
gold,2639,0,0,8
hsi,2580,0,0,8
jnj,2639,0,0,8
jpm,2639,0,0,8
ltc,3308,0,0,8
msft,2639,0,0,8
natgas,2641,0,0,8
ndx,2639,0,0,8
nikkei,2566,0,0,8
nvda,2639,0,0,8
rut,2639,0,0,8
spx,2639,0,0,8
usdcad,2734,0,0,8
usdchf,2733,0,0,8
wmt,2639,0,0,8
xom,2639,0,0,8
xrp,2159,0,0,8
