asset,t,date,ctx_start,ctx_end,W,u,quantile_method,n_lt_u,n_eq_u,n_le_u,n_raw_exc,tie_count,n_kept,tau_nominal,tau_strict,tau_fit,scale_ref,beta_floor,fit_branch,xi,beta,status,var_defined,es_defined,layer,exclusion_reason
aapl,4024,2016-01-04,3512,4023,512,-1.5910297721137578,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.8167069254401129,8.167069254401129e-07,mle,0.058731359642339984,1.083341098920492,ok,True,True,extraction,
aapl,4025,2016-01-05,3513,4024,512,-1.5910297721137578,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.8064819632392213,8.064819632392212e-07,mle,0.058731359642339984,1.083341098920492,ok,True,True,extraction,
aapl,4026,2016-01-06,3514,4025,512,-1.662996987666297,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.8131315382997581,8.131315382997581e-07,mle,0.09752384913397807,0.990224902337289,ok,True,True,extraction,
aapl,4027,2016-01-07,3515,4026,512,-1.6852777320787622,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.8134593374965955,8.134593374965954e-07,mle,0.10838893660813512,0.9637285331264842,ok,True,True,extraction,
aapl,4028,2016-01-08,3516,4027,512,-1.705678589290578,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.8188762501163434,8.188762501163433e-07,mle,0.094012519356636,1.0067373716714185,ok,True,True,extraction,
aapl,4029,2016-01-11,3517,4028,512,-1.705678589290578,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.8188762501163434,8.188762501163433e-07,mle,0.094012519356636,1.0067373716714185,ok,True,True,extraction,
aapl,4030,2016-01-12,3518,4029,512,-1.705678589290578,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.8151223538095,8.151223538095e-07,mle,0.094012519356636,1.0067373716714185,ok,True,True,extraction,
aapl,4031,2016-01-13,3519,4030,512,-1.705678589290578,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.816348360058039,8.16348360058039e-07,mle,0.094012519356636,1.0067373716714185,ok,True,True,extraction,
aapl,4032,2016-01-14,3520,4031,512,-1.761062388466789,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.8151223538095,8.151223538095e-07,mle,0.12486741708401253,0.9396352415696118,ok,True,True,extraction,
aapl,4033,2016-01-15,3521,4032,512,-1.761062388466789,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.816348360058039,8.16348360058039e-07,mle,0.12486741708401253,0.9396352415696118,ok,True,True,extraction,
aapl,4034,2016-01-19,3522,4033,512,-1.761062388466789,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.816348360058039,8.16348360058039e-07,mle,0.11838805927385039,0.9499905168260904,ok,True,True,extraction,
aapl,4035,2016-01-20,3523,4034,512,-1.761062388466789,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.8151223538095,8.151223538095e-07,mle,0.11838805927385039,0.9499905168260904,ok,True,True,extraction,
aapl,4036,2016-01-21,3524,4035,512,-1.761062388466789,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.816348360058039,8.16348360058039e-07,mle,0.11838805927385039,0.9499905168260904,ok,True,True,extraction,
aapl,4037,2016-01-22,3525,4036,512,-1.761062388466789,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.8151223538095,8.151223538095e-07,mle,0.11838805927385039,0.9499905168260904,ok,True,True,extraction,
aapl,4038,2016-01-25,3526,4037,512,-1.761062388466789,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.816348360058039,8.16348360058039e-07,mle,0.11838805927385039,0.9499905168260904,ok,True,True,extraction,
aapl,4039,2016-01-26,3527,4038,512,-1.7689560421361923,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.8178765507400201,8.178765507400201e-07,mle,0.11811724243892495,0.9466421095335491,ok,True,True,extraction,
aapl,4040,2016-01-27,3528,4039,512,-1.7689560421361923,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.8178765507400201,8.178765507400201e-07,mle,0.11811724243892495,0.9466421095335491,ok,True,True,extraction,
aapl,4041,2016-01-28,3529,4040,512,-1.7834342352813661,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.8222297716502891,8.22229771650289e-07,mle,0.1461323714402039,0.9884688571147359,ok,True,True,extraction,
aapl,4042,2016-01-29,3530,4041,512,-1.7834342352813661,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.8151223538095,8.151223538095e-07,mle,0.1461323714402039,0.9884688571147359,ok,True,True,extraction,
aapl,4043,2016-02-01,3531,4042,512,-1.7834342352813661,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.8178765507400201,8.178765507400201e-07,mle,0.1461323714402039,0.9884688571147359,ok,True,True,extraction,
aapl,4044,2016-02-02,3532,4043,512,-1.7689560421361923,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.8178765507400201,8.178765507400201e-07,mle,0.15757770388494202,0.9767285302769961,ok,True,True,extraction,
