asset,t,date,ctx_start,ctx_end,W,u,quantile_method,n_lt_u,n_eq_u,n_le_u,n_raw_exc,tie_count,n_kept,tau_nominal,tau_strict,tau_fit,scale_ref,beta_floor,fit_branch,xi,beta,status,var_defined,es_defined,layer,exclusion_reason
copper,3848,2016-01-04,3336,3847,512,-1.5141850720284997,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6176096836477306,6.176096836477305e-07,mle,0.06227241689526185,0.6876476205083317,ok,True,True,extraction,
copper,3849,2016-01-05,3337,3848,512,-1.5226869022919334,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6184269617068088,6.184269617068087e-07,mle,0.008033165691288535,0.7393140206827122,ok,True,True,extraction,
copper,3850,2016-01-06,3338,3849,512,-1.5226869022919334,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6266083545041341,6.266083545041341e-07,mle,0.008033165691288535,0.7393140206827122,ok,True,True,extraction,
copper,3851,2016-01-07,3339,3850,512,-1.5226869022919334,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6259097586869881,6.25909758686988e-07,mle,0.008033165691288535,0.7393140206827122,ok,True,True,extraction,
copper,3852,2016-01-08,3340,3851,512,-1.5293955822646839,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6259097586869881,6.25909758686988e-07,mle,-0.05165480209524782,0.8105779042384095,ok,True,True,extraction,
copper,3853,2016-01-11,3341,3852,512,-1.5293955822646839,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6248791473542835,6.248791473542835e-07,mle,-0.05165480209524782,0.8105779042384095,ok,True,True,extraction,
copper,3854,2016-01-12,3342,3853,512,-1.5333116078500906,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6272291898343434,6.272291898343433e-07,mle,-0.09704496351640424,0.8618656789505805,ok,True,True,extraction,
copper,3855,2016-01-13,3343,3854,512,-1.5333116078500906,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6272291898343434,6.272291898343433e-07,mle,-0.09704496351640424,0.8618656789505805,ok,True,True,extraction,
copper,3856,2016-01-14,3344,3855,512,-1.5333116078500906,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6264419757785384,6.264419757785384e-07,mle,-0.09704496351640424,0.8618656789505805,ok,True,True,extraction,
copper,3857,2016-01-15,3345,3856,512,-1.5333116078500906,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6272291898343434,6.272291898343433e-07,mle,-0.09704496351640424,0.8618656789505805,ok,True,True,extraction,
copper,3858,2016-01-19,3346,3857,512,-1.5585656590775898,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6272291898343434,6.272291898343433e-07,mle,-0.05060469912761869,0.7994466915064162,ok,True,True,extraction,
copper,3859,2016-01-20,3347,3858,512,-1.5585656590775898,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.62768199291151,6.276819929115099e-07,mle,-0.05060469912761869,0.7994466915064162,ok,True,True,extraction,
copper,3860,2016-01-21,3348,3859,512,-1.5585656590775898,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6309814278945612,6.309814278945612e-07,mle,-0.05060469912761869,0.7994466915064162,ok,True,True,extraction,
