asset,t,date,ctx_start,ctx_end,W,u,quantile_method,n_lt_u,n_eq_u,n_le_u,n_raw_exc,tie_count,n_kept,tau_nominal,tau_strict,tau_fit,scale_ref,beta_floor,fit_branch,xi,beta,status,var_defined,es_defined,layer,exclusion_reason
gbpusd,3139,2016-01-01,2627,3138,512,-0.5268073067312832,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.2381442565672499,2.381442565672499e-07,mle,-0.17772730382410679,0.3887653301789087,ok,True,True,extraction,
gbpusd,3140,2016-01-04,2628,3139,512,-0.5332096639633311,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.23704837289498906,2.3704837289498906e-07,mle,-0.1652834071388659,0.3778912454931791,ok,True,True,extraction,
gbpusd,3141,2016-01-05,2629,3140,512,-0.5332096639633311,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.2377393854233511,2.377393854233511e-07,mle,-0.1652834071388659,0.3778912454931791,ok,True,True,extraction,
gbpusd,3142,2016-01-06,2630,3141,512,-0.5332096639633311,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.2377393854233511,2.377393854233511e-07,mle,-0.1652834071388659,0.3778912454931791,ok,True,True,extraction,
gbpusd,3143,2016-01-07,2631,3142,512,-0.5332096639633311,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.23664350175109025,2.3664350175109024e-07,mle,-0.1652834071388659,0.3778912454931791,ok,True,True,extraction,
gbpusd,3144,2016-01-08,2632,3143,512,-0.5332096639633311,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.2368117765557648,2.3681177655576478e-07,mle,-0.1652834071388659,0.3778912454931791,ok,True,True,extraction,
gbpusd,3145,2016-01-11,2633,3144,512,-0.5332096639633311,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.236406905411866,2.3640690541186597e-07,mle,-0.1652834071388659,0.3778912454931791,ok,True,True,extraction,
gbpusd,3146,2016-01-12,2634,3145,512,-0.5444505226605698,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.2363010367647616,2.363010367647616e-07,mle,-0.15116942986782472,0.36419756051637997,ok,True,True,extraction,
gbpusd,3147,2016-01-13,2635,3146,512,-0.5444505226605698,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.2351311434160541,2.351311434160541e-07,mle,-0.15116942986782472,0.36419756051637997,ok,True,True,extraction,
gbpusd,3148,2016-01-14,2636,3147,512,-0.5444505226605698,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.2351311434160541,2.351311434160541e-07,mle,-0.14302601117477232,0.35890397273144764,ok,True,True,extraction,
gbpusd,3149,2016-01-15,2637,3148,512,-0.5444505226605698,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.23290205891877716,2.3290205891877714e-07,mle,-0.14302601117477232,0.35890397273144764,ok,True,True,extraction,
gbpusd,3150,2016-01-18,2638,3149,512,-0.5444505226605698,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.23409345214739494,2.3409345214739493e-07,mle,-0.14302601117477232,0.35890397273144764,ok,True,True,extraction,
gbpusd,3151,2016-01-19,2639,3150,512,-0.5466927117110622,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.2351311434160541,2.351311434160541e-07,mle,-0.16905774695878414,0.3757502691357288,ok,True,True,extraction,
gbpusd,3152,2016-01-20,2640,3151,512,-0.5466927117110622,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.23409345214739494,2.3409345214739493e-07,mle,-0.16905774695878414,0.3757502691357288,ok,True,True,extraction,
gbpusd,3153,2016-01-21,2641,3152,512,-0.5466927117110622,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.23409345214739494,2.3409345214739493e-07,mle,-0.16905774695878414,0.3757502691357288,ok,True,True,extraction,
gbpusd,3154,2016-01-22,2642,3153,512,-0.5444505226605698,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.23406814555215189,2.3406814555215187e-07,mle,-0.15769849772767228,0.3696550175174134,ok,True,True,extraction,
gbpusd,3155,2016-01-25,2643,3154,512,-0.5444505226605698,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.23406814555215189,2.3406814555215187e-07,mle,-0.15769849772767228,0.3696550175174134,ok,True,True,extraction,
gbpusd,3156,2016-01-26,2644,3155,512,-0.5444505226605698,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.23419932079449932,2.3419932079449932e-07,mle,-0.15769849772767228,0.3696550175174134,ok,True,True,extraction,
gbpusd,3157,2016-01-27,2645,3156,512,-0.5444505226605698,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.23419932079449932,2.3419932079449932e-07,mle,-0.15769849772767228,0.3696550175174134,ok,True,True,extraction,
gbpusd,3158,2016-01-28,2646,3157,512,-0.5444505226605698,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.23419932079449932,2.3419932079449932e-07,mle,-0.15769849772767228,0.3696550175174134,ok,True,True,extraction,
gbpusd,3159,2016-01-29,2647,3158,512,-0.5466927117110622,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.2351311434160541,2.351311434160541e-07,mle,-0.16062292086090418,0.37036167456208613,ok,True,True,extraction,
gbpusd,3160,2016-02-01,2648,3159,512,-0.5466927117110622,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.2351311434160541,2.351311434160541e-07,mle,-0.16062292086090418,0.37036167456208613,ok,True,True,extraction,
gbpusd,3161,2016-02-02,2649,3160,512,-0.5575959897182798,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.23407195226748467,2.3407195226748466e-07,mle,-0.1535831128667176,0.3614231743467504,ok,True,True,extraction,
gbpusd,3162,2016-02-03,2650,3161,512,-0.5575959897182798,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.23407195226748467,2.3407195226748466e-07,mle,-0.1535831128667176,0.3614231743467504,ok,True,True,extraction,
gbpusd,3163,2016-02-04,2651,3162,512,-0.5575959897182798,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.23191198976859578,2.3191198976859577e-07,mle,-0.1535831128667176,0.3614231743467504,ok,True,True,extraction,
gbpusd,3164,2016-02-05,2652,3163,512,-0.5575959897182798,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.23407195226748467,2.3407195226748466e-07,mle,-0.1535831128667176,0.3614231743467504,ok,True,True,extraction,
gbpusd,3165,2016-02-08,2653,3164,512,-0.5575959897182798,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.23407195226748467,2.3407195226748466e-07,mle,-0.1535831128667176,0.3614231743467504,ok,True,True,extraction,
gbpusd,3166,2016-02-09,2654,3165,512,-0.5575959897182798,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.23447682341138348,2.3447682341138348e-07,mle,-0.1535831128667176,0.3614231743467504,ok,True,True,extraction,
gbpusd,3167,2016-02-10,2655,3166,512,-0.5575959897182798,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.23536913818327157,2.3536913818327156e-07,mle,-0.1535831128667176,0.3614231743467504,ok,True,True,extraction,
gbpusd,3168,2016-02-11,2656,3167,512,-0.5575959897182798,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.23670590790866042,2.367059079086604e-07,mle,-0.1535831128667176,0.3614231743467504,ok,True,True,extraction,
gbpusd,3169,2016-02-12,2657,3168,512,-0.5575959897182798,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.23818976551064422,2.381897655106442e-07,mle,-0.1535831128667176,0.3614231743467504,ok,True,True,extraction,
gbpusd,3170,2016-02-15,2658,3169,512,-0.5575959897182798,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.2379376919110539,2.379376919110539e-07,mle,-0.1535831128667176,0.3614231743467504,ok,True,True,extraction,
gbpusd,3171,2016-02-16,2659,3170,512,-0.5575959897182798,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.24054049021502716,2.4054049021502713e-07,mle,-0.1535831128667176,0.3614231743467504,ok,True,True,extraction,
gbpusd,3172,2016-02-17,2660,3171,512,-0.5575959897182798,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.24166190916592026,2.4166190916592025e-07,mle,-0.1535831128667176,0.3614231743467504,ok,True,True,extraction,
gbpusd,3173,2016-02-18,2661,3172,512,-0.5600050451075336,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.23933263403124577,2.3933263403124576e-07,mle,-0.17801166199714846,0.37753915828634055,ok,True,True,extraction,
gbpusd,3174,2016-02-19,2662,3173,512,-0.5600050451075336,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.2386430539105832,2.386430539105832e-07,mle,-0.17801166199714846,0.37753915828634055,ok,True,True,extraction,
gbpusd,3175,2016-02-22,2663,3174,512,-0.5600050451075336,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.23933263403124577,2.3933263403124576e-07,mle,-0.17801166199714846,0.37753915828634055,ok,True,True,extraction,
gbpusd,3176,2016-02-23,2664,3175,512,-0.5600050451075336,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.23894071728863048,2.3894071728863045e-07,mle,-0.17801166199714846,0.37753915828634055,ok,True,True,extraction,
gbpusd,3177,2016-02-24,2665,3176,512,-0.5676659889338752,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.2396659012926737,2.396659012926737e-07,mle,-0.17851545416696885,0.3746505409776275,ok,True,True,extraction,
gbpusd,3178,2016-02-25,2666,3177,512,-0.5712824516499512,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.24123578026460793,2.412357802646079e-07,mle,-0.19256084353334577,0.38308076694810606,ok,True,True,extraction,
gbpusd,3179,2016-02-26,2667,3178,512,-0.5731535229457719,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.24123578026460793,2.412357802646079e-07,mle,-0.19068431115212986,0.38094051447638555,ok,True,True,extraction,
gbpusd,3180,2016-02-29,2668,3179,512,-0.5731535229457719,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.2431864533668873,2.431864533668873e-07,mle,-0.19068431115212986,0.38094051447638555,ok,True,True,extraction,
gbpusd,3181,2016-03-01,2669,3180,512,-0.5827975421425006,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.24471901771886628,2.447190177188663e-07,mle,-0.18242012338810454,0.3711011830370561,ok,True,True,extraction,
gbpusd,3182,2016-03-02,2670,3181,512,-0.5827975421425006,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.24819990914478718,2.4819990914478715e-07,mle,-0.18242012338810454,0.3711011830370561,ok,True,True,extraction,
gbpusd,3183,2016-03-03,2671,3182,512,-0.5827975421425006,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.2491455998700703,2.491455998700703e-07,mle,-0.18242012338810454,0.3711011830370561,ok,True,True,extraction,
gbpusd,3184,2016-03-04,2672,3183,512,-0.5827975421425006,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.25020993473324316,2.5020993473324316e-07,mle,-0.18242012338810454,0.3711011830370561,ok,True,True,extraction,
gbpusd,3185,2016-03-07,2673,3184,512,-0.5827975421425006,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.2501677149505096,2.501677149505096e-07,mle,-0.18242012338810454,0.3711011830370561,ok,True,True,extraction,
gbpusd,3186,2016-03-08,2674,3185,512,-0.5827975421425006,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.24897123544338615,2.4897123544338614e-07,mle,-0.18242012338810454,0.3711011830370561,ok,True,True,extraction,
gbpusd,3187,2016-03-09,2675,3186,512,-0.5827975421425006,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.24857998978674684,2.4857998978674684e-07,mle,-0.18242012338810454,0.3711011830370561,ok,True,True,extraction,
gbpusd,3188,2016-03-10,2676,3187,512,-0.5827975421425006,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.25000980934202144,2.500098093420214e-07,mle,-0.18242012338810454,0.3711011830370561,ok,True,True,extraction,
