asset,t,date,ctx_start,ctx_end,W,u,quantile_method,n_lt_u,n_eq_u,n_le_u,n_raw_exc,tie_count,n_kept,tau_nominal,tau_strict,tau_fit,scale_ref,beta_floor,fit_branch,xi,beta,status,var_defined,es_defined,layer,exclusion_reason
gold,3844,2016-01-04,3332,3843,512,-1.0743974147148792,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.4809457180504149,4.809457180504149e-07,mle,-0.25382730634155465,0.7738075610730187,ok,True,True,extraction,
gold,3845,2016-01-05,3333,3844,512,-1.0697182723188623,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.4797834321062945,4.797834321062945e-07,mle,-0.5040562231697718,0.8934535670811239,ok,True,True,extraction,
gold,3846,2016-01-06,3334,3845,512,-1.0697182723188623,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.47707340997086367,4.770734099708636e-07,mle,-0.5040562231697718,0.8934535670811239,ok,True,True,extraction,
gold,3847,2016-01-07,3335,3846,512,-1.0697182723188623,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.477054204143447,4.77054204143447e-07,mle,-0.5040562231697718,0.8934535670811239,ok,True,True,extraction,
gold,3848,2016-01-08,3336,3847,512,-1.0697182723188623,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.477054204143447,4.77054204143447e-07,mle,-0.5040562231697718,0.8934535670811239,ok,True,True,extraction,
gold,3849,2016-01-11,3337,3848,512,-1.0697182723188623,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.47707340997086367,4.770734099708636e-07,mle,-0.5040562231697718,0.8934535670811239,ok,True,True,extraction,
gold,3850,2016-01-12,3338,3849,512,-1.0697182723188623,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.4770734099708637,4.770734099708637e-07,mle,-0.5040562231697718,0.8934535670811239,ok,True,True,extraction,
gold,3851,2016-01-13,3339,3850,512,-1.0557115406525903,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.4770734099708637,4.770734099708637e-07,mle,-0.5232451013629393,0.9247296456371283,ok,True,True,extraction,
gold,3852,2016-01-14,3340,3851,512,-1.0557115406525903,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.47707340997086367,4.770734099708636e-07,mle,-0.5232451013629393,0.9247296456371283,ok,True,True,extraction,
gold,3853,2016-01-15,3341,3852,512,-1.0697182723188623,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.4770734099708637,4.770734099708637e-07,mle,-0.5110371040054232,0.9015572041765392,ok,True,True,extraction,
gold,3854,2016-01-19,3342,3853,512,-1.0697182723188623,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.4770734099708637,4.770734099708637e-07,mle,-0.5110371040054232,0.9015572041765392,ok,True,True,extraction,
gold,3855,2016-01-20,3343,3854,512,-1.0697182723188623,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.4797586983139691,4.797586983139691e-07,mle,-0.5110371040054232,0.9015572041765392,ok,True,True,extraction,
gold,3856,2016-01-21,3344,3855,512,-1.0697182723188623,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.4770734099708637,4.770734099708637e-07,mle,-0.5110371040054232,0.9015572041765392,ok,True,True,extraction,
gold,3857,2016-01-22,3345,3856,512,-1.0697182723188623,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.4809457180504149,4.809457180504149e-07,mle,-0.5110371040054232,0.9015572041765392,ok,True,True,extraction,
gold,3858,2016-01-25,3346,3857,512,-1.0697182723188623,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.4839519529100723,4.839519529100723e-07,mle,-0.5110371040054232,0.9015572041765392,ok,True,True,extraction,
gold,3859,2016-01-26,3347,3858,512,-1.0697182723188623,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.4839519529100723,4.839519529100723e-07,mle,-0.5110371040054232,0.9015572041765392,ok,True,True,extraction,
gold,3860,2016-01-27,3348,3859,512,-1.0697182723188623,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.4861237058206511,4.861237058206511e-07,mle,-0.5110371040054232,0.9015572041765392,ok,True,True,extraction,
gold,3861,2016-01-28,3349,3860,512,-1.0697182723188623,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.4861237058206511,4.861237058206511e-07,mle,-0.5110371040054232,0.9015572041765392,ok,True,True,extraction,
gold,3862,2016-01-29,3350,3861,512,-1.0697182723188623,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.4809457180504149,4.809457180504149e-07,mle,-0.5110371040054232,0.9015572041765392,ok,True,True,extraction,
gold,3863,2016-02-01,3351,3862,512,-1.0697182723188623,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.4809457180504149,4.809457180504149e-07,mle,-0.5110371040054232,0.9015572041765392,ok,True,True,extraction,
gold,3864,2016-02-02,3352,3863,512,-1.0697182723188623,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.4809457180504149,4.809457180504149e-07,mle,-0.5110371040054232,0.9015572041765392,ok,True,True,extraction,
gold,3865,2016-02-03,3353,3864,512,-1.0697182723188623,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.47707340997086367,4.770734099708636e-07,mle,-0.5110371040054232,0.9015572041765392,ok,True,True,extraction,
gold,3866,2016-02-04,3354,3865,512,-1.0697182723188623,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.4783077548184306,4.783077548184306e-07,mle,-0.5110371040054232,0.9015572041765392,ok,True,True,extraction,
gold,3867,2016-02-05,3355,3866,512,-1.0697182723188623,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.4783077548184306,4.783077548184306e-07,mle,-0.5110371040054232,0.9015572041765392,ok,True,True,extraction,
gold,3868,2016-02-08,3356,3867,512,-1.0697182723188623,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.4783077548184306,4.783077548184306e-07,mle,-0.5110371040054232,0.9015572041765392,ok,True,True,extraction,
gold,3869,2016-02-09,3357,3868,512,-1.0697182723188623,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.48278743203038227,4.827874320303822e-07,mle,-0.5110371040054232,0.9015572041765392,ok,True,True,extraction,
gold,3870,2016-02-10,3358,3869,512,-1.0697182723188623,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.4836540879211865,4.836540879211865e-07,mle,-0.5110371040054232,0.9015572041765392,ok,True,True,extraction,
