asset,t,date,ctx_start,ctx_end,W,u,quantile_method,n_lt_u,n_eq_u,n_le_u,n_raw_exc,tie_count,n_kept,tau_nominal,tau_strict,tau_fit,scale_ref,beta_floor,fit_branch,xi,beta,status,var_defined,es_defined,layer,exclusion_reason
hsi,3946,2016-01-04,3434,3945,512,-1.2548790155215652,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.5740546639651551,5.740546639651551e-07,mle,0.12027777917327938,0.6756050137378595,ok,True,True,extraction,
hsi,3947,2016-01-05,3435,3946,512,-1.275629037511363,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.5740546639651551,5.740546639651551e-07,mle,0.11333243438692062,0.687631015330701,ok,True,True,extraction,
hsi,3948,2016-01-06,3436,3947,512,-1.275629037511363,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.576110564175091,5.76110564175091e-07,mle,0.11333243438692062,0.687631015330701,ok,True,True,extraction,
hsi,3949,2016-01-07,3437,3948,512,-1.275629037511363,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.5796702185925844,5.796702185925844e-07,mle,0.11333243438692062,0.687631015330701,ok,True,True,extraction,
hsi,3950,2016-01-08,3438,3949,512,-1.282882489143224,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.5815361230876068,5.815361230876068e-07,mle,0.08993335335407535,0.7318712207295497,ok,True,True,extraction,
hsi,3951,2016-01-11,3439,3950,512,-1.282882489143224,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.582582291949723,5.82582291949723e-07,mle,0.08993335335407535,0.7318712207295497,ok,True,True,extraction,
hsi,3952,2016-01-12,3440,3951,512,-1.282882489143224,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.582582291949723,5.82582291949723e-07,mle,0.07320799421628715,0.7646530767203651,ok,True,True,extraction,
hsi,3953,2016-01-13,3441,3952,512,-1.282882489143224,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.5832481874770633,5.832481874770633e-07,mle,0.07320799421628715,0.7646530767203651,ok,True,True,extraction,
hsi,3954,2016-01-14,3442,3953,512,-1.282882489143224,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.5845343433497544,5.845343433497543e-07,mle,0.07320799421628715,0.7646530767203651,ok,True,True,extraction,
hsi,3955,2016-01-15,3443,3954,512,-1.282882489143224,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.5845343433497544,5.845343433497543e-07,mle,0.07320799421628715,0.7646530767203651,ok,True,True,extraction,
hsi,3956,2016-01-18,3444,3955,512,-1.2853375809992738,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.5865388295150141,5.865388295150141e-07,mle,0.06589387539855446,0.7724026038365779,ok,True,True,extraction,
hsi,3957,2016-01-19,3445,3956,512,-1.3137874204570432,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.587352556463319,5.873525564633189e-07,mle,0.09345344208120401,0.7269449913952595,ok,True,True,extraction,
hsi,3958,2016-01-20,3446,3957,512,-1.3137874204570432,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.5880648370102775,5.880648370102774e-07,mle,0.09345344208120401,0.7269449913952595,ok,True,True,extraction,
hsi,3959,2016-01-21,3447,3958,512,-1.3180265385288263,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.5895844373748573,5.895844373748573e-07,mle,0.07473274970667912,0.7840228326090926,ok,True,True,extraction,
hsi,3960,2016-01-22,3448,3959,512,-1.3482962794518416,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.5958153117168521,5.958153117168521e-07,mle,0.0924865147282562,0.7506919657584826,ok,True,True,extraction,
hsi,3961,2016-01-25,3449,3960,512,-1.3482962794518416,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.5958153117168521,5.958153117168521e-07,mle,0.0924865147282562,0.7506919657584826,ok,True,True,extraction,
hsi,3962,2016-01-26,3450,3961,512,-1.3482962794518416,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6020654993966219,6.020654993966219e-07,mle,0.0924865147282562,0.7506919657584826,ok,True,True,extraction,
hsi,3963,2016-01-27,3451,3962,512,-1.426694904214193,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6064499313954806,6.064499313954806e-07,mle,0.18801391194275668,0.6296055910244157,ok,True,True,extraction,
hsi,3964,2016-01-28,3452,3963,512,-1.426694904214193,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6070894455878233,6.070894455878233e-07,mle,0.18801391194275668,0.6296055910244157,ok,True,True,extraction,
hsi,3965,2016-01-29,3453,3964,512,-1.426694904214193,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6089720945835717,6.089720945835717e-07,mle,0.18801391194275668,0.6296055910244157,ok,True,True,extraction,
hsi,3966,2016-02-01,3454,3965,512,-1.3482962794518416,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.610394802159292,6.10394802159292e-07,mle,0.08887946398852363,0.757987325308713,ok,True,True,extraction,
hsi,3967,2016-02-02,3455,3966,512,-1.3482962794518416,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.610394802159292,6.10394802159292e-07,mle,0.08887946398852363,0.757987325308713,ok,True,True,extraction,
hsi,3968,2016-02-03,3456,3967,512,-1.3482962794518416,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6123921148104974,6.123921148104974e-07,mle,0.08887946398852363,0.757987325308713,ok,True,True,extraction,
hsi,3969,2016-02-04,3457,3968,512,-1.426694904214193,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6124387857823568,6.124387857823567e-07,mle,0.18589785632293554,0.6328576753288824,ok,True,True,extraction,
hsi,3970,2016-02-05,3458,3969,512,-1.426694904214193,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6123921148104974,6.123921148104974e-07,mle,0.18589785632293554,0.6328576753288824,ok,True,True,extraction,
hsi,3971,2016-02-11,3459,3970,512,-1.426694904214193,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6123921148104974,6.123921148104974e-07,mle,0.18589785632293554,0.6328576753288824,ok,True,True,extraction,
hsi,3972,2016-02-12,3460,3971,512,-1.4364592826412426,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6163836565461681,6.163836565461681e-07,mle,0.17392126171184058,0.6739221511483372,ok,True,True,extraction,
hsi,3973,2016-02-15,3461,3972,512,-1.4364592826412426,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6206799631412042,6.206799631412042e-07,mle,0.17392126171184058,0.6739221511483372,ok,True,True,extraction,
hsi,3974,2016-02-16,3462,3973,512,-1.4364592826412426,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6213487410645513,6.213487410645513e-07,mle,0.17392126171184058,0.6739221511483372,ok,True,True,extraction,
