asset,t,date,ctx_start,ctx_end,W,u,quantile_method,n_lt_u,n_eq_u,n_le_u,n_raw_exc,tie_count,n_kept,tau_nominal,tau_strict,tau_fit,scale_ref,beta_floor,fit_branch,xi,beta,status,var_defined,es_defined,layer,exclusion_reason
jnj,4024,2016-01-04,3512,4023,512,-1.1640823308565733,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.5580673813559025,5.580673813559024e-07,mle,-0.5057374995633483,0.9481157249455207,ok,True,True,extraction,
jnj,4025,2016-01-05,3513,4024,512,-1.1688611532549043,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.5580673813559025,5.580673813559024e-07,mle,-0.5351813354291399,0.9858549243439386,ok,True,True,extraction,
jnj,4026,2016-01-06,3514,4025,512,-1.1688611532549043,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.5580673813559025,5.580673813559024e-07,mle,-0.5351813354291399,0.9858549243439386,ok,True,True,extraction,
jnj,4027,2016-01-07,3515,4026,512,-1.1688611532549043,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.5580673813559025,5.580673813559024e-07,mle,-0.5351813354291399,0.9858549243439386,ok,True,True,extraction,
jnj,4028,2016-01-08,3516,4027,512,-1.171991945154899,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.5612000023772937,5.612000023772937e-07,mle,-0.5320979665648726,0.9797088548590014,ok,True,True,extraction,
jnj,4029,2016-01-11,3517,4028,512,-1.171991945154899,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.559252933252913,5.59252933252913e-07,mle,-0.5320979665648726,0.9797088548590014,ok,True,True,extraction,
jnj,4030,2016-01-12,3518,4029,512,-1.171991945154899,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.5596942900178221,5.59694290017822e-07,mle,-0.5320979665648726,0.9797088548590014,ok,True,True,extraction,
jnj,4031,2016-01-13,3519,4030,512,-1.171991945154899,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.5637155727677499,5.637155727677499e-07,mle,-0.5320979665648726,0.9797088548590014,ok,True,True,extraction,
jnj,4032,2016-01-14,3520,4031,512,-1.185257662076894,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.5637155727677499,5.637155727677499e-07,mle,-0.5202380932986392,0.9556582647435876,ok,True,True,extraction,
jnj,4033,2016-01-15,3521,4032,512,-1.185257662076894,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.5639110437645882,5.639110437645882e-07,mle,-0.5202380932986392,0.9556582647435876,ok,True,True,extraction,
jnj,4034,2016-01-19,3522,4033,512,-1.1918759454714198,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.5637155727677499,5.637155727677499e-07,mle,-0.5352780658734775,0.9722372700871607,ok,True,True,extraction,
jnj,4035,2016-01-20,3523,4034,512,-1.1918759454714198,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.5637155727677499,5.637155727677499e-07,mle,-0.5352780658734775,0.9722372700871607,ok,True,True,extraction,
