asset,t,date,ctx_start,ctx_end,W,u,quantile_method,n_lt_u,n_eq_u,n_le_u,n_raw_exc,tie_count,n_kept,tau_nominal,tau_strict,tau_fit,scale_ref,beta_floor,fit_branch,xi,beta,status,var_defined,es_defined,layer,exclusion_reason
ltc,512,2016-02-12,0,511,512,-4.687934265354608,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,1.4252057457484357,1.4252057457484357e-06,mle,0.3426749334771714,3.279764242353585,ok,True,True,extraction,
ltc,513,2016-02-13,1,512,512,-4.675810205313359,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,1.4082460710452689,1.408246071045269e-06,mle,0.37919511959797614,3.108063536564038,ok,True,True,extraction,
ltc,514,2016-02-14,2,513,512,-4.5790134787616985,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,1.3967078331345066,1.3967078331345065e-06,mle,0.37930503808923804,3.129561848237978,ok,True,True,extraction,
ltc,515,2016-02-15,3,514,512,-4.5790134787616985,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,1.3853688680118554,1.3853688680118553e-06,mle,0.37930503808923804,3.129561848237978,ok,True,True,extraction,
ltc,516,2016-02-16,4,515,512,-4.5790134787616985,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,1.3853688680118554,1.3853688680118553e-06,mle,0.37930503808923804,3.129561848237978,ok,True,True,extraction,
ltc,517,2016-02-17,5,516,512,-4.5790134787616985,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,1.3853688680118554,1.3853688680118553e-06,mle,0.37930503808923804,3.129561848237978,ok,True,True,extraction,
ltc,518,2016-02-18,6,517,512,-4.5790134787616985,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,1.3837730987381023,1.3837730987381022e-06,mle,0.37930503808923804,3.129561848237978,ok,True,True,extraction,
ltc,519,2016-02-19,7,518,512,-4.5790134787616985,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,1.3822716378291768,1.3822716378291769e-06,mle,0.37930503808923804,3.129561848237978,ok,True,True,extraction,
ltc,520,2016-02-20,8,519,512,-4.5790134787616985,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,1.3643358610995158,1.3643358610995158e-06,mle,0.37930503808923804,3.129561848237978,ok,True,True,extraction,
ltc,521,2016-02-21,9,520,512,-4.5790134787616985,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,1.3576366917917013,1.3576366917917013e-06,mle,0.37930503808923804,3.129561848237978,ok,True,True,extraction,
ltc,522,2016-02-22,10,521,512,-4.5790134787616985,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,1.3576366917917015,1.3576366917917015e-06,mle,0.37930503808923804,3.129561848237978,ok,True,True,extraction,
ltc,523,2016-02-23,11,522,512,-4.5790134787616985,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,1.3523434150912805,1.3523434150912805e-06,mle,0.37930503808923804,3.129561848237978,ok,True,True,extraction,
