asset,t,date,ctx_start,ctx_end,W,u,quantile_method,n_lt_u,n_eq_u,n_le_u,n_raw_exc,tie_count,n_kept,tau_nominal,tau_strict,tau_fit,scale_ref,beta_floor,fit_branch,xi,beta,status,var_defined,es_defined,layer,exclusion_reason
ndx,4024,2016-01-04,3512,4023,512,-1.1789520486120566,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.5457019167828061,5.457019167828061e-07,mle,-0.012206683284585745,0.7069999139468962,ok,True,True,extraction,
ndx,4025,2016-01-05,3513,4024,512,-1.1854618646458364,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.5461602435782681,5.461602435782681e-07,mle,-0.04344511346937229,0.740587187175562,ok,True,True,extraction,
ndx,4026,2016-01-06,3514,4025,512,-1.1854618646458364,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.54936375308413,5.4936375308413e-07,mle,-0.04344511346937229,0.740587187175562,ok,True,True,extraction,
ndx,4027,2016-01-07,3515,4026,512,-1.1854618646458364,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.5485495126295714,5.485495126295714e-07,mle,-0.04344511346937229,0.740587187175562,ok,True,True,extraction,
ndx,4028,2016-01-08,3516,4027,512,-1.1929743119169798,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.551547480954101,5.51547480954101e-07,mle,-0.07494509870180664,0.7960742762219236,ok,True,True,extraction,
ndx,4029,2016-01-11,3517,4028,512,-1.1929743119169798,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.5550511503396007,5.550511503396007e-07,mle,-0.07494509870180664,0.7960742762219236,ok,True,True,extraction,
ndx,4030,2016-01-12,3518,4029,512,-1.1929743119169798,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.5539736629633427,5.539736629633427e-07,mle,-0.07494509870180664,0.7960742762219236,ok,True,True,extraction,
ndx,4031,2016-01-13,3519,4030,512,-1.1929743119169798,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.5527512097929579,5.527512097929579e-07,mle,-0.07494509870180664,0.7960742762219236,ok,True,True,extraction,
ndx,4032,2016-01-14,3520,4031,512,-1.1991835284480434,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.5571349937554063,5.571349937554063e-07,mle,-0.10261112210936255,0.8600157315116459,ok,True,True,extraction,
ndx,4033,2016-01-15,3521,4032,512,-1.1991835284480434,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.5534727830928907,5.534727830928907e-07,mle,-0.10261112210936255,0.8600157315116459,ok,True,True,extraction,
ndx,4034,2016-01-19,3522,4033,512,-1.203981377204232,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.5534727830928907,5.534727830928907e-07,mle,-0.1484331202205689,0.934238095474907,ok,True,True,extraction,
ndx,4035,2016-01-20,3523,4034,512,-1.203981377204232,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.5513549293453096,5.513549293453096e-07,mle,-0.1484331202205689,0.934238095474907,ok,True,True,extraction,
ndx,4036,2016-01-21,3524,4035,512,-1.203981377204232,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.5527512097929579,5.527512097929579e-07,mle,-0.1484331202205689,0.934238095474907,ok,True,True,extraction,
ndx,4037,2016-01-22,3525,4036,512,-1.203981377204232,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.5527512097929579,5.527512097929579e-07,mle,-0.1484331202205689,0.934238095474907,ok,True,True,extraction,
ndx,4038,2016-01-25,3526,4037,512,-1.203981377204232,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.5513549293453096,5.513549293453096e-07,mle,-0.1484331202205689,0.934238095474907,ok,True,True,extraction,
ndx,4039,2016-01-26,3527,4038,512,-1.211319777732877,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.554338682741536,5.543386827415359e-07,mle,-0.15144347640130876,0.9345965311100184,ok,True,True,extraction,
ndx,4040,2016-01-27,3528,4039,512,-1.203981377204232,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.5519675726539868,5.519675726539868e-07,mle,-0.14928020595939656,0.935328451051787,ok,True,True,extraction,
ndx,4041,2016-01-28,3529,4040,512,-1.211319777732877,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.554338682741536,5.543386827415359e-07,mle,-0.1850061061046569,0.986049206448254,ok,True,True,extraction,
ndx,4042,2016-01-29,3530,4041,512,-1.211319777732877,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.554338682741536,5.543386827415359e-07,mle,-0.1850061061046569,0.986049206448254,ok,True,True,extraction,
ndx,4043,2016-02-01,3531,4042,512,-1.211319777732877,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.5541481056338621,5.541481056338621e-07,mle,-0.1850061061046569,0.986049206448254,ok,True,True,extraction,
ndx,4044,2016-02-02,3532,4043,512,-1.211319777732877,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.553646540198307,5.53646540198307e-07,mle,-0.1850061061046569,0.986049206448254,ok,True,True,extraction,
ndx,4045,2016-02-03,3533,4044,512,-1.262268384289086,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.5519675726539868,5.519675726539868e-07,mle,-0.1559745874838364,0.92469352351646,ok,True,True,extraction,
ndx,4046,2016-02-04,3534,4045,512,-1.262268384289086,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.5549655409785164,5.549655409785163e-07,mle,-0.1559745874838364,0.92469352351646,ok,True,True,extraction,
ndx,4047,2016-02-05,3535,4046,512,-1.262268384289086,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.5549655409785164,5.549655409785163e-07,mle,-0.1559745874838364,0.92469352351646,ok,True,True,extraction,
ndx,4048,2016-02-08,3536,4047,512,-1.262268384289086,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.5549655409785164,5.549655409785163e-07,mle,-0.17404715409254531,0.9742969986307145,ok,True,True,extraction,
ndx,4049,2016-02-09,3537,4048,512,-1.2704271313741364,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.5549655409785164,5.549655409785163e-07,mle,-0.17755828606651297,0.9749345898316942,ok,True,True,extraction,
ndx,4050,2016-02-10,3538,4049,512,-1.2704271313741364,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.5549655409785164,5.549655409785163e-07,mle,-0.17755828606651297,0.9749345898316942,ok,True,True,extraction,
ndx,4051,2016-02-11,3539,4050,512,-1.2704271313741364,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.5519675726539868,5.519675726539868e-07,mle,-0.17755828606651297,0.9749345898316942,ok,True,True,extraction,
ndx,4052,2016-02-12,3540,4051,512,-1.2704271313741364,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.5534727830928907,5.534727830928907e-07,mle,-0.17755828606651297,0.9749345898316942,ok,True,True,extraction,
ndx,4053,2016-02-16,3541,4052,512,-1.2704271313741364,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.5519675726539868,5.519675726539868e-07,mle,-0.17755828606651297,0.9749345898316942,ok,True,True,extraction,
ndx,4054,2016-02-17,3542,4053,512,-1.262268384289086,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.553646540198307,5.53646540198307e-07,mle,-0.14343627567209227,0.9315068037723565,ok,True,True,extraction,
ndx,4055,2016-02-18,3543,4054,512,-1.262268384289086,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.553646540198307,5.53646540198307e-07,mle,-0.14343627567209227,0.9315068037723565,ok,True,True,extraction,
ndx,4056,2016-02-19,3544,4055,512,-1.262268384289086,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.5542182009182588,5.542182009182588e-07,mle,-0.14343627567209227,0.9315068037723565,ok,True,True,extraction,
