asset,t,date,ctx_start,ctx_end,W,u,quantile_method,n_lt_u,n_eq_u,n_le_u,n_raw_exc,tie_count,n_kept,tau_nominal,tau_strict,tau_fit,scale_ref,beta_floor,fit_branch,xi,beta,status,var_defined,es_defined,layer,exclusion_reason
nikkei,3924,2016-01-04,3412,3923,512,-1.5946223339208483,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6784595071205193,6.784595071205192e-07,mle,-0.24623079091596325,1.1063627566926062,ok,True,True,extraction,
nikkei,3925,2016-01-05,3413,3924,512,-1.6244058625520517,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6784595071205193,6.784595071205192e-07,mle,-0.25845749246505045,1.116736163920693,ok,True,True,extraction,
nikkei,3926,2016-01-06,3414,3925,512,-1.6244058625520517,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6784595071205193,6.784595071205192e-07,mle,-0.25845749246505045,1.116736163920693,ok,True,True,extraction,
nikkei,3927,2016-01-07,3415,3926,512,-1.6244058625520517,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6772465181115401,6.772465181115401e-07,mle,-0.25845749246505045,1.116736163920693,ok,True,True,extraction,
nikkei,3928,2016-01-08,3416,3927,512,-1.6366786476853246,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.677820038220184,6.778200382201839e-07,mle,-0.26784417370019437,1.1263677252875812,ok,True,True,extraction,
nikkei,3929,2016-01-12,3417,3928,512,-1.6366786476853246,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.677820038220184,6.778200382201839e-07,mle,-0.26784417370019437,1.1263677252875812,ok,True,True,extraction,
nikkei,3930,2016-01-13,3418,3929,512,-1.6469372696681295,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6883318659876643,6.883318659876643e-07,mle,-0.2881886683590424,1.1571668986204027,ok,True,True,extraction,
nikkei,3931,2016-01-14,3419,3930,512,-1.6366786476853246,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6855954020471332,6.855954020471331e-07,mle,-0.2826644562774935,1.152837860509489,ok,True,True,extraction,
nikkei,3932,2016-01-15,3420,3931,512,-1.6469372696681295,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6855954020471332,6.855954020471331e-07,mle,-0.30138335264730376,1.1815805027834512,ok,True,True,extraction,
nikkei,3933,2016-01-18,3421,3932,512,-1.6469372696681295,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6792287351051097,6.792287351051097e-07,mle,-0.30138335264730376,1.1815805027834512,ok,True,True,extraction,
nikkei,3934,2016-01-19,3422,3933,512,-1.6469372696681295,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6816512910818089,6.816512910818089e-07,mle,-0.30138335264730376,1.1815805027834512,ok,True,True,extraction,
nikkei,3935,2016-01-20,3423,3934,512,-1.6469372696681295,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6792287351051097,6.792287351051097e-07,mle,-0.30138335264730376,1.1815805027834512,ok,True,True,extraction,
nikkei,3936,2016-01-21,3424,3935,512,-1.6600170614020502,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6792287351051097,6.792287351051097e-07,mle,-0.3367018296378168,1.2521820372180434,ok,True,True,extraction,
nikkei,3937,2016-01-22,3425,3936,512,-1.6923284741511064,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6792287351051097,6.792287351051097e-07,mle,-0.329002800646677,1.2218472611347537,ok,True,True,extraction,
nikkei,3938,2016-01-25,3426,3937,512,-1.6923284741511064,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6883318659876643,6.883318659876643e-07,mle,-0.329002800646677,1.2218472611347537,ok,True,True,extraction,
nikkei,3939,2016-01-26,3427,3938,512,-1.6923284741511064,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6855954020471332,6.855954020471331e-07,mle,-0.329002800646677,1.2218472611347537,ok,True,True,extraction,
nikkei,3940,2016-01-27,3428,3939,512,-1.705655879579477,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6883318659876643,6.883318659876643e-07,mle,-0.3341134127824329,1.2244543868822269,ok,True,True,extraction,
nikkei,3941,2016-01-28,3429,3940,512,-1.705655879579477,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6883318659876643,6.883318659876643e-07,mle,-0.3341134127824329,1.2244543868822269,ok,True,True,extraction,
nikkei,3942,2016-01-29,3430,3941,512,-1.705655879579477,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6891398258018713,6.891398258018712e-07,mle,-0.3341134127824329,1.2244543868822269,ok,True,True,extraction,
nikkei,3943,2016-02-01,3431,3942,512,-1.705655879579477,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6969151896288204,6.969151896288203e-07,mle,-0.3341134127824329,1.2244543868822269,ok,True,True,extraction,
nikkei,3944,2016-02-02,3432,3943,512,-1.705655879579477,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6979384861749487,6.979384861749487e-07,mle,-0.3341134127824329,1.2244543868822269,ok,True,True,extraction,
nikkei,3945,2016-02-03,3433,3944,512,-1.705655879579477,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.7022735127969232,7.022735127969232e-07,mle,-0.3341134127824329,1.2244543868822269,ok,True,True,extraction,
nikkei,3946,2016-02-04,3434,3945,512,-1.7205752794649767,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.7022735127969233,7.022735127969233e-07,mle,-0.35607785972237926,1.2611026350234251,ok,True,True,extraction,
nikkei,3947,2016-02-05,3435,3946,512,-1.7205752794649767,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.7080754444482175,7.080754444482175e-07,mle,-0.35607785972237926,1.2611026350234251,ok,True,True,extraction,
nikkei,3948,2016-02-08,3436,3947,512,-1.7205752794649767,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.7113727953106767,7.113727953106766e-07,mle,-0.35607785972237926,1.2611026350234251,ok,True,True,extraction,
nikkei,3949,2016-02-09,3437,3948,512,-1.705655879579477,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.7133831841151117,7.133831841151117e-07,mle,-0.35310127561960497,1.263071871225409,ok,True,True,extraction,
nikkei,3950,2016-02-10,3438,3949,512,-1.7205752794649767,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.7141197760668405,7.141197760668405e-07,mle,-0.22023733721736422,1.2069195580284489,ok,True,True,extraction,
nikkei,3951,2016-02-12,3439,3950,512,-1.7740874171141938,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.7121093872624054,7.121093872624053e-07,mle,-0.1953194012107964,1.1341541716686205,ok,True,True,extraction,
nikkei,3952,2016-02-15,3440,3951,512,-1.80604518787319,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.7121093872624054,7.121093872624053e-07,mle,-0.19147916189294187,1.1682435408983423,ok,True,True,extraction,
nikkei,3953,2016-02-16,3441,3952,512,-1.80604518787319,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.7134244252987908,7.134244252987908e-07,mle,-0.19147916189294187,1.1682435408983423,ok,True,True,extraction,
nikkei,3954,2016-02-17,3442,3953,512,-1.7740874171141938,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.7141197760668405,7.141197760668405e-07,mle,-0.1865072993009554,1.1708250916302885,ok,True,True,extraction,
nikkei,3955,2016-02-18,3443,3954,512,-1.7740874171141938,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.7121093872624054,7.121093872624053e-07,mle,-0.1865072993009554,1.1708250916302885,ok,True,True,extraction,
nikkei,3956,2016-02-19,3444,3955,512,-1.7740874171141938,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.7154348141032258,7.154348141032258e-07,mle,-0.1865072993009554,1.1708250916302885,ok,True,True,extraction,
nikkei,3957,2016-02-22,3445,3956,512,-1.7740874171141938,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.7162149935481967,7.162149935481967e-07,mle,-0.1865072993009554,1.1708250916302885,ok,True,True,extraction,
nikkei,3958,2016-02-23,3446,3957,512,-1.7740874171141938,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.7184970255908911,7.184970255908911e-07,mle,-0.1865072993009554,1.1708250916302885,ok,True,True,extraction,
nikkei,3959,2016-02-24,3447,3958,512,-1.7740874171141938,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.7162149935481967,7.162149935481967e-07,mle,-0.1865072993009554,1.1708250916302885,ok,True,True,extraction,
nikkei,3960,2016-02-25,3448,3959,512,-1.7740874171141938,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.7150509032615722,7.150509032615722e-07,mle,-0.1865072993009554,1.1708250916302885,ok,True,True,extraction,
nikkei,3961,2016-02-26,3449,3960,512,-1.7740874171141938,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.7170612920660071,7.170612920660071e-07,mle,-0.1865072993009554,1.1708250916302885,ok,True,True,extraction,
nikkei,3962,2016-02-29,3450,3961,512,-1.7205752794649767,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.7178999661950751,7.178999661950751e-07,mle,-0.2246438842903727,1.2671146923831658,ok,True,True,extraction,
nikkei,3963,2016-03-01,3451,3962,512,-1.705655879579477,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.7178999661950751,7.178999661950751e-07,mle,-0.2169968144883868,1.2589286930350134,ok,True,True,extraction,
nikkei,3964,2016-03-02,3452,3963,512,-1.705655879579477,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.7201394021226194,7.201394021226193e-07,mle,-0.2169968144883868,1.2589286930350134,ok,True,True,extraction,
nikkei,3965,2016-03-03,3453,3964,512,-1.705655879579477,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.7201394021226194,7.201394021226193e-07,mle,-0.2169968144883868,1.2589286930350134,ok,True,True,extraction,
nikkei,3966,2016-03-04,3454,3965,512,-1.6923284741511064,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.7219566860912467,7.219566860912468e-07,mle,-0.20862866985397852,1.2490168718692418,ok,True,True,extraction,
