asset,t,date,ctx_start,ctx_end,W,u,quantile_method,n_lt_u,n_eq_u,n_le_u,n_raw_exc,tie_count,n_kept,tau_nominal,tau_strict,tau_fit,scale_ref,beta_floor,fit_branch,xi,beta,status,var_defined,es_defined,layer,exclusion_reason
nvda,4024,2016-01-04,3512,4023,512,-1.8771709822454874,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.9459620080068126,9.459620080068125e-07,mle,0.1535568237994911,0.8750759919542792,ok,True,True,extraction,
nvda,4025,2016-01-05,3513,4024,512,-1.8771709822454874,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.9468578237437973,9.468578237437973e-07,mle,0.1535568237994911,0.8750759919542792,ok,True,True,extraction,
nvda,4026,2016-01-06,3514,4025,512,-1.8771709822454874,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.9468578237437973,9.468578237437973e-07,mle,0.1535568237994911,0.8750759919542792,ok,True,True,extraction,
nvda,4027,2016-01-07,3515,4026,512,-1.899525023620569,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.9522552022679305,9.522552022679305e-07,mle,0.1392419508972192,0.90934899961153,ok,True,True,extraction,
nvda,4028,2016-01-08,3516,4027,512,-1.9132535131217145,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.9564035315429994,9.564035315429994e-07,mle,0.10817165801256484,0.9654818473161784,ok,True,True,extraction,
nvda,4029,2016-01-11,3517,4028,512,-1.9272530788257143,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.9564035315429994,9.564035315429994e-07,mle,0.11412824612881489,0.9512254910159296,ok,True,True,extraction,
nvda,4030,2016-01-12,3518,4029,512,-1.9272530788257143,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.9564035315429994,9.564035315429994e-07,mle,0.11412824612881489,0.9512254910159296,ok,True,True,extraction,
nvda,4031,2016-01-13,3519,4030,512,-1.9272530788257143,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.9564035315429994,9.564035315429994e-07,mle,0.11412824612881489,0.9512254910159296,ok,True,True,extraction,
nvda,4032,2016-01-14,3520,4031,512,-1.9347117651873187,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.973885152318873,9.73885152318873e-07,mle,0.08181261408491591,0.9985085709847192,ok,True,True,extraction,
nvda,4033,2016-01-15,3521,4032,512,-1.9384657871762079,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.973885152318873,9.73885152318873e-07,mle,0.08139532468198636,0.9972713550535086,ok,True,True,extraction,
