asset,t,date,ctx_start,ctx_end,W,u,quantile_method,n_lt_u,n_eq_u,n_le_u,n_raw_exc,tie_count,n_kept,tau_nominal,tau_strict,tau_fit,scale_ref,beta_floor,fit_branch,xi,beta,status,var_defined,es_defined,layer,exclusion_reason
rut,4024,2016-01-04,3512,4023,512,-1.3817818379050877,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6457252389251562,6.457252389251562e-07,mle,0.08588946998522129,0.48164967065503955,ok,True,True,extraction,
rut,4025,2016-01-05,3513,4024,512,-1.3955637481035803,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6457252389251562,6.457252389251562e-07,mle,0.06724081938829385,0.4970840221112718,ok,True,True,extraction,
rut,4026,2016-01-06,3514,4025,512,-1.3955637481035803,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6422844973839418,6.422844973839418e-07,mle,0.06724081938829385,0.4970840221112718,ok,True,True,extraction,
rut,4027,2016-01-07,3515,4026,512,-1.4193086377241848,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6365165564840132,6.365165564840131e-07,mle,0.17011549108950996,0.42726026950054574,ok,True,True,extraction,
rut,4028,2016-01-08,3516,4027,512,-1.4313454947987465,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6401368916181356,6.401368916181355e-07,mle,0.15709367199482732,0.44519692383408616,ok,True,True,extraction,
rut,4029,2016-01-11,3517,4028,512,-1.4426410383982957,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6543365172136743,6.543365172136743e-07,mle,0.16545954792424977,0.4367668737718515,ok,True,True,extraction,
rut,4030,2016-01-12,3518,4029,512,-1.4426410383982957,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6543365172136743,6.543365172136743e-07,mle,0.16545954792424977,0.4367668737718515,ok,True,True,extraction,
rut,4031,2016-01-13,3519,4030,512,-1.4426410383982957,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6543365172136743,6.543365172136743e-07,mle,0.16545954792424977,0.4367668737718515,ok,True,True,extraction,
rut,4032,2016-01-14,3520,4031,512,-1.4461023192839138,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6628424463329525,6.628424463329525e-07,mle,0.13624412241345457,0.4795262991266005,ok,True,True,extraction,
rut,4033,2016-01-15,3521,4032,512,-1.4461023192839138,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6629466303246642,6.629466303246641e-07,mle,0.13624412241345457,0.4795262991266005,ok,True,True,extraction,
rut,4034,2016-01-19,3522,4033,512,-1.4485830891718496,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6658134292585991,6.658134292585991e-07,mle,0.09187447305305307,0.505472711299759,ok,True,True,extraction,
rut,4035,2016-01-20,3523,4034,512,-1.4485830891718496,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6658134292585991,6.658134292585991e-07,mle,0.09187447305305307,0.505472711299759,ok,True,True,extraction,
rut,4036,2016-01-21,3524,4035,512,-1.4485830891718496,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6628424463329525,6.628424463329525e-07,mle,0.09187447305305307,0.505472711299759,ok,True,True,extraction,
rut,4037,2016-01-22,3525,4036,512,-1.4485830891718496,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6628424463329525,6.628424463329525e-07,mle,0.09187447305305307,0.505472711299759,ok,True,True,extraction,
rut,4038,2016-01-25,3526,4037,512,-1.4485830891718496,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6658134292585991,6.658134292585991e-07,mle,0.09187447305305307,0.505472711299759,ok,True,True,extraction,
rut,4039,2016-01-26,3527,4038,512,-1.4533821032109637,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6709264663005985,6.709264663005984e-07,mle,0.026527359987116188,0.5519364042413749,ok,True,True,extraction,
rut,4040,2016-01-27,3528,4039,512,-1.4533821032109637,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6681789619198568,6.681789619198567e-07,mle,0.026527359987116188,0.5519364042413749,ok,True,True,extraction,
rut,4041,2016-01-28,3529,4040,512,-1.4573574566249763,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6709264663005985,6.709264663005984e-07,mle,0.03442554944210244,0.5446601968855376,ok,True,True,extraction,
rut,4042,2016-01-29,3530,4041,512,-1.4573574566249763,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6709264663005985,6.709264663005984e-07,mle,0.03442554944210244,0.5446601968855376,ok,True,True,extraction,
rut,4043,2016-02-01,3531,4042,512,-1.4573574566249763,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6739407272844647,6.739407272844647e-07,mle,0.03442554944210244,0.5446601968855376,ok,True,True,extraction,
rut,4044,2016-02-02,3532,4043,512,-1.4573574566249763,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6739407272844647,6.739407272844647e-07,mle,0.03442554944210244,0.5446601968855376,ok,True,True,extraction,
rut,4045,2016-02-03,3533,4044,512,-1.4619851448298347,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6816655250905814,6.816655250905814e-07,mle,-0.0236101803226307,0.5892862134817106,ok,True,True,extraction,
rut,4046,2016-02-04,3534,4045,512,-1.4619851448298347,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6816655250905814,6.816655250905814e-07,mle,-0.0236101803226307,0.5892862134817106,ok,True,True,extraction,
rut,4047,2016-02-05,3535,4046,512,-1.4619851448298347,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6739407272844647,6.739407272844647e-07,mle,-0.0236101803226307,0.5892862134817106,ok,True,True,extraction,
rut,4048,2016-02-08,3536,4047,512,-1.4619851448298347,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6739407272844647,6.739407272844647e-07,mle,-0.02146313688839646,0.5974030656724156,ok,True,True,extraction,
rut,4049,2016-02-09,3537,4048,512,-1.4659395475319865,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6739407272844647,6.739407272844647e-07,mle,-0.0319682578328469,0.603566349525944,ok,True,True,extraction,
rut,4050,2016-02-10,3538,4049,512,-1.4659395475319865,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6653306141734748,6.653306141734748e-07,mle,-0.0319682578328469,0.603566349525944,ok,True,True,extraction,
rut,4051,2016-02-11,3539,4050,512,-1.4659395475319865,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6623163531896086,6.623163531896086e-07,mle,-0.0319682578328469,0.603566349525944,ok,True,True,extraction,
rut,4052,2016-02-12,3540,4051,512,-1.4659395475319865,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6609545621133375,6.609545621133375e-07,mle,-0.0319682578328469,0.603566349525944,ok,True,True,extraction,
rut,4053,2016-02-16,3541,4052,512,-1.4659395475319865,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6623163531896086,6.623163531896086e-07,mle,-0.0319682578328469,0.603566349525944,ok,True,True,extraction,
rut,4054,2016-02-17,3542,4053,512,-1.4619851448298347,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6632300004777667,6.632300004777666e-07,mle,0.005146766882329363,0.5512369616505159,ok,True,True,extraction,
rut,4055,2016-02-18,3543,4054,512,-1.4619851448298347,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6632300004777667,6.632300004777666e-07,mle,0.005146766882329363,0.5512369616505159,ok,True,True,extraction,
rut,4056,2016-02-19,3544,4055,512,-1.4619851448298347,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6632300004777667,6.632300004777666e-07,mle,0.005146766882329363,0.5512369616505159,ok,True,True,extraction,
rut,4057,2016-02-22,3545,4056,512,-1.4619851448298347,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6572033161476092,6.572033161476091e-07,mle,0.005146766882329363,0.5512369616505159,ok,True,True,extraction,
rut,4058,2016-02-23,3546,4057,512,-1.4619851448298347,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6572033161476092,6.572033161476091e-07,mle,0.005146766882329363,0.5512369616505159,ok,True,True,extraction,
rut,4059,2016-02-24,3547,4058,512,-1.4619851448298347,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6623163531896086,6.623163531896086e-07,mle,0.005146766882329363,0.5512369616505159,ok,True,True,extraction,
rut,4060,2016-02-25,3548,4059,512,-1.4619851448298347,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6623163531896086,6.623163531896086e-07,mle,0.005146766882329363,0.5512369616505159,ok,True,True,extraction,
rut,4061,2016-02-26,3549,4060,512,-1.4619851448298347,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6653306141734748,6.653306141734748e-07,mle,0.005146766882329363,0.5512369616505159,ok,True,True,extraction,
rut,4062,2016-02-29,3550,4061,512,-1.4619851448298347,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6623163531896086,6.623163531896086e-07,mle,0.005146766882329363,0.5512369616505159,ok,True,True,extraction,
rut,4063,2016-03-01,3551,4062,512,-1.4619851448298347,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6609545621133375,6.609545621133375e-07,mle,0.005146766882329363,0.5512369616505159,ok,True,True,extraction,
rut,4064,2016-03-02,3552,4063,512,-1.4619851448298347,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6609545621133375,6.609545621133375e-07,mle,0.005146766882329363,0.5512369616505159,ok,True,True,extraction,
rut,4065,2016-03-03,3553,4064,512,-1.4619851448298347,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6623163531896086,6.623163531896086e-07,mle,0.005146766882329363,0.5512369616505159,ok,True,True,extraction,
rut,4066,2016-03-04,3554,4065,512,-1.4619851448298347,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6623163531896086,6.623163531896086e-07,mle,0.005146766882329363,0.5512369616505159,ok,True,True,extraction,
rut,4067,2016-03-07,3555,4066,512,-1.4619851448298347,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6623163531896086,6.623163531896086e-07,mle,0.005146766882329363,0.5512369616505159,ok,True,True,extraction,
rut,4068,2016-03-08,3556,4067,512,-1.4619851448298347,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6623163531896086,6.623163531896086e-07,mle,0.005146766882329363,0.5512369616505159,ok,True,True,extraction,
rut,4069,2016-03-09,3557,4068,512,-1.4659395475319865,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6653306141734748,6.653306141734748e-07,mle,-0.0509870155935878,0.5980360926022777,ok,True,True,extraction,
rut,4070,2016-03-10,3558,4069,512,-1.4659395475319865,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6653306141734748,6.653306141734748e-07,mle,-0.0509870155935878,0.5980360926022777,ok,True,True,extraction,
rut,4071,2016-03-11,3559,4070,512,-1.4659395475319865,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6665373582392382,6.665373582392382e-07,mle,-0.0509870155935878,0.5980360926022777,ok,True,True,extraction,
rut,4072,2016-03-14,3560,4071,512,-1.4659395475319865,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6751474713502281,6.75147471350228e-07,mle,-0.0509870155935878,0.5980360926022777,ok,True,True,extraction,
rut,4073,2016-03-15,3561,4072,512,-1.4659395475319865,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6751474713502281,6.75147471350228e-07,mle,-0.0509870155935878,0.5980360926022777,ok,True,True,extraction,
rut,4074,2016-03-16,3562,4073,512,-1.4708533715203305,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6730554119795915,6.730554119795915e-07,mle,-0.05358302483906592,0.5977661005834267,ok,True,True,extraction,
rut,4075,2016-03-17,3563,4074,512,-1.4708533715203305,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6816655250905814,6.816655250905814e-07,mle,-0.05358302483906592,0.5977661005834267,ok,True,True,extraction,
rut,4076,2016-03-18,3564,4075,512,-1.4708533715203305,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6783756990629208,6.783756990629208e-07,mle,-0.05358302483906592,0.5977661005834267,ok,True,True,extraction,
rut,4077,2016-03-21,3565,4076,512,-1.4708533715203305,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6831705853843821,6.831705853843821e-07,mle,-0.05358302483906592,0.5977661005834267,ok,True,True,extraction,
rut,4078,2016-03-22,3566,4077,512,-1.4708533715203305,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6831705853843821,6.831705853843821e-07,mle,-0.05358302483906592,0.5977661005834267,ok,True,True,extraction,
rut,4079,2016-03-23,3567,4078,512,-1.4708533715203305,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6789495803347525,6.789495803347524e-07,mle,-0.05358302483906592,0.5977661005834267,ok,True,True,extraction,
rut,4080,2016-03-24,3568,4079,512,-1.4787045901463085,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6789883842346864,6.789883842346864e-07,mle,-0.07339368214071201,0.6115106316259431,ok,True,True,extraction,
rut,4081,2016-03-28,3569,4080,512,-1.4787045901463085,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6789495803347525,6.789495803347524e-07,mle,-0.07339368214071201,0.6115106316259431,ok,True,True,extraction,
rut,4082,2016-03-29,3570,4081,512,-1.4787045901463085,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6789495803347525,6.789495803347524e-07,mle,-0.07339368214071201,0.6115106316259431,ok,True,True,extraction,
rut,4083,2016-03-30,3571,4082,512,-1.4787045901463085,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6831705853843821,6.831705853843821e-07,mle,-0.07339368214071201,0.6115106316259431,ok,True,True,extraction,
rut,4084,2016-03-31,3572,4083,512,-1.4787045901463085,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6789495803347525,6.789495803347524e-07,mle,-0.07339368214071201,0.6115106316259431,ok,True,True,extraction,
rut,4085,2016-04-01,3573,4084,512,-1.4787045901463085,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6738005001419101,6.7380050014191e-07,mle,-0.07339368214071201,0.6115106316259431,ok,True,True,extraction,
