asset,model,alpha,n,hit_old,hit_new,uc_p_old,uc_p_new,uc_pass_old,uc_pass_new,flip,fz0_old,fz0_new,mean_var_shift,share_shallower
spx,chronos_bolt,0.01,2639,0.013641530882910194,0.013262599469496022,0.07439256074392561,0.11358864113588642,True,True,False,1.428956603330872,1.4271591107251502,-0.013782911564972482,0.0
spx,chronos_bolt,0.025,2639,0.03220917014020462,0.031072375899962108,0.025197480251974803,0.0633936606339366,False,True,True,1.1034970211659287,1.1019201968924657,-0.012879764186559877,0.0
spx,chronos_bolt,0.05,2639,0.06744979158772262,0.0651762031072376,9.999000099990002e-05,0.0017998200179982,False,False,False,0.8731171804124486,0.870856198269393,-0.012548573739738854,0.0
spx,chronos_2,0.01,2639,0.012125805229253505,0.012125805229253505,0.32966703329667035,0.32966703329667035,True,True,False,1.4764780743162624,1.4753726990464615,-0.016524711864052605,0.0
spx,chronos_2,0.025,2639,0.025767336112163697,0.02425161045850701,0.8041195880411959,0.8494150584941506,True,True,False,1.1351681420704565,1.1350749200322936,-0.0153216286526677,0.0
spx,chronos_2,0.05,2639,0.051155740810913224,0.050776809397499054,0.7904209579042096,0.8633136686331366,True,True,False,0.8768198027186956,0.8766669610797837,-0.014833521272915786,0.0
spx,timesfm_2_5,0.01,2639,0.012883668056081848,0.012883668056081848,0.1653834616538346,0.1653834616538346,True,True,False,1.385590656896191,1.3845373245311035,-0.01407308860883307,0.0
spx,timesfm_2_5,0.025,2639,0.028419856006062904,0.02804092459264873,0.2913708629137086,0.34766523347665235,True,True,False,1.0859084120456086,1.0852355478321334,-0.01322361431974963,0.0
spx,timesfm_2_5,0.05,2639,0.06138688897309587,0.05987116331943918,0.011398860113988602,0.028097190280971903,False,False,False,0.8626178750612957,0.8612945180205809,-0.01293160762659668,0.0
spx,moirai_2_0,0.01,2639,0.010231148162182645,0.009852216748768473,0.9225077492250775,1.0,True,True,False,1.3536751397881852,1.354108333951908,-0.016110438053849225,0.0
spx,moirai_2_0,0.025,2639,0.02008336491095112,0.02008336491095112,0.10768923107689231,0.10768923107689231,True,True,False,1.0912781896985566,1.0925905890642398,-0.01508919929662081,0.0
spx,moirai_2_0,0.05,2639,0.04509283819628647,0.0447139067828723,0.25047495250474955,0.21447855214478553,True,True,False,0.8479618736730378,0.8490719298146316,-0.014710652804300197,0.0
spx,lag_llama,0.01,2639,0.021599090564607806,0.021599090564607806,9.999000099990002e-05,9.999000099990002e-05,False,False,False,1.6567242401186393,1.6515082692914937,-0.013103533259757796,0.0
spx,lag_llama,0.025,2639,0.04130352406214475,0.04054566123531641,9.999000099990002e-05,9.999000099990002e-05,False,False,False,1.316804461306299,1.3123403106089095,-0.012203010146845186,0.0
spx,lag_llama,0.05,2639,0.07616521409624857,0.07578628268283441,9.999000099990002e-05,9.999000099990002e-05,False,False,False,1.058598945786219,1.053663723865319,-0.011829236834360428,0.0
dgs30,chronos_bolt,0.01,2625,0.011428571428571429,0.013714285714285714,0.48485151484851513,0.0734926507349265,True,True,False,,,0.5815785205495552,0.9455238095238095
dgs30,chronos_bolt,0.025,2625,0.025523809523809525,0.032,0.9018098190180982,0.029697030296970302,True,False,True,,,0.648126587081209,0.9455238095238095
dgs30,chronos_bolt,0.05,2625,0.04838095238095238,0.06285714285714286,0.7161283871612839,0.004199580041995801,True,False,True,,,0.7139891498009121,0.9455238095238095
dgs30,chronos_2,0.01,2625,0.007238095238095238,0.008761904761904762,0.13988601139886012,0.5533446655334466,True,True,False,,,0.679089011841428,0.9455238095238095
dgs30,chronos_2,0.025,2625,0.01561904761904762,0.02019047619047619,0.0011998800119988001,0.10438956104389562,False,True,True,,,0.7506878006128829,0.9455238095238095
dgs30,chronos_2,0.05,2625,0.03428571428571429,0.04876190476190476,0.00029997000299970003,0.786021397860214,False,True,True,,,0.8224242216775423,0.9455238095238095
dgs30,timesfm_2_5,0.01,2625,0.004571428571428572,0.006857142857142857,0.0027997200279972004,0.09449055094490551,False,True,True,,,0.6419163225790513,0.9455238095238095
dgs30,timesfm_2_5,0.025,2625,0.017523809523809525,0.021714285714285714,0.012998700129987,0.29317068293170684,False,True,True,,,0.7192949302115157,0.9455238095238095
dgs30,timesfm_2_5,0.05,2625,0.034666666666666665,0.048,0.0004999500049995,0.6519348065193481,False,True,True,,,0.7954674992224267,0.9455238095238095
dgs30,moirai_2_0,0.01,2625,0.006095238095238095,0.007619047619047619,0.0342965703429657,0.20407959204079593,False,True,True,,,0.6408862712323211,0.9455238095238095
dgs30,moirai_2_0,0.025,2625,0.016,0.021714285714285714,0.001999800019998,0.29317068293170684,False,True,True,,,0.7181627445898754,0.9455238095238095
dgs30,moirai_2_0,0.05,2625,0.03580952380952381,0.05028571428571429,0.0008999100089991,0.9617038296170383,False,True,True,,,0.7937089148694637,0.9455238095238095
dgs30,lag_llama,0.01,2625,0.019809523809523808,0.024,9.999000099990002e-05,9.999000099990002e-05,False,False,False,,,0.5151425136985852,0.9455238095238095
dgs30,lag_llama,0.025,2625,0.049523809523809526,0.05638095238095238,9.999000099990002e-05,9.999000099990002e-05,False,False,False,,,0.5764240940942755,0.9455238095238095
dgs30,lag_llama,0.05,2625,0.08228571428571428,0.1020952380952381,9.999000099990002e-05,9.999000099990002e-05,False,False,False,,,0.6361472089649329,0.9455238095238095
