asset,t,date,ctx_start,ctx_end,W,u,quantile_method,n_lt_u,n_eq_u,n_le_u,n_raw_exc,tie_count,n_kept,tau_nominal,tau_strict,tau_fit,scale_ref,beta_floor,fit_branch,xi,beta,status,var_defined,es_defined,layer,exclusion_reason
spx,4024,2016-01-04,3512,4023,512,-0.9719717745621212,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.4485744525735324,4.4857445257353236e-07,mle,-0.05471492701999078,0.6675887704723953,ok,True,True,extraction,
spx,4025,2016-01-05,3513,4024,512,-0.9857429510585926,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.44936576177516785,4.4936576177516785e-07,mle,-0.05917901216702285,0.6672865660598584,ok,True,True,extraction,
spx,4026,2016-01-06,3514,4025,512,-0.9857429510585926,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.44936576177516785,4.4936576177516785e-07,mle,-0.05917901216702285,0.6672865660598584,ok,True,True,extraction,
spx,4027,2016-01-07,3515,4026,512,-1.0149626795573636,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.4483996339955898,4.483996339955898e-07,mle,-0.03342552782286509,0.6276173143809654,ok,True,True,extraction,
spx,4028,2016-01-08,3516,4027,512,-1.0253588820971185,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.45181561978911955,4.518156197891195e-07,mle,-0.054881204081093274,0.6577002094097711,ok,True,True,extraction,
spx,4029,2016-01-11,3517,4028,512,-1.0327854807601695,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.4542828945315347,4.542828945315347e-07,mle,-0.047408073761567124,0.6465495775103656,ok,True,True,extraction,
spx,4030,2016-01-12,3518,4029,512,-1.0327854807601695,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.4544050018739317,4.5440500187393167e-07,mle,-0.047408073761567124,0.6465495775103656,ok,True,True,extraction,
spx,4031,2016-01-13,3519,4030,512,-1.0327854807601695,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.45557208416664186,4.5557208416664186e-07,mle,-0.047408073761567124,0.6465495775103656,ok,True,True,extraction,
spx,4032,2016-01-14,3520,4031,512,-1.036146569587565,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.457502668503146,4.57502668503146e-07,mle,-0.07926870888169195,0.6935324215305454,ok,True,True,extraction,
spx,4033,2016-01-15,3521,4032,512,-1.036146569587565,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.45708983665994507,4.5708983665994503e-07,mle,-0.07926870888169195,0.6935324215305454,ok,True,True,extraction,
spx,4034,2016-01-19,3522,4033,512,-1.0721356983120114,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.45902042099644924,4.590204209964492e-07,mle,-0.06605445358600234,0.6703032258795187,ok,True,True,extraction,
spx,4035,2016-01-20,3523,4034,512,-1.0721356983120114,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.45960603594491256,4.596060359449125e-07,mle,-0.06605445358600234,0.6703032258795187,ok,True,True,extraction,
spx,4036,2016-01-21,3524,4035,512,-1.0803583168600923,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.45902042099644924,4.590204209964492e-07,mle,-0.058958682413043556,0.6592171631434964,ok,True,True,extraction,
spx,4037,2016-01-22,3525,4036,512,-1.0803583168600923,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.4612404611749893,4.612404611749893e-07,mle,-0.058958682413043556,0.6592171631434964,ok,True,True,extraction,
spx,4038,2016-01-25,3526,4037,512,-1.0803583168600923,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.462953411323752,4.6295341132375197e-07,mle,-0.058958682413043556,0.6592171631434964,ok,True,True,extraction,
spx,4039,2016-01-26,3527,4038,512,-1.0888614934478094,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.4668575948253553,4.668575948253553e-07,mle,-0.06892551850097377,0.6664200862055287,ok,True,True,extraction,
spx,4040,2016-01-27,3528,4039,512,-1.0803583168600923,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.46397435077200977,4.6397435077200975e-07,mle,-0.07217979483196799,0.6737801717403646,ok,True,True,extraction,
spx,4041,2016-01-28,3529,4040,512,-1.0888614934478094,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.4668575948253553,4.668575948253553e-07,mle,-0.06016628256547112,0.6574630369978084,ok,True,True,extraction,
spx,4042,2016-01-29,3530,4041,512,-1.0888614934478094,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.4668575948253553,4.668575948253553e-07,mle,-0.06016628256547112,0.6574630369978084,ok,True,True,extraction,
spx,4043,2016-02-01,3531,4042,512,-1.0888614934478094,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.46474130994941876,4.6474130994941874e-07,mle,-0.06016628256547112,0.6574630369978084,ok,True,True,extraction,
spx,4044,2016-02-02,3532,4043,512,-1.0888614934478094,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.46474130994941876,4.6474130994941874e-07,mle,-0.06016628256547112,0.6574630369978084,ok,True,True,extraction,
spx,4045,2016-02-03,3533,4044,512,-1.0920383815060375,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.4710704467556529,4.710704467556529e-07,mle,-0.08667830793537923,0.687079735371463,ok,True,True,extraction,
spx,4046,2016-02-04,3534,4045,512,-1.0920383815060375,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.4710704467556529,4.710704467556529e-07,mle,-0.08667830793537923,0.687079735371463,ok,True,True,extraction,
spx,4047,2016-02-05,3535,4046,512,-1.0920383815060375,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.46474130994941876,4.6474130994941874e-07,mle,-0.08667830793537923,0.687079735371463,ok,True,True,extraction,
spx,4048,2016-02-08,3536,4047,512,-1.0920383815060375,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.46474130994941876,4.6474130994941874e-07,mle,-0.08163387746060302,0.6787751230078187,ok,True,True,extraction,
spx,4049,2016-02-09,3537,4048,512,-1.1043225605556872,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.46474130994941876,4.6474130994941874e-07,mle,-0.07962362133067122,0.6711404088767035,ok,True,True,extraction,
spx,4050,2016-02-10,3538,4049,512,-1.1043225605556872,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.4668575948253553,4.668575948253553e-07,mle,-0.07962362133067122,0.6711404088767035,ok,True,True,extraction,
spx,4051,2016-02-11,3539,4050,512,-1.1043225605556872,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.4656580375390502,4.656580375390502e-07,mle,-0.07962362133067122,0.6711404088767035,ok,True,True,extraction,
spx,4052,2016-02-12,3540,4051,512,-1.1249235652884786,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.4687286242004489,4.687286242004489e-07,mle,-0.05699935506443188,0.6381466737238787,ok,True,True,extraction,
spx,4053,2016-02-16,3541,4052,512,-1.1249235652884786,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.4656580375390502,4.656580375390502e-07,mle,-0.05699935506443188,0.6381466737238787,ok,True,True,extraction,
spx,4054,2016-02-17,3542,4053,512,-1.1043225605556872,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.462953411323752,4.6295341132375197e-07,mle,-0.05029481294916527,0.6313752329084513,ok,True,True,extraction,
spx,4055,2016-02-18,3543,4054,512,-1.1043225605556872,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.462953411323752,4.6295341132375197e-07,mle,-0.05029481294916527,0.6313752329084513,ok,True,True,extraction,
spx,4056,2016-02-19,3544,4055,512,-1.1043225605556872,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.46397435077200977,4.6397435077200975e-07,mle,-0.05029481294916527,0.6313752329084513,ok,True,True,extraction,
spx,4057,2016-02-22,3545,4056,512,-1.1043225605556872,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.4656580375390502,4.656580375390502e-07,mle,-0.05029481294916527,0.6313752329084513,ok,True,True,extraction,
