asset,t,date,ctx_start,ctx_end,W,u,quantile_method,n_lt_u,n_eq_u,n_le_u,n_raw_exc,tie_count,n_kept,tau_nominal,tau_strict,tau_fit,scale_ref,beta_floor,fit_branch,xi,beta,status,var_defined,es_defined,layer,exclusion_reason
usdcad,3195,2016-01-01,2683,3194,512,-0.5414277036160436,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.2679584348247611,2.679584348247611e-07,mle,0.01336533761831472,0.2318435548733403,ok,True,True,extraction,
usdcad,3196,2016-01-04,2684,3195,512,-0.5414277036160436,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.26621153745078574,2.662115374507857e-07,mle,0.01336533761831472,0.2318435548733403,ok,True,True,extraction,
usdcad,3197,2016-01-05,2685,3196,512,-0.5414277036160436,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.2679584348247611,2.679584348247611e-07,mle,0.01336533761831472,0.2318435548733403,ok,True,True,extraction,
usdcad,3198,2016-01-06,2686,3197,512,-0.5414277036160436,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.2680809352641079,2.680809352641079e-07,mle,0.01336533761831472,0.2318435548733403,ok,True,True,extraction,
usdcad,3199,2016-01-07,2687,3198,512,-0.5414277036160436,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.26951264322008367,2.6951264322008366e-07,mle,0.01336533761831472,0.2318435548733403,ok,True,True,extraction,
usdcad,3200,2016-01-08,2688,3199,512,-0.5414277036160436,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.26907585926471045,2.6907585926471043e-07,mle,0.01336533761831472,0.2318435548733403,ok,True,True,extraction,
usdcad,3201,2016-01-11,2689,3200,512,-0.5414277036160436,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.26907585926471045,2.6907585926471043e-07,mle,0.01336533761831472,0.2318435548733403,ok,True,True,extraction,
usdcad,3202,2016-01-12,2690,3201,512,-0.5414277036160436,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.26907585926471045,2.6907585926471043e-07,mle,0.01336533761831472,0.2318435548733403,ok,True,True,extraction,
usdcad,3203,2016-01-13,2691,3202,512,-0.5414277036160436,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.26907585926471045,2.6907585926471043e-07,mle,0.01336533761831472,0.2318435548733403,ok,True,True,extraction,
usdcad,3204,2016-01-14,2692,3203,512,-0.5414277036160436,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.26777318002818107,2.6777318002818107e-07,mle,0.01336533761831472,0.2318435548733403,ok,True,True,extraction,
