asset,t,date,ctx_start,ctx_end,W,u,quantile_method,n_lt_u,n_eq_u,n_le_u,n_raw_exc,tie_count,n_kept,tau_nominal,tau_strict,tau_fit,scale_ref,beta_floor,fit_branch,xi,beta,status,var_defined,es_defined,layer,exclusion_reason
wmt,4024,2016-01-04,3512,4023,512,-1.1424499719794043,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.5441563332445576,5.441563332445576e-07,mle,0.4585448714610365,0.5002700646555004,ok,True,True,extraction,
wmt,4025,2016-01-05,3513,4024,512,-1.1424499719794043,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.5413985664772913,5.413985664772913e-07,mle,0.4585448714610365,0.5002700646555004,ok,True,True,extraction,
wmt,4026,2016-01-06,3514,4025,512,-1.1424499719794043,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.5441563332445576,5.441563332445576e-07,mle,0.4585448714610365,0.5002700646555004,ok,True,True,extraction,
wmt,4027,2016-01-07,3515,4026,512,-1.1424499719794043,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.5441563332445576,5.441563332445576e-07,mle,0.4585448714610365,0.5002700646555004,ok,True,True,extraction,
wmt,4028,2016-01-08,3516,4027,512,-1.1424499719794043,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.545804794312245,5.45804794312245e-07,mle,0.4585448714610365,0.5002700646555004,ok,True,True,extraction,
wmt,4029,2016-01-11,3517,4028,512,-1.16383112628777,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.5475618247185527,5.475618247185527e-07,mle,0.47237897194898265,0.49436461314593044,ok,True,True,extraction,
wmt,4030,2016-01-12,3518,4029,512,-1.16383112628777,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.5499196744764225,5.499196744764225e-07,mle,0.47237897194898265,0.49436461314593044,ok,True,True,extraction,
wmt,4031,2016-01-13,3519,4030,512,-1.16383112628777,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.5509068797063845,5.509068797063845e-07,mle,0.47237897194898265,0.49436461314593044,ok,True,True,extraction,
wmt,4032,2016-01-14,3520,4031,512,-1.1722245310978043,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.5571665580576151,5.57166558057615e-07,mle,0.43972674297621794,0.529882149172892,ok,True,True,extraction,
wmt,4033,2016-01-15,3521,4032,512,-1.1722245310978043,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.5583356577663305,5.583356577663305e-07,mle,0.43972674297621794,0.529882149172892,ok,True,True,extraction,
wmt,4034,2016-01-19,3522,4033,512,-1.1742574421280962,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.5594591175480976,5.594591175480976e-07,mle,0.3902822499757652,0.5691587885048346,ok,True,True,extraction,
wmt,4035,2016-01-20,3523,4034,512,-1.1742574421280962,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.5537206190387197,5.537206190387197e-07,mle,0.3902822499757652,0.5691587885048346,ok,True,True,extraction,
wmt,4036,2016-01-21,3524,4035,512,-1.1790638151060688,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.5599128124048144,5.599128124048143e-07,mle,0.3481655358074306,0.6187952421973903,ok,True,True,extraction,
wmt,4037,2016-01-22,3525,4036,512,-1.1790638151060688,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.55613389278298,5.5613389278298e-07,mle,0.3481655358074306,0.6187952421973903,ok,True,True,extraction,
wmt,4038,2016-01-25,3526,4037,512,-1.1790638151060688,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.5621370027090414,5.621370027090414e-07,mle,0.3481655358074306,0.6187952421973903,ok,True,True,extraction,
wmt,4039,2016-01-26,3527,4038,512,-1.1790638151060688,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.5660137260942428,5.660137260942428e-07,mle,0.3481655358074306,0.6187952421973903,ok,True,True,extraction,
wmt,4040,2016-01-27,3528,4039,512,-1.1790638151060688,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.5660137260942428,5.660137260942428e-07,mle,0.3481655358074306,0.6187952421973903,ok,True,True,extraction,
wmt,4041,2016-01-28,3529,4040,512,-1.1790638151060688,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.5621370027090414,5.621370027090414e-07,mle,0.3481655358074306,0.6187952421973903,ok,True,True,extraction,
wmt,4042,2016-01-29,3530,4041,512,-1.1790638151060688,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.5621370027090414,5.621370027090414e-07,mle,0.3481655358074306,0.6187952421973903,ok,True,True,extraction,
wmt,4043,2016-02-01,3531,4042,512,-1.1790638151060688,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.5584981764180811,5.58498176418081e-07,mle,0.3481655358074306,0.6187952421973903,ok,True,True,extraction,
wmt,4044,2016-02-02,3532,4043,512,-1.1790638151060688,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.5558636208628748,5.558636208628748e-07,mle,0.3481655358074306,0.6187952421973903,ok,True,True,extraction,
wmt,4045,2016-02-03,3533,4044,512,-1.1790638151060688,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.5572771827339921,5.57277182733992e-07,mle,0.3481655358074306,0.6187952421973903,ok,True,True,extraction,
wmt,4046,2016-02-04,3534,4045,512,-1.1790638151060688,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.5572771827339921,5.57277182733992e-07,mle,0.3481655358074306,0.6187952421973903,ok,True,True,extraction,
wmt,4047,2016-02-05,3535,4046,512,-1.1790638151060688,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.55728144821989,5.5728144821989e-07,mle,0.3481655358074306,0.6187952421973903,ok,True,True,extraction,
wmt,4048,2016-02-08,3536,4047,512,-1.1790638151060688,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.5575227100755267,5.575227100755266e-07,mle,0.3481655358074306,0.6187952421973903,ok,True,True,extraction,
wmt,4049,2016-02-09,3537,4048,512,-1.1790638151060688,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.5575227100755267,5.575227100755266e-07,mle,0.3481655358074306,0.6187952421973903,ok,True,True,extraction,
wmt,4050,2016-02-10,3538,4049,512,-1.1884978250992855,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.55728144821989,5.5728144821989e-07,mle,0.33302909231223676,0.629502241411436,ok,True,True,extraction,
wmt,4051,2016-02-11,3539,4050,512,-1.1884978250992855,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.5558636208628748,5.558636208628748e-07,mle,0.33302909231223676,0.629502241411436,ok,True,True,extraction,
wmt,4052,2016-02-12,3540,4051,512,-1.1884978250992855,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.5558636208628748,5.558636208628748e-07,mle,0.33302909231223676,0.629502241411436,ok,True,True,extraction,
wmt,4053,2016-02-16,3541,4052,512,-1.1884978250992855,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.55728144821989,5.5728144821989e-07,mle,0.33302909231223676,0.629502241411436,ok,True,True,extraction,
wmt,4054,2016-02-17,3542,4053,512,-1.1790638151060688,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.5558636208628748,5.558636208628748e-07,mle,0.3620079546936244,0.5922027231736858,ok,True,True,extraction,
wmt,4055,2016-02-18,3543,4054,512,-1.1790638151060688,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.5558636208628748,5.558636208628748e-07,mle,0.3620079546936244,0.5922027231736858,ok,True,True,extraction,
wmt,4056,2016-02-19,3544,4055,512,-1.1884978250992855,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.5572771827339921,5.57277182733992e-07,mle,0.3364650429377162,0.6315019627266157,ok,True,True,extraction,
wmt,4057,2016-02-22,3545,4056,512,-1.1884978250992855,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.5589764787736543,5.589764787736542e-07,mle,0.3364650429377162,0.6315019627266157,ok,True,True,extraction,
wmt,4058,2016-02-23,3546,4057,512,-1.1884978250992855,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.5589764787736543,5.589764787736542e-07,mle,0.3364650429377162,0.6315019627266157,ok,True,True,extraction,
wmt,4059,2016-02-24,3547,4058,512,-1.1884978250992855,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.559861838003078,5.59861838003078e-07,mle,0.3364650429377162,0.6315019627266157,ok,True,True,extraction,
wmt,4060,2016-02-25,3548,4059,512,-1.1884978250992855,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.559861838003078,5.59861838003078e-07,mle,0.3364650429377162,0.6315019627266157,ok,True,True,extraction,
wmt,4061,2016-02-26,3549,4060,512,-1.1884978250992855,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.5613373997267388,5.613373997267388e-07,mle,0.3364650429377162,0.6315019627266157,ok,True,True,extraction,
wmt,4062,2016-02-29,3550,4061,512,-1.2062994596389836,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.5624304219581481,5.62430421958148e-07,mle,0.3246983398846641,0.6433210537863323,ok,True,True,extraction,
wmt,4063,2016-03-01,3551,4062,512,-1.2062994596389836,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.5682444061089392,5.682444061089392e-07,mle,0.3246983398846641,0.6433210537863323,ok,True,True,extraction,
wmt,4064,2016-03-02,3552,4063,512,-1.2062994596389836,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.5613373997267387,5.613373997267387e-07,mle,0.3246983398846641,0.6433210537863323,ok,True,True,extraction,
wmt,4065,2016-03-03,3553,4064,512,-1.2062994596389836,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.5600050630929867,5.600050630929866e-07,mle,0.3246983398846641,0.6433210537863323,ok,True,True,extraction,
wmt,4066,2016-03-04,3554,4065,512,-1.1884978250992855,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.5589764787736543,5.589764787736542e-07,mle,0.32666498044955083,0.646398194980105,ok,True,True,extraction,
