asset,t,date,ctx_start,ctx_end,W,u,quantile_method,n_lt_u,n_eq_u,n_le_u,n_raw_exc,tie_count,n_kept,tau_nominal,tau_strict,tau_fit,scale_ref,beta_floor,fit_branch,xi,beta,status,var_defined,es_defined,layer,exclusion_reason
xom,4024,2016-01-04,3512,4023,512,-1.412262932929178,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6613158350540199,6.613158350540199e-07,mle,-0.08000622937003268,0.9919157328441712,ok,True,True,extraction,
xom,4025,2016-01-05,3513,4024,512,-1.412262932929178,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6613158350540199,6.613158350540199e-07,mle,-0.08000622937003268,0.9919157328441712,ok,True,True,extraction,
xom,4026,2016-01-06,3514,4025,512,-1.412262932929178,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6613158350540199,6.613158350540199e-07,mle,-0.08000622937003268,0.9919157328441712,ok,True,True,extraction,
xom,4027,2016-01-07,3515,4026,512,-1.412262932929178,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6648607505134151,6.64860750513415e-07,mle,-0.08000622937003268,0.9919157328441712,ok,True,True,extraction,
xom,4028,2016-01-08,3516,4027,512,-1.4405321817056018,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.665711429054934,6.657114290549339e-07,mle,-0.04520247187354804,0.9337109160108281,ok,True,True,extraction,
xom,4029,2016-01-11,3517,4028,512,-1.4434191960503657,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6664338706092391,6.664338706092391e-07,mle,-0.07173252619692463,0.967068853547395,ok,True,True,extraction,
xom,4030,2016-01-12,3518,4029,512,-1.4434191960503657,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6696860737420276,6.696860737420275e-07,mle,-0.07173252619692463,0.967068853547395,ok,True,True,extraction,
xom,4031,2016-01-13,3519,4030,512,-1.4434191960503657,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6703482457333574,6.703482457333574e-07,mle,-0.07173252619692463,0.967068853547395,ok,True,True,extraction,
xom,4032,2016-01-14,3520,4031,512,-1.4434191960503657,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.663617291624029,6.63617291624029e-07,mle,-0.07173252619692463,0.967068853547395,ok,True,True,extraction,
xom,4033,2016-01-15,3521,4032,512,-1.4407987366673574,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.663617291624029,6.63617291624029e-07,mle,-0.07575438014614999,0.9736204637850848,ok,True,True,extraction,
xom,4034,2016-01-19,3522,4033,512,-1.4605156213788528,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6703482457333574,6.703482457333574e-07,mle,-0.07156904617034815,0.9593087532169371,ok,True,True,extraction,
xom,4035,2016-01-20,3523,4034,512,-1.4846838112457472,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6727335651946653,6.727335651946652e-07,mle,-0.03635531754328458,0.9036199232552857,ok,True,True,extraction,
xom,4036,2016-01-21,3524,4035,512,-1.4897007180154394,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6718951109884997,6.718951109884998e-07,mle,-0.07057905138313937,0.986883812148512,ok,True,True,extraction,
xom,4037,2016-01-22,3525,4036,512,-1.4897007180154394,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6735742314274319,6.735742314274319e-07,mle,-0.07057905138313937,0.986883812148512,ok,True,True,extraction,
xom,4038,2016-01-25,3526,4037,512,-1.4897007180154394,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6728517898731268,6.728517898731267e-07,mle,-0.07057905138313937,0.986883812148512,ok,True,True,extraction,
xom,4039,2016-01-26,3527,4038,512,-1.5086100562598779,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6735742314274319,6.735742314274319e-07,mle,-0.10749456383717111,1.0428741341140975,ok,True,True,extraction,
xom,4040,2016-01-27,3528,4039,512,-1.4897007180154394,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6728517898731268,6.728517898731267e-07,mle,-0.11230776496910772,1.058234837304572,ok,True,True,extraction,
xom,4041,2016-01-28,3529,4040,512,-1.5086100562598779,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6743486957753755,6.743486957753754e-07,mle,-0.10098474655426057,1.0338831942505895,ok,True,True,extraction,
xom,4042,2016-01-29,3530,4041,512,-1.5086100562598779,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6767717126817143,6.767717126817143e-07,mle,-0.10098474655426057,1.0338831942505895,ok,True,True,extraction,
xom,4043,2016-02-01,3531,4042,512,-1.5086100562598779,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6783904579301063,6.783904579301063e-07,mle,-0.10098474655426057,1.0338831942505895,ok,True,True,extraction,
xom,4044,2016-02-02,3532,4043,512,-1.5123143886462422,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6824346897346534,6.824346897346533e-07,mle,-0.12238360369011797,1.061608015637228,ok,True,True,extraction,
xom,4045,2016-02-03,3533,4044,512,-1.51464600092798,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.6870265902613746,6.870265902613745e-07,mle,-0.15348238899654756,1.1059123202022008,ok,True,True,extraction,
xom,4046,2016-02-04,3534,4045,512,-1.51464600092798,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.692628593186899,6.926285931868989e-07,mle,-0.15348238899654756,1.1059123202022008,ok,True,True,extraction,
xom,4047,2016-02-05,3535,4046,512,-1.51464600092798,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,0.691967560160315,6.91967560160315e-07,mle,-0.15348238899654756,1.1059123202022008,ok,True,True,extraction,
