asset,t,date,ctx_start,ctx_end,W,u,quantile_method,n_lt_u,n_eq_u,n_le_u,n_raw_exc,tie_count,n_kept,tau_nominal,tau_strict,tau_fit,scale_ref,beta_floor,fit_branch,xi,beta,status,var_defined,es_defined,layer,exclusion_reason
xrp,512,2019-04-06,0,511,512,-6.529867131111333,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,2.5970940481709004,2.5970940481709004e-06,mle,0.14335664419147243,4.226242646066546,ok,True,True,extraction,
xrp,513,2019-04-07,1,512,512,-6.529867131111333,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,2.589673645358859,2.589673645358859e-06,mle,0.14335664419147243,4.226242646066546,ok,True,True,extraction,
xrp,514,2019-04-08,2,513,512,-6.529867131111333,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,2.589673645358859,2.589673645358859e-06,mle,0.14335664419147243,4.226242646066546,ok,True,True,extraction,
xrp,515,2019-04-09,3,514,512,-6.529867131111333,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,2.5783617219043737,2.578361721904374e-06,mle,0.14335664419147243,4.226242646066546,ok,True,True,extraction,
xrp,516,2019-04-10,4,515,512,-6.529867131111333,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,2.5611262812905125,2.5611262812905123e-06,mle,0.14335664419147243,4.226242646066546,ok,True,True,extraction,
xrp,517,2019-04-11,5,516,512,-6.529867131111333,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,2.5460144164959617,2.5460144164959616e-06,mle,0.14335664419147243,4.226242646066546,ok,True,True,extraction,
xrp,518,2019-04-12,6,517,512,-6.580818811152666,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,2.5599936706203685,2.5599936706203684e-06,mle,0.15342183338516563,4.1420661416984945,ok,True,True,extraction,
xrp,519,2019-04-13,7,518,512,-6.580818811152666,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,2.543997733600308,2.543997733600308e-06,mle,0.15342183338516563,4.1420661416984945,ok,True,True,extraction,
xrp,520,2019-04-14,8,519,512,-6.580818811152666,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,2.543997733600308,2.543997733600308e-06,mle,0.15342183338516563,4.1420661416984945,ok,True,True,extraction,
xrp,521,2019-04-15,9,520,512,-6.580818811152666,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,2.543997733600308,2.543997733600308e-06,mle,0.15342183338516563,4.1420661416984945,ok,True,True,extraction,
xrp,522,2019-04-16,10,521,512,-6.580818811152666,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,2.543270307861481,2.5432703078614806e-06,mle,0.15342183338516563,4.1420661416984945,ok,True,True,extraction,
xrp,523,2019-04-17,11,522,512,-6.580818811152666,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,2.529833007947355,2.529833007947355e-06,mle,0.15342183338516563,4.1420661416984945,ok,True,True,extraction,
xrp,524,2019-04-18,12,523,512,-6.580818811152666,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,2.543997733600308,2.543997733600308e-06,mle,0.15342183338516563,4.1420661416984945,ok,True,True,extraction,
xrp,525,2019-04-19,13,524,512,-6.580818811152666,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,2.529833007947355,2.529833007947355e-06,mle,0.15342183338516563,4.1420661416984945,ok,True,True,extraction,
xrp,526,2019-04-20,14,525,512,-6.580818811152666,linear,52,0,52,52,0,52,0.1,0.1015625,0.1015625,2.529833007947355,2.529833007947355e-06,mle,0.15342183338516563,4.1420661416984945,ok,True,True,extraction,
