"cell_id","forecaster","erule","asset","alpha","n","esr_p","esback_version"
"chronos_bolt.e1.aapl.a01","chronos_bolt","e1","aapl",0.01,2639,1.33226762955019e-15,"0.3.1"
"chronos_bolt.e2.aapl.a01","chronos_bolt","e2","aapl",0.01,2639,0.0030271691310022,"0.3.1"
"chronos_bolt.e3.aapl.a01","chronos_bolt","e3","aapl",0.01,2639,0.00103081088765,"0.3.1"
"chronos_2.e1.aapl.a01","chronos_2","e1","aapl",0.01,2639,1.54087853587725e-12,"0.3.1"
"chronos_2.e2.aapl.a01","chronos_2","e2","aapl",0.01,2639,0.00010636407026865,"0.3.1"
"chronos_2.e3.aapl.a01","chronos_2","e3","aapl",0.01,2639,0.0197807734539835,"0.3.1"
"timesfm_2_5.e1.aapl.a01","timesfm_2_5","e1","aapl",0.01,2639,2.22044604925031e-16,"0.3.1"
"timesfm_2_5.e2.aapl.a01","timesfm_2_5","e2","aapl",0.01,2639,0.105001274508726,"0.3.1"
"timesfm_2_5.e3.aapl.a01","timesfm_2_5","e3","aapl",0.01,2639,0.0577503133910982,"0.3.1"
"moirai_2_0.e1.aapl.a01","moirai_2_0","e1","aapl",0.01,2639,5.03495023451705e-11,"0.3.1"
"moirai_2_0.e2.aapl.a01","moirai_2_0","e2","aapl",0.01,2639,0.000730146509029583,"0.3.1"
"moirai_2_0.e3.aapl.a01","moirai_2_0","e3","aapl",0.01,2639,0.135947758473196,"0.3.1"
"lag_llama.e1.aapl.a01","lag_llama","e1","aapl",0.01,2639,6.8933747598976e-13,"0.3.1"
"lag_llama.e2.aapl.a01","lag_llama","e2","aapl",0.01,2639,0.280912174212582,"0.3.1"
"lag_llama.e3.aapl.a01","lag_llama","e3","aapl",0.01,2639,3.43645974988371e-05,"0.3.1"
"garch_t.param.aapl.a01","garch_t","param","aapl",0.01,2639,0.814125934667028,"0.3.1"
"gjr_t.param.aapl.a01","gjr_t","param","aapl",0.01,2639,0.535962365208486,"0.3.1"
"ewma94.param.aapl.a01","ewma94","param","aapl",0.01,2639,7.3908556275093e-08,"0.3.1"
"hs250.param.aapl.a01","hs250","param","aapl",0.01,2639,0.00655400718765875,"0.3.1"
"hs500.param.aapl.a01","hs500","param","aapl",0.01,2639,0.0574786946813888,"0.3.1"
"fhs.param.aapl.a01","fhs","param","aapl",0.01,2639,0.0190537323830663,"0.3.1"
"chronos_bolt.e1.aapl.a025","chronos_bolt","e1","aapl",0.025,2639,1.65423230669148e-14,"0.3.1"
"chronos_bolt.e2.aapl.a025","chronos_bolt","e2","aapl",0.025,2639,0.0966924233271487,"0.3.1"
"chronos_bolt.e3.aapl.a025","chronos_bolt","e3","aapl",0.025,2639,0.00861125076114622,"0.3.1"
"chronos_2.e1.aapl.a025","chronos_2","e1","aapl",0.025,2639,1.56552548702393e-12,"0.3.1"
"chronos_2.e2.aapl.a025","chronos_2","e2","aapl",0.025,2639,0.00307670615808275,"0.3.1"
"chronos_2.e3.aapl.a025","chronos_2","e3","aapl",0.025,2639,0.00556299141634109,"0.3.1"
"timesfm_2_5.e1.aapl.a025","timesfm_2_5","e1","aapl",0.025,2639,3.88578058618805e-15,"0.3.1"
"timesfm_2_5.e2.aapl.a025","timesfm_2_5","e2","aapl",0.025,2639,0.860230354922926,"0.3.1"
"timesfm_2_5.e3.aapl.a025","timesfm_2_5","e3","aapl",0.025,2639,0.251680056937624,"0.3.1"
"moirai_2_0.e1.aapl.a025","moirai_2_0","e1","aapl",0.025,2639,7.54611706454966e-10,"0.3.1"
"moirai_2_0.e2.aapl.a025","moirai_2_0","e2","aapl",0.025,2639,0.011569650231157,"0.3.1"
"moirai_2_0.e3.aapl.a025","moirai_2_0","e3","aapl",0.025,2639,0.700726168507795,"0.3.1"
"lag_llama.e1.aapl.a025","lag_llama","e1","aapl",0.025,2639,0,"0.3.1"
"lag_llama.e2.aapl.a025","lag_llama","e2","aapl",0.025,2639,0.00979559703270283,"0.3.1"
"lag_llama.e3.aapl.a025","lag_llama","e3","aapl",0.025,2639,3.87420049019482e-06,"0.3.1"
"garch_t.param.aapl.a025","garch_t","param","aapl",0.025,2639,0.392345907084153,"0.3.1"
"gjr_t.param.aapl.a025","gjr_t","param","aapl",0.025,2639,0.288321451854171,"0.3.1"
"ewma94.param.aapl.a025","ewma94","param","aapl",0.025,2639,3.83831360108999e-05,"0.3.1"
