asset,alpha,n_forecasters,kendall_tau
aapl,0.01,5,0.6
amzn,0.01,5,0.7999999999999999
audusd,0.01,5,0.9999999999999999
brent,0.01,5,0.7999999999999999
btc,0.01,5,0.39999999999999997
copper,0.01,5,0.9999999999999999
csi300,0.01,5,0.7999999999999999
dax,0.01,5,0.9999999999999999
dgs10,0.01,5,0.6
dgs2,0.01,5,0.6
dgs5,0.01,5,0.7999999999999999
eth,0.01,5,0.39999999999999997
ftse,0.01,5,0.7999999999999999
gbpusd,0.01,5,0.7999999999999999
gold,0.01,5,0.6
hsi,0.01,5,0.6
jnj,0.01,5,0.7999999999999999
jpm,0.01,5,0.7999999999999999
ltc,0.01,5,0.6
msft,0.01,5,0.7999999999999999
natgas,0.01,5,0.9999999999999999
ndx,0.01,5,0.7999999999999999
nikkei,0.01,5,0.6
nvda,0.01,5,0.19999999999999998
rut,0.01,5,0.9999999999999999
spx,0.01,5,0.6
usdcad,0.01,5,0.7999999999999999
usdchf,0.01,5,0.7999999999999999
wmt,0.01,5,0.7999999999999999
xom,0.01,5,0.9999999999999999
xrp,0.01,5,0.19999999999999998
aapl,0.025,5,0.7999999999999999
amzn,0.025,5,0.9999999999999999
audusd,0.025,5,0.7999999999999999
brent,0.025,5,0.7999999999999999
btc,0.025,5,0.6
copper,0.025,5,0.7999999999999999
csi300,0.025,5,0.7999999999999999
dax,0.025,5,0.7999999999999999
dgs10,0.025,5,0.6
dgs2,0.025,5,0.9999999999999999
dgs5,0.025,5,0.9999999999999999
eth,0.025,5,0.7999999999999999
ftse,0.025,5,0.6
gbpusd,0.025,5,0.7999999999999999
gold,0.025,5,0.7999999999999999
hsi,0.025,5,0.39999999999999997
jnj,0.025,5,0.7999999999999999
jpm,0.025,5,0.6
ltc,0.025,5,0.7999999999999999
msft,0.025,5,0.7999999999999999
natgas,0.025,5,0.9999999999999999
ndx,0.025,5,0.6
nikkei,0.025,5,0.7999999999999999
nvda,0.025,5,0.6
rut,0.025,5,0.7999999999999999
spx,0.025,5,0.6
usdcad,0.025,5,0.7999999999999999
usdchf,0.025,5,0.7999999999999999
wmt,0.025,5,0.9999999999999999
xom,0.025,5,0.9999999999999999
xrp,0.025,5,0.39999999999999997
aapl,0.05,5,0.7999999999999999
amzn,0.05,5,0.9999999999999999
audusd,0.05,5,0.39999999999999997
brent,0.05,5,0.7999999999999999
btc,0.05,5,0.6
copper,0.05,5,0.6
csi300,0.05,5,0.7999999999999999
dax,0.05,5,0.6
dgs10,0.05,5,0.9999999999999999
dgs2,0.05,5,0.7999999999999999
dgs5,0.05,5,0.9999999999999999
eth,0.05,5,0.7999999999999999
ftse,0.05,5,0.6
gbpusd,0.05,5,0.7999999999999999
gold,0.05,5,0.9999999999999999
hsi,0.05,5,0.6
jnj,0.05,5,0.9999999999999999
jpm,0.05,5,0.6
ltc,0.05,5,0.7999999999999999
msft,0.05,5,0.9999999999999999
natgas,0.05,5,0.7999999999999999
ndx,0.05,5,0.39999999999999997
nikkei,0.05,5,0.7999999999999999
nvda,0.05,5,0.7999999999999999
rut,0.05,5,0.9999999999999999
spx,0.05,5,0.6
usdcad,0.05,5,0.6
usdchf,0.05,5,0.9999999999999999
wmt,0.05,5,0.9999999999999999
xom,0.05,5,0.7999999999999999
xrp,0.05,5,0.7999999999999999
