layer,asset,state,n,hit_rate,uc_p_mc,uc_pass,fz0_mean
chronos_bolt:e3,aapl,low,1946,0.0632065775950668,0.0117988201179882,False,1.3106962688286268
chronos_bolt:e3,aapl,high,692,0.07225433526011561,0.0143985601439856,False,1.5329890651517477
chronos_bolt:e3,amzn,low,2014,0.06852035749751738,0.000999900009999,False,1.417794502885508
chronos_bolt:e3,amzn,high,624,0.08333333333333333,0.0007999200079992001,False,1.8331951802849438
chronos_bolt:e3,audusd,low,2017,0.07139315815567675,0.00019998000199980003,False,0.32067553496626483
chronos_bolt:e3,audusd,high,716,0.06005586592178771,0.2645735426457354,True,0.4739333066117216
chronos_bolt:e3,brent,low,2216,0.06498194945848375,0.0018998100189981002,False,1.6777079388408829
chronos_bolt:e3,brent,high,424,0.06367924528301887,0.2176782321767823,True,2.293023243872924
chronos_bolt:e3,csi300,low,1756,0.056378132118451024,0.24247575242475752,True,1.0909021959025254
chronos_bolt:e3,csi300,high,423,0.0851063829787234,0.0036996300369963003,False,1.843741738298305
chronos_bolt:e3,dax,low,2075,0.07759036144578313,9.999000099990002e-05,False,0.864549766837444
chronos_bolt:e3,dax,high,589,0.09507640067911714,9.999000099990002e-05,False,1.538709100530382
chronos_bolt:e3,dgs10,low,1997,0.05608412618928393,0.23947605239476052,True,2.2981035236138445
chronos_bolt:e3,dgs10,high,627,0.05582137161084529,0.5241475852414759,True,2.536548514694939
chronos_bolt:e3,dgs2,low,2146,0.06104380242311277,0.024897510248975102,False,2.1762393088602843
chronos_bolt:e3,dgs2,high,478,0.05439330543933055,0.67003299670033,True,
chronos_bolt:e3,dgs30,low,2032,0.06299212598425197,0.011898810118988102,False,
chronos_bolt:e3,dgs30,high,592,0.0625,0.18758124187581243,True,
chronos_bolt:e3,dgs5,low,1993,0.05870546914199699,0.08769123087691232,True,2.29868450160501
chronos_bolt:e3,dgs5,high,631,0.0491283676703645,0.9284071592840716,True,2.6296273212657884
chronos_bolt:e3,eth,low,1546,0.0666235446313066,0.005499450054994501,False,2.150357378196983
chronos_bolt:e3,eth,high,612,0.07516339869281045,0.008899110088991101,False,2.450021199094658
chronos_bolt:e3,ftse,low,2156,0.05658627087198516,0.18418158184181582,True,0.5250934269599513
chronos_bolt:e3,ftse,high,495,0.11717171717171718,9.999000099990002e-05,False,1.7786949428687857
chronos_bolt:e3,gold,low,1981,0.06814740030287733,0.0004999500049995,False,0.8323838635018164
chronos_bolt:e3,gold,high,657,0.0669710806697108,0.059394060593940604,True,1.0934359563662184
chronos_bolt:e3,hsi,low,2066,0.0755082284607938,9.999000099990002e-05,False,1.1278062281670775
chronos_bolt:e3,hsi,high,513,0.04873294346978557,0.9212078792120788,True,1.1699225559466906
chronos_bolt:e3,jnj,low,2147,0.0680018630647415,0.0005999400059994001,False,0.9087681425353068
chronos_bolt:e3,jnj,high,491,0.07535641547861507,0.017198280171982803,False,1.2816439875301908
chronos_bolt:e3,jpm,low,2206,0.057116953762466005,0.14478552144785523,True,1.1696129488803948
chronos_bolt:e3,jpm,high,432,0.09490740740740741,0.00029997000299970003,False,1.923271622943396
chronos_bolt:e3,ltc,low,2491,0.06463267763950221,0.0020997900209979003,False,2.3467508304487876
chronos_bolt:e3,ltc,high,816,0.0784313725490196,0.0005999400059994001,False,2.6795390853659518
chronos_bolt:e3,msft,low,1992,0.07630522088353414,9.999000099990002e-05,False,1.2560652156654912
chronos_bolt:e3,msft,high,646,0.07739938080495357,0.0031996800319968005,False,1.6049319473281614
chronos_bolt:e3,ndx,low,1968,0.06605691056910569,0.0013998600139986002,False,1.087539315231913
chronos_bolt:e3,ndx,high,670,0.07611940298507462,0.0038996100389961006,False,1.411071895169992
chronos_bolt:e3,nikkei,low,2040,0.07009803921568628,0.00039996000399960006,False,1.0242282394935043
chronos_bolt:e3,nikkei,high,525,0.07809523809523809,0.007599240075992401,False,1.505719102932551
chronos_bolt:e3,nvda,low,1947,0.07601438109912687,9.999000099990002e-05,False,1.8240260945836126
chronos_bolt:e3,nvda,high,691,0.07525325615050651,0.004999500049995001,False,2.1294268424234533
chronos_bolt:e3,rut,low,2163,0.06796116504854369,0.0004999500049995,False,1.0393657474378417
chronos_bolt:e3,rut,high,475,0.07578947368421053,0.019198080191980802,False,1.7347659685556025
chronos_bolt:e3,spx,low,2134,0.061855670103092786,0.0173982601739826,False,0.7497302183853916
chronos_bolt:e3,spx,high,504,0.07738095238095238,0.0108989101089891,False,1.3829037331051857
chronos_bolt:e3,usdcad,low,1902,0.07097791798107256,0.00019998000199980003,False,-0.135726230098481
chronos_bolt:e3,usdcad,high,831,0.07821901323706378,0.0004999500049995,False,0.21540658364467788
chronos_bolt:e3,usdchf,low,2083,0.071531445031205,9.999000099990002e-05,False,0.049985501473876696
chronos_bolt:e3,usdchf,high,649,0.09090909090909091,9.999000099990002e-05,False,0.4608789862082217
chronos_bolt:e3,wmt,low,2257,0.07443509082853345,9.999000099990002e-05,False,1.0866464177895039
chronos_bolt:e3,wmt,high,381,0.09448818897637795,0.0004999500049995,False,1.4822347793160253
chronos_bolt:e3,xom,low,2016,0.056051587301587304,0.24127587241275872,True,1.1320079356928086
chronos_bolt:e3,xom,high,622,0.0932475884244373,9.999000099990002e-05,False,1.8626554999442981
chronos_bolt:e3,xrp,low,1707,0.06678383128295255,0.0033996600339966003,False,2.1493098460599294
chronos_bolt:e3,xrp,high,451,0.07317073170731707,0.039196080391960805,False,2.7949291889060075
chronos_2:e3,aapl,low,1946,0.04881808838643371,0.8349165083491651,True,1.2908859728248618
chronos_2:e3,aapl,high,692,0.046242774566473986,0.6668333166683331,True,1.508504423477036
chronos_2:e3,amzn,low,2014,0.05312810327706058,0.5473452654734526,True,1.38542445622482
chronos_2:e3,amzn,high,624,0.05929487179487179,0.3123687631236876,True,1.7240869115333912
chronos_2:e3,audusd,low,2017,0.056023797719385225,0.23987601239876014,True,0.2771149923828774
chronos_2:e3,audusd,high,716,0.04189944134078212,0.34766523347665235,True,0.43527152511244155
chronos_2:e3,brent,low,2216,0.05415162454873646,0.38586141385861417,True,1.6589990930056941
chronos_2:e3,brent,high,424,0.04716981132075472,0.8254174582541746,True,2.373843181450353
chronos_2:e3,csi300,low,1756,0.0489749430523918,0.8675132486751325,True,1.1158693211121709
chronos_2:e3,csi300,high,423,0.06619385342789598,0.14458554144585542,True,1.6387805172455199
chronos_2:e3,dax,low,2075,0.061204819277108434,0.023397660233976603,False,0.8256325880747167
chronos_2:e3,dax,high,589,0.04923599320882852,1.0,True,1.412895369994964
chronos_2:e3,dgs10,low,1997,0.0485728592889334,0.8022197780221978,True,2.2941115119805113
chronos_2:e3,dgs10,high,627,0.0430622009569378,0.46595340465953405,True,2.5345034481267303
chronos_2:e3,dgs2,low,2146,0.05358807082945014,0.45595440455954406,True,2.1892144462297694
chronos_2:e3,dgs2,high,478,0.03138075313807531,0.048795120487951205,False,
chronos_2:e3,dgs30,low,2032,0.04921259842519685,0.8765123487651235,True,
chronos_2:e3,dgs30,high,592,0.0472972972972973,0.785921407859214,True,
chronos_2:e3,dgs5,low,1993,0.04515805318615153,0.3277672232776722,True,2.3142050679465225
chronos_2:e3,dgs5,high,631,0.04120443740095087,0.3271672832716728,True,2.654501418522002
chronos_2:e3,eth,low,1546,0.057567917205692105,0.20167983201679832,True,2.1337303570097323
chronos_2:e3,eth,high,612,0.05718954248366013,0.459054094590541,True,2.4979630288232104
chronos_2:e3,ftse,low,2156,0.04452690166975881,0.24187581241875813,True,0.5380495008678703
