forecaster,alpha,erule,level,n_asset,mcs_rate
chronos_bolt,0.01,e1,0.1,32,0.09375
chronos_2,0.01,e1,0.1,32,0.15625
timesfm_2_5,0.01,e1,0.1,32,0.15625
moirai_2_0,0.01,e1,0.1,32,0.375
lag_llama,0.01,e1,0.1,32,0.0
garch_t,0.01,e1,0.1,32,1.0
gjr_t,0.01,e1,0.1,32,1.0
ewma94,0.01,e1,0.1,32,0.75
hs250,0.01,e1,0.1,32,0.75
hs500,0.01,e1,0.1,32,0.71875
fhs,0.01,e1,0.1,32,0.96875
chronos_bolt,0.01,e1,0.25,32,0.0
chronos_2,0.01,e1,0.25,32,0.0625
timesfm_2_5,0.01,e1,0.25,32,0.0625
moirai_2_0,0.01,e1,0.25,32,0.15625
lag_llama,0.01,e1,0.25,32,0.0
garch_t,0.01,e1,0.25,32,0.90625
gjr_t,0.01,e1,0.25,32,0.96875
ewma94,0.01,e1,0.25,32,0.375
hs250,0.01,e1,0.25,32,0.34375
hs500,0.01,e1,0.25,32,0.1875
fhs,0.01,e1,0.25,32,0.75
chronos_bolt,0.025,e1,0.1,32,0.09375
chronos_2,0.025,e1,0.1,32,0.21875
timesfm_2_5,0.025,e1,0.1,32,0.21875
moirai_2_0,0.025,e1,0.1,32,0.5
lag_llama,0.025,e1,0.1,32,0.0
garch_t,0.025,e1,0.1,32,1.0
gjr_t,0.025,e1,0.1,32,1.0
ewma94,0.025,e1,0.1,32,0.875
hs250,0.025,e1,0.1,32,0.6875
hs500,0.025,e1,0.1,32,0.53125
fhs,0.025,e1,0.1,32,0.9375
chronos_bolt,0.025,e1,0.25,32,0.0625
chronos_2,0.025,e1,0.25,32,0.09375
timesfm_2_5,0.025,e1,0.25,32,0.09375
moirai_2_0,0.025,e1,0.25,32,0.21875
lag_llama,0.025,e1,0.25,32,0.0
garch_t,0.025,e1,0.25,32,0.875
gjr_t,0.025,e1,0.25,32,0.96875
ewma94,0.025,e1,0.25,32,0.5625
hs250,0.025,e1,0.25,32,0.3125
hs500,0.025,e1,0.25,32,0.1875
fhs,0.025,e1,0.25,32,0.75
chronos_bolt,0.05,e1,0.1,32,0.125
chronos_2,0.05,e1,0.1,32,0.25
timesfm_2_5,0.05,e1,0.1,32,0.28125
moirai_2_0,0.05,e1,0.1,32,0.53125
lag_llama,0.05,e1,0.1,32,0.0
garch_t,0.05,e1,0.1,32,1.0
gjr_t,0.05,e1,0.1,32,1.0
ewma94,0.05,e1,0.1,32,0.84375
hs250,0.05,e1,0.1,32,0.5
hs500,0.05,e1,0.1,32,0.46875
fhs,0.05,e1,0.1,32,0.9375
chronos_bolt,0.05,e1,0.25,32,0.09375
chronos_2,0.05,e1,0.25,32,0.125
timesfm_2_5,0.05,e1,0.25,32,0.03125
moirai_2_0,0.05,e1,0.25,32,0.25
lag_llama,0.05,e1,0.25,32,0.0
garch_t,0.05,e1,0.25,32,0.8125
gjr_t,0.05,e1,0.25,32,1.0
ewma94,0.05,e1,0.25,32,0.625
hs250,0.05,e1,0.25,32,0.21875
hs500,0.05,e1,0.25,32,0.09375
fhs,0.05,e1,0.25,32,0.71875
chronos_bolt,0.01,e2,0.1,32,1.0
chronos_2,0.01,e2,0.1,32,1.0
timesfm_2_5,0.01,e2,0.1,32,0.96875
moirai_2_0,0.01,e2,0.1,32,0.96875
lag_llama,0.01,e2,0.1,32,0.5
garch_t,0.01,e2,0.1,32,1.0
gjr_t,0.01,e2,0.1,32,1.0
ewma94,0.01,e2,0.1,32,1.0
hs250,0.01,e2,0.1,32,0.84375
hs500,0.01,e2,0.1,32,0.75
fhs,0.01,e2,0.1,32,1.0
chronos_bolt,0.01,e2,0.25,32,0.9375
