asset,n,n_dropped_nan,nu_median,hit01_pct
aapl,2639.0,0.0,6.0,2.046229632436529
amzn,2639.0,0.0,6.0,1.9704433497536946
audusd,2734.0,0.0,15.0,1.1704462326261889
brent,2641.0,0.0,6.0,2.4233244982961
btc,3796.0,0.0,5.0,2.1601685985247627
copper,2640.0,0.0,10.0,1.7045454545454544
csi300,2639.0,0.0,8.0,1.5915119363395225
dax,2665.0,0.0,6.0,2.3264540337711073
dgs10,2625.0,0.0,15.0,0.9142857142857144
dgs2,2625.0,0.0,8.0,1.561904761904762
dgs30,2625.0,0.0,15.0,1.1047619047619048
dgs5,2625.0,0.0,15.0,1.180952380952381
eth,2647.0,0.0,6.0,2.07782395164337
ftse,2652.0,0.0,6.0,1.847662141779789
gbpusd,2734.0,0.0,10.0,1.5362106803218727
gold,2639.0,0.0,8.0,2.5009473285335355
hsi,2580.0,0.0,8.0,1.7054263565891472
jnj,2639.0,0.0,6.0,2.2735884804850324
jpm,2639.0,0.0,6.0,2.197802197802198
ltc,3796.0,0.0,5.0,1.8967334035827188
msft,2639.0,0.0,6.0,2.425161045850701
natgas,2641.0,0.0,8.0,1.2495266944339267
ndx,2639.0,0.0,6.0,2.6904130352406215
nikkei,2566.0,0.0,6.0,2.2213561964146535
nvda,2639.0,0.0,6.0,1.8567639257294428
rut,2639.0,0.0,10.0,1.9704433497536946
spx,2639.0,0.0,6.0,2.614626752557787
usdcad,2734.0,0.0,10.0,1.4996342355523042
usdchf,2733.0,0.0,10.0,1.609952433223564
wmt,2639.0,0.0,6.0,2.008336491095112
xom,2639.0,0.0,8.0,1.8946570670708602
xrp,2647.0,0.0,5.0,2.0022667170381565
ALL_MEAN,87013.0,0.0,,1.882323780715519
ALL_MIN,,,,0.9142857142857144
ALL_MAX,,,,2.6904130352406215
