episode,layer,alpha,t,daily_rate,trail21,trail10,band21,band10,disp_lo21,disp_hi21
vix_ep14,chronos_bolt:e3,0.025,1,0.2609,,,0.04197,0.04845,,
vix_ep14,chronos_bolt:e3,0.025,2,0.1304,,,0.04197,0.04845,,
vix_ep14,chronos_bolt:e3,0.025,3,0.1304,,,0.04197,0.04845,,
vix_ep14,chronos_bolt:e3,0.025,4,0.1304,,,0.04197,0.04845,,
vix_ep14,chronos_bolt:e3,0.025,5,0.0,,,0.04197,0.04845,,
vix_ep14,chronos_bolt:e3,0.025,6,0.087,,,0.04197,0.04845,,
vix_ep14,chronos_bolt:e3,0.025,7,0.0,,,0.04197,0.04845,,
vix_ep14,chronos_bolt:e3,0.025,8,0.1304,,,0.04197,0.04845,,
vix_ep14,chronos_bolt:e3,0.025,9,0.0435,,,0.04197,0.04845,,
vix_ep14,chronos_bolt:e3,0.025,10,0.0435,,0.0957,0.04197,0.04845,,
vix_ep14,chronos_bolt:e3,0.025,11,0.0,,0.0696,0.04197,0.04845,,
vix_ep14,chronos_bolt:e3,0.025,12,0.3043,,0.087,0.04197,0.04845,,
vix_ep14,chronos_bolt:e3,0.025,13,0.0435,,0.0783,0.04197,0.04845,,
vix_ep14,chronos_bolt:e3,0.025,14,0.0435,,0.0696,0.04197,0.04845,,
vix_ep14,chronos_bolt:e3,0.025,15,0.3478,,0.1043,0.04197,0.04845,,
vix_ep14,chronos_bolt:e3,0.025,16,0.0435,,0.1,0.04197,0.04845,,
vix_ep14,chronos_bolt:e3,0.025,17,0.1739,,0.1174,0.04197,0.04845,,
vix_ep14,chronos_bolt:e3,0.025,18,0.0435,,0.1087,0.04197,0.04845,,
vix_ep14,chronos_bolt:e3,0.025,19,0.0435,,0.1087,0.04197,0.04845,,
vix_ep14,chronos_bolt:e3,0.025,20,0.0435,,0.1087,0.04197,0.04845,,
vix_ep14,chronos_bolt:e3,0.025,21,0.0435,0.0994,0.113,0.04197,0.04845,0.0663,0.1366
vix_ep14,chronos_bolt:e3,0.025,22,0.0,0.087,0.0826,0.04197,0.04845,0.058,0.1222
vix_ep14,chronos_bolt:e3,0.025,23,0.0435,0.0828,0.0826,0.04197,0.04845,0.0518,0.118
vix_ep14,chronos_bolt:e3,0.025,24,0.0435,0.0787,0.0826,0.04197,0.04845,0.0496,0.1159
vix_ep14,chronos_bolt:e3,0.025,25,0.0435,0.0745,0.0522,0.04197,0.04845,0.0454,0.1097
vix_ep14,chronos_bolt:e3,0.025,26,0.0435,0.0766,0.0522,0.04197,0.04845,0.0476,0.1118
vix_ep14,chronos_bolt:e3,0.025,27,0.0,0.0725,0.0348,0.04197,0.04845,0.0414,0.1077
vix_ep14,chronos_bolt:e3,0.025,28,0.0,0.0725,0.0304,0.04197,0.04845,0.0414,0.1077
vix_ep14,chronos_bolt:e3,0.025,29,0.0,0.0663,0.0261,0.04197,0.04845,0.0352,0.1014
vix_ep14,chronos_bolt:e3,0.025,30,0.0,0.0642,0.0217,0.04197,0.04845,0.0331,0.1014
vix_ep14,chronos_bolt:e3,0.025,31,0.0435,0.0642,0.0217,0.04197,0.04845,0.0331,0.0994
vix_ep14,chronos_bolt:e3,0.025,32,0.0435,0.0663,0.0261,0.04197,0.04845,0.0373,0.1014
vix_ep14,chronos_bolt:e3,0.025,33,0.0,0.0518,0.0217,0.04197,0.04845,0.029,0.0807
vix_ep14,chronos_bolt:e3,0.025,34,0.0,0.0497,0.0174,0.04197,0.04845,0.0248,0.0807
vix_ep14,chronos_bolt:e3,0.025,35,0.0,0.0476,0.013,0.04197,0.04845,0.0228,0.0807
vix_ep14,chronos_bolt:e3,0.025,36,0.0435,0.0331,0.013,0.04197,0.04845,0.0207,0.0476
vix_ep14,chronos_bolt:e3,0.025,37,0.0,0.0311,0.013,0.04197,0.04845,0.0186,0.0455
vix_ep14,chronos_bolt:e3,0.025,38,0.0,0.0228,0.013,0.04197,0.04845,0.0145,0.0311
vix_ep14,chronos_bolt:e3,0.025,39,0.0,0.0207,0.013,0.04197,0.04845,0.0124,0.029
vix_ep14,chronos_bolt:e3,0.025,40,0.0435,0.0207,0.0174,0.04197,0.04845,0.0124,0.029
vix_ep14,chronos_bolt:e3,0.025,41,0.0435,0.0207,0.0174,0.04197,0.04845,0.0124,0.029
vix_ep14,chronos_bolt:e3,0.025,42,0.0,0.0186,0.013,0.04197,0.04845,0.0104,0.0269
vix_ep14,chronos_bolt:e3,0.025,43,0.0,0.0186,0.013,0.04197,0.04845,0.0104,0.0269
vix_ep14,chronos_bolt:e3,0.025,44,0.0,0.0166,0.013,0.04197,0.04845,0.0083,0.0248
vix_ep14,chronos_bolt:e3,0.025,45,0.0435,0.0166,0.0174,0.04197,0.04845,0.0104,0.0248
vix_ep14,chronos_bolt:e3,0.025,46,0.0,0.0145,0.013,0.04197,0.04845,0.0083,0.0207
vix_ep14,chronos_bolt:e3,0.025,47,0.0,0.0124,0.013,0.04197,0.04845,0.0062,0.0207
vix_ep14,chronos_bolt:e3,0.025,48,0.0,0.0124,0.013,0.04197,0.04845,0.0062,0.0187
vix_ep14,chronos_bolt:e3,0.025,49,0.0,0.0124,0.013,0.04197,0.04845,0.0062,0.0186
