episode,index,onset,model,alpha,window,n_assets,tau_rec,censored,post_cutoff,onset_rate
vix_ep14,vix,2016-01-15,chronos_bolt,0.025,21,24,21,False,False,0.25
vix_ep14,vix,2016-01-15,chronos_bolt,0.025,10,24,10,False,False,0.25
vix_ep14,vix,2016-01-15,chronos_bolt,0.05,21,24,21,False,False,0.292
vix_ep14,vix,2016-01-15,chronos_bolt,0.05,10,24,10,False,False,0.292
vix_ep14,vix,2016-01-15,chronos_2,0.025,21,24,21,False,False,0.167
vix_ep14,vix,2016-01-15,chronos_2,0.025,10,24,10,False,False,0.167
vix_ep14,vix,2016-01-15,chronos_2,0.05,21,24,21,False,False,0.292
vix_ep14,vix,2016-01-15,chronos_2,0.05,10,24,10,False,False,0.292
vix_ep14,vix,2016-01-15,timesfm_2_5,0.025,21,24,21,False,False,0.125
vix_ep14,vix,2016-01-15,timesfm_2_5,0.025,10,24,10,False,False,0.125
vix_ep14,vix,2016-01-15,timesfm_2_5,0.05,21,24,21,False,False,0.292
vix_ep14,vix,2016-01-15,timesfm_2_5,0.05,10,24,10,False,False,0.292
vix_ep14,vix,2016-01-15,moirai_2_0,0.025,21,24,21,False,False,0.125
vix_ep14,vix,2016-01-15,moirai_2_0,0.025,10,24,10,False,False,0.125
vix_ep14,vix,2016-01-15,moirai_2_0,0.05,21,24,21,False,False,0.292
vix_ep14,vix,2016-01-15,moirai_2_0,0.05,10,24,10,False,False,0.292
vix_ep14,vix,2016-01-15,lag_llama,0.025,21,24,21,False,False,0.417
vix_ep14,vix,2016-01-15,lag_llama,0.025,10,24,10,False,False,0.417
vix_ep14,vix,2016-01-15,lag_llama,0.05,21,24,21,False,False,0.667
vix_ep14,vix,2016-01-15,lag_llama,0.05,10,24,10,False,False,0.667
vix_ep15,vix,2018-02-05,chronos_bolt,0.025,21,24,21,False,False,0.583
vix_ep15,vix,2018-02-05,chronos_bolt,0.025,10,24,10,False,False,0.583
vix_ep15,vix,2018-02-05,chronos_bolt,0.05,21,24,21,False,False,0.667
vix_ep15,vix,2018-02-05,chronos_bolt,0.05,10,24,10,False,False,0.667
vix_ep15,vix,2018-02-05,chronos_2,0.025,21,24,21,False,False,0.542
vix_ep15,vix,2018-02-05,chronos_2,0.025,10,24,10,False,False,0.542
vix_ep15,vix,2018-02-05,chronos_2,0.05,21,24,21,False,False,0.625
vix_ep15,vix,2018-02-05,chronos_2,0.05,10,24,10,False,False,0.625
vix_ep15,vix,2018-02-05,timesfm_2_5,0.025,21,24,21,False,False,0.583
vix_ep15,vix,2018-02-05,timesfm_2_5,0.025,10,24,10,False,False,0.583
vix_ep15,vix,2018-02-05,timesfm_2_5,0.05,21,24,21,False,False,0.583
vix_ep15,vix,2018-02-05,timesfm_2_5,0.05,10,24,10,False,False,0.583
vix_ep15,vix,2018-02-05,moirai_2_0,0.025,21,24,21,False,False,0.583
vix_ep15,vix,2018-02-05,moirai_2_0,0.025,10,24,10,False,False,0.583
vix_ep15,vix,2018-02-05,moirai_2_0,0.05,21,24,21,False,False,0.583
vix_ep15,vix,2018-02-05,moirai_2_0,0.05,10,24,10,False,False,0.583
vix_ep15,vix,2018-02-05,lag_llama,0.025,21,24,21,False,False,0.458
vix_ep15,vix,2018-02-05,lag_llama,0.025,10,24,10,False,False,0.458
vix_ep15,vix,2018-02-05,lag_llama,0.05,21,24,21,False,False,0.625
vix_ep15,vix,2018-02-05,lag_llama,0.05,10,24,10,False,False,0.625
vix_ep16,vix,2018-12-18,chronos_bolt,0.025,21,24,21,False,False,0.083
vix_ep16,vix,2018-12-18,chronos_bolt,0.025,10,24,10,False,False,0.083
vix_ep16,vix,2018-12-18,chronos_bolt,0.05,21,24,21,False,False,0.125
vix_ep16,vix,2018-12-18,chronos_bolt,0.05,10,24,10,False,False,0.125
vix_ep16,vix,2018-12-18,chronos_2,0.025,21,24,21,False,False,0.083
vix_ep16,vix,2018-12-18,chronos_2,0.025,10,24,10,False,False,0.083
vix_ep16,vix,2018-12-18,chronos_2,0.05,21,24,21,False,False,0.125
vix_ep16,vix,2018-12-18,chronos_2,0.05,10,24,10,False,False,0.125
vix_ep16,vix,2018-12-18,timesfm_2_5,0.025,21,24,21,False,False,0.125
vix_ep16,vix,2018-12-18,timesfm_2_5,0.025,10,24,10,False,False,0.125
vix_ep16,vix,2018-12-18,timesfm_2_5,0.05,21,24,21,False,False,0.167
vix_ep16,vix,2018-12-18,timesfm_2_5,0.05,10,24,10,False,False,0.167
vix_ep16,vix,2018-12-18,moirai_2_0,0.025,21,24,21,False,False,0.083
vix_ep16,vix,2018-12-18,moirai_2_0,0.025,10,24,10,False,False,0.083
vix_ep16,vix,2018-12-18,moirai_2_0,0.05,21,24,21,False,False,0.167
vix_ep16,vix,2018-12-18,moirai_2_0,0.05,10,24,10,False,False,0.167
vix_ep16,vix,2018-12-18,lag_llama,0.025,21,24,21,False,False,0.167
vix_ep16,vix,2018-12-18,lag_llama,0.025,10,24,10,False,False,0.167
vix_ep16,vix,2018-12-18,lag_llama,0.05,21,24,21,False,False,0.167
vix_ep16,vix,2018-12-18,lag_llama,0.05,10,24,10,False,False,0.167
vix_ep17,vix,2020-02-24,chronos_bolt,0.025,21,24,21,False,False,0.458
vix_ep17,vix,2020-02-24,chronos_bolt,0.025,10,24,10,False,False,0.458
vix_ep17,vix,2020-02-24,chronos_bolt,0.05,21,24,21,False,False,0.75
vix_ep17,vix,2020-02-24,chronos_bolt,0.05,10,24,10,False,False,0.75
vix_ep17,vix,2020-02-24,chronos_2,0.025,21,24,21,False,False,0.417
vix_ep17,vix,2020-02-24,chronos_2,0.025,10,24,10,False,False,0.417
vix_ep17,vix,2020-02-24,chronos_2,0.05,21,24,21,False,False,0.583
vix_ep17,vix,2020-02-24,chronos_2,0.05,10,24,10,False,False,0.583
vix_ep17,vix,2020-02-24,timesfm_2_5,0.025,21,24,21,False,False,0.542
vix_ep17,vix,2020-02-24,timesfm_2_5,0.025,10,24,10,False,False,0.542
vix_ep17,vix,2020-02-24,timesfm_2_5,0.05,21,24,21,False,False,0.625
vix_ep17,vix,2020-02-24,timesfm_2_5,0.05,10,24,10,False,False,0.625
vix_ep17,vix,2020-02-24,moirai_2_0,0.025,21,24,21,False,False,0.5
vix_ep17,vix,2020-02-24,moirai_2_0,0.025,10,24,10,False,False,0.5
vix_ep17,vix,2020-02-24,moirai_2_0,0.05,21,24,21,False,False,0.625
vix_ep17,vix,2020-02-24,moirai_2_0,0.05,10,24,10,False,False,0.625
vix_ep17,vix,2020-02-24,lag_llama,0.025,21,24,21,False,False,0.625
vix_ep17,vix,2020-02-24,lag_llama,0.025,10,24,10,False,False,0.625
vix_ep17,vix,2020-02-24,lag_llama,0.05,21,24,21,False,False,0.792
vix_ep17,vix,2020-02-24,lag_llama,0.05,10,24,10,False,False,0.792
vix_ep18,vix,2020-06-08,chronos_bolt,0.025,21,24,21,False,False,0.0
