episode,index,onset,layer,alpha,window,n_assets,n_calm_days,band,mde_mult,dep_uncalibrated,direction_only,descriptive_only,tau_rec,ever_above,censored,onset_rate,post_cutoff
vix_ep14,vix,2016-01-15,chronos_bolt:e3,0.025,21,23,345,0.04197,1.68,False,False,False,36.0,True,False,0.261,False
vix_ep14,vix,2016-01-15,chronos_bolt:e3,0.025,10,23,345,0.04845,1.94,False,True,False,27.0,True,False,0.261,False
vix_ep14,vix,2016-01-15,chronos_bolt:e3,0.05,21,23,345,0.0772,1.54,False,False,False,33.0,True,False,0.304,False
vix_ep14,vix,2016-01-15,chronos_bolt:e3,0.05,10,23,345,0.09197,1.84,False,False,False,25.0,True,False,0.304,False
vix_ep14,vix,2016-01-15,chronos_bolt:e3,0.01,21,23,345,0.01984,1.98,False,False,True,36.0,True,False,0.043,False
vix_ep14,vix,2016-01-15,chronos_bolt:e3,0.01,10,23,345,0.02507,2.51,False,False,True,14.0,True,False,0.043,False
vix_ep14,vix,2016-01-15,chronos_2:e3,0.025,21,23,345,0.04191,1.68,False,False,False,25.0,True,False,0.174,False
vix_ep14,vix,2016-01-15,chronos_2:e3,0.025,10,23,345,0.04886,1.95,False,True,False,11.0,True,False,0.174,False
vix_ep14,vix,2016-01-15,chronos_2:e3,0.05,21,23,345,0.07467,1.49,False,False,False,29.0,True,False,0.304,False
vix_ep14,vix,2016-01-15,chronos_2:e3,0.05,10,23,345,0.08549,1.71,False,False,False,11.0,True,False,0.304,False
vix_ep14,vix,2016-01-15,chronos_2:e3,0.01,21,23,345,0.01775,1.78,False,False,True,25.0,True,False,0.0,False
vix_ep14,vix,2016-01-15,chronos_2:e3,0.01,10,23,345,0.02105,2.11,False,False,True,14.0,True,False,0.0,False
vix_ep14,vix,2016-01-15,timesfm_2_5:e3,0.025,21,23,345,0.03974,1.59,False,False,False,30.0,True,False,0.13,False
vix_ep14,vix,2016-01-15,timesfm_2_5:e3,0.025,10,23,345,0.05056,2.02,False,True,False,13.0,True,False,0.13,False
vix_ep14,vix,2016-01-15,timesfm_2_5:e3,0.05,21,23,345,0.0711,1.42,False,False,False,33.0,True,False,0.304,False
vix_ep14,vix,2016-01-15,timesfm_2_5:e3,0.05,10,23,345,0.0853,1.71,False,False,False,11.0,True,False,0.304,False
vix_ep14,vix,2016-01-15,timesfm_2_5:e3,0.01,21,23,345,0.01861,1.86,False,False,True,33.0,True,False,0.043,False
vix_ep14,vix,2016-01-15,timesfm_2_5:e3,0.01,10,23,345,0.02259,2.26,False,False,True,11.0,True,False,0.043,False
vix_ep14,vix,2016-01-15,moirai_2_0:e3,0.025,21,23,345,0.04012,1.6,False,False,False,29.0,True,False,0.13,False
vix_ep14,vix,2016-01-15,moirai_2_0:e3,0.025,10,23,345,0.04516,1.81,False,True,False,13.0,True,False,0.13,False
vix_ep14,vix,2016-01-15,moirai_2_0:e3,0.05,21,23,345,0.07101,1.42,False,False,False,34.0,True,False,0.304,False
vix_ep14,vix,2016-01-15,moirai_2_0:e3,0.05,10,23,345,0.08299,1.66,False,False,False,11.0,True,False,0.304,False
vix_ep14,vix,2016-01-15,moirai_2_0:e3,0.01,21,23,345,0.01802,1.8,False,False,True,30.0,True,False,0.043,False
vix_ep14,vix,2016-01-15,moirai_2_0:e3,0.01,10,23,345,0.0219,2.19,False,False,True,13.0,True,False,0.043,False
vix_ep14,vix,2016-01-15,lag_llama:e3,0.025,21,23,345,0.04041,1.62,False,False,False,52.0,True,False,0.391,False
vix_ep14,vix,2016-01-15,lag_llama:e3,0.025,10,23,345,0.05063,2.03,False,True,False,35.0,True,False,0.391,False
vix_ep14,vix,2016-01-15,lag_llama:e3,0.05,21,23,345,0.07595,1.52,False,False,False,51.0,True,False,0.652,False
vix_ep14,vix,2016-01-15,lag_llama:e3,0.05,10,23,345,0.08994,1.8,False,False,False,39.0,True,False,0.652,False
vix_ep14,vix,2016-01-15,lag_llama:e3,0.01,21,23,345,0.01972,1.97,False,False,True,44.0,True,False,0.261,False
vix_ep14,vix,2016-01-15,lag_llama:e3,0.01,10,23,345,0.02273,2.27,False,False,True,35.0,True,False,0.261,False
vix_ep14,vix,2016-01-15,gjr_t,0.025,21,23,345,0.04322,1.73,False,False,False,36.0,True,False,0.087,False
vix_ep14,vix,2016-01-15,gjr_t,0.025,10,23,345,0.05003,2.0,False,True,False,13.0,True,False,0.087,False
vix_ep14,vix,2016-01-15,gjr_t,0.05,21,23,345,0.074,1.48,False,False,False,33.0,True,False,0.217,False
vix_ep14,vix,2016-01-15,gjr_t,0.05,10,23,345,0.0868,1.74,False,False,False,11.0,True,False,0.217,False
vix_ep14,vix,2016-01-15,gjr_t,0.01,21,23,345,0.01903,1.9,False,False,True,29.0,True,False,0.0,False
vix_ep14,vix,2016-01-15,gjr_t,0.01,10,23,345,0.0247,2.47,False,False,True,13.0,True,False,0.0,False
vix_ep14,vix,2016-01-15,fhs,0.025,21,23,345,0.03945,1.58,False,False,False,23.0,True,False,0.087,False
vix_ep14,vix,2016-01-15,fhs,0.025,10,23,345,0.0517,2.07,False,True,False,11.0,True,False,0.087,False
vix_ep14,vix,2016-01-15,fhs,0.05,21,23,345,0.07467,1.49,False,False,False,22.0,True,False,0.217,False
vix_ep14,vix,2016-01-15,fhs,0.05,10,23,345,0.09042,1.81,False,False,False,21.0,True,False,0.217,False
vix_ep14,vix,2016-01-15,fhs,0.01,21,23,345,0.01979,1.98,False,False,True,,False,False,0.043,False
vix_ep14,vix,2016-01-15,fhs,0.01,10,23,345,0.02336,2.34,False,False,True,,False,False,0.043,False
vix_ep15,vix,2018-02-05,chronos_bolt:e3,0.025,21,24,252,0.04127,1.65,False,False,False,55.0,True,False,0.583,False
vix_ep15,vix,2018-02-05,chronos_bolt:e3,0.025,10,24,252,0.04956,1.98,False,True,False,14.0,True,False,0.583,False
vix_ep15,vix,2018-02-05,chronos_bolt:e3,0.05,21,24,252,0.07788,1.56,False,False,False,57.0,True,False,0.667,False
