forecaster,asset,alpha,erule,group,n,n_alpha,hit_rate,kupiec_stat,kupiec_p_asym,kupiec_p_mc,cc_stat,cc_p_asym,cc_p_mc,dq_p_asym,qs_mean,sigma_tail,prec_floor,fz0_mean,z2,dq_p_mc,es_viol,context_model
chronos_bolt+unrepaired,aapl,0.01,e3,equity_single,2139,21.39,0.0172978027115474,9.446938013092732,0.0021150189674679,0.0015998400159984,9.626357077363252,0.008122002526238,0.0047995200479952,0.0063359211524603,0.0674950702629853,1.235248785694586,0.2670847204521738,1.963535246164944,0.8795491807275195,0.0605939406059394,,
chronos_bolt+unrepaired,aapl,0.01,e2,equity_single,2139,21.39,0.0140252454417952,3.1114864940236657,0.0777419778525209,0.0792920707929207,3.706839240348359,0.1567003932306788,0.1098890110988901,0.1110084741509439,0.0667789270484904,1.2684286479698534,0.2742588495369868,1.9235823997053367,0.3095782624268983,0.1683831616838316,,
chronos_bolt+F1,aapl,0.01,e3,equity_single,2139,21.39,0.0116877045348293,0.5837727437008766,0.4448373138292792,0.446955304469553,1.669350480123455,0.4340154093654337,0.3501649835016498,0.1095068082658397,0.0651756599587776,1.127759108002756,0.2438433695192332,1.8659967786541811,0.19321693946396,0.4663533646635336,,
chronos_bolt+H,aapl,0.01,e3,equity_single,2139,21.39,0.0121552127162225,0.9390399563191636,0.332524862673879,0.3876612338766123,1.5792076417200749,0.454024634744997,0.4051594840515948,0.5043487018466739,0.0636496571897508,1.19370252541506,0.2581016140196094,1.8106740301530704,0.2743463441491631,0.6388361163883611,,
chronos_bolt+X4,aapl,0.01,e3,equity_single,2139,21.39,0.0116877045348293,0.5837727437008766,0.4448373138292792,0.446955304469553,1.669350480123455,0.4340154093654337,0.3501649835016498,0.4779828265830952,0.0648992162463911,1.1223124757797234,0.2426657021039388,1.8657762670899265,0.1932177231402283,0.4667533246675332,,
chronos_bolt+F2g05,aapl,0.01,e3,equity_single,2139,21.39,0.0172978027115474,9.446938013092732,0.0021150189674679,0.0015998400159984,9.626357077363252,0.008122002526238,0.0047995200479952,0.006238444024342,0.0671901502660156,1.2313740674824034,0.2662469313019098,1.9505881568295904,0.8586643399682949,0.0605939406059394,,
chronos_bolt+F2,aapl,0.01,e3,equity_single,2139,21.39,0.0168302945301542,8.363901110833524,0.0038274800241254,0.0041995800419958,8.58629744209594,0.0136618401777288,0.0080991900809919,0.0149136517000685,0.0669287541038919,1.22922007974395,0.2657811974192744,1.939762587977456,0.7981802119060395,0.0872912708729127,,
chronos_bolt+F2g20,aapl,0.01,e3,equity_single,2139,21.39,0.0158952781673679,6.36895596018735,0.0116133902040176,0.0116988301169883,6.692920658328433,0.0352087612160727,0.018998100189981,0.0556361530346417,0.0665872928821654,1.2273572677105593,0.2653784213656122,1.9259574792818184,0.6922049554122156,0.0960903909609039,,
chronos_bolt+F3,aapl,0.01,e3,equity_single,2139,21.39,0.0130902290790088,1.8803895197058296,0.1702898828895006,0.1888811118888111,2.623539293721024,0.2693429924108841,0.1937806219378062,0.0088858188625681,0.0696499738796918,1.1122025212481372,0.2404797340535152,1.9782094779580324,0.4388435704170599,0.326967303269673,,
chronos_bolt+F4,aapl,0.01,e3,equity_single,2139,21.39,0.0121552127162225,0.9390399563191636,0.332524862673879,0.3876612338766123,1.9112367552275489,0.3845742588964413,0.2870712928707129,0.0657571059215876,0.0667361008933136,1.1080385257991594,0.2395793975599003,,,0.2792720727927207,81.0,
chronos_bolt+F2g05,aapl,0.01,e2,equity_single,2139,21.39,0.0140252454417952,3.1114864940236657,0.0777419778525209,0.0792920707929207,3.706839240348359,0.1567003932306788,0.1098890110988901,0.1103597472197081,0.0667285837017054,1.2633065883633157,0.2731513610099835,1.9213713607620289,0.3051059376350788,0.1683831616838316,,
chronos_bolt+F2,aapl,0.01,e2,equity_single,2139,21.39,0.0140252454417952,3.1114864940236657,0.0777419778525209,0.0792920707929207,3.706839240348359,0.1567003932306788,0.1098890110988901,0.1097215560280423,0.0666782403549203,1.258291833655985,0.2720670738812247,1.9192027692164075,0.3006823828329319,0.1683831616838316,,
chronos_bolt+F2g20,aapl,0.01,e2,equity_single,2139,21.39,0.013557737260402,2.460974477642821,0.1167063579569159,0.1244875512448755,3.139849887618311,0.2080607980219505,0.1377862213778622,0.1454984919308894,0.066644959173361,1.2534364021188626,0.2710172355087564,1.917193898268476,0.2662390880252734,0.1996800319968003,,
