model,asset,alpha,pair,n,stat,p,mean_diff
chronos_bolt,aapl,0.01,F1_vs_garch_evt,2139,1.7059977008171303,0.0881537447041987,0.0544873268246008
chronos_bolt,aapl,0.01,F1_vs_F4,2058,-0.9742940404587228,0.3300251206002831,-0.0318734675835631
chronos_bolt,aapl,0.025,F1_vs_garch_evt,2139,1.8629376110213085,0.0626080859097629,0.0412761777001267
chronos_bolt,aapl,0.025,F1_vs_F4,2139,-0.4232956211193563,0.672122164082267,-0.0084587496389846
chronos_bolt,aapl,0.05,F1_vs_garch_evt,2139,2.88536335312053,0.0039487960276946,0.0486562875615314
chronos_bolt,aapl,0.05,F1_vs_F4,2139,0.3543472081487451,0.7231136372227658,0.0039324858365143
chronos_bolt,amzn,0.01,F1_vs_garch_evt,2139,1.7723187908743645,0.0764840365907865,0.0636689565982679
chronos_bolt,amzn,0.01,F1_vs_F4,2082,-2.587572819186544,0.0097326878442101,-0.0853641440489125
chronos_bolt,amzn,0.025,F1_vs_garch_evt,2139,1.2855637509945956,0.1987345810766853,0.0329250254649551
chronos_bolt,amzn,0.025,F1_vs_F4,2112,-1.4480841930144532,0.1477420059618176,-0.0265444804240388
chronos_bolt,amzn,0.05,F1_vs_garch_evt,2139,0.0754465757007402,0.9398664612787846,0.0015086313420187
chronos_bolt,amzn,0.05,F1_vs_F4,2139,-2.281650353493037,0.0226078848252746,-0.0233572055682175
chronos_bolt,audusd,0.01,F1_vs_garch_evt,2234,-0.1491279894360221,0.8814661067830605,-0.0050863894552386
chronos_bolt,audusd,0.01,F1_vs_F4,2205,-1.2953104871788683,0.195348798380587,-0.035458747812113
chronos_bolt,audusd,0.025,F1_vs_garch_evt,2234,0.3941295321651025,0.6935230425075242,0.0087355300974625
chronos_bolt,audusd,0.025,F1_vs_F4,2202,-0.1327412289972565,0.8944101692409687,-0.0016932333368787
chronos_bolt,audusd,0.05,F1_vs_garch_evt,2234,0.576653924309279,0.5642313861600226,0.0087624553139389
chronos_bolt,audusd,0.05,F1_vs_F4,2234,-0.832878961240849,0.4050020662966477,-0.0069924794820198
chronos_bolt,brent,0.01,F1_vs_garch_evt,2141,0.7809812658134017,0.434899896159287,0.0343816901610181
chronos_bolt,brent,0.01,F1_vs_F4,2088,-1.0714729403859695,0.2840807204883741,-0.0328388908291316
chronos_bolt,brent,0.025,F1_vs_garch_evt,2141,1.9420062061622403,0.0522674134631021,0.0523994810569637
chronos_bolt,brent,0.025,F1_vs_F4,2136,-2.1478393852541284,0.0318387522121229,-0.032422930294415
chronos_bolt,brent,0.05,F1_vs_garch_evt,2141,2.581303316548277,0.009908788220752,0.0498193985199462
chronos_bolt,brent,0.05,F1_vs_F4,2140,-1.013253433865481,0.3110537225816762,-0.0088027551696034
chronos_bolt,btc,0.01,F1_vs_garch_evt,2808,0.6852554953063582,0.4932392932221866,0.0439720072696714
chronos_bolt,btc,0.01,F1_vs_F4,2747,0.5343332482939065,0.593154248701927,0.0340475593260587
chronos_bolt,btc,0.025,F1_vs_garch_evt,2808,0.4737621968795295,0.6357063397867238,0.0169593264770339
chronos_bolt,btc,0.025,F1_vs_F4,2808,0.6210505559127684,0.5346167858399526,0.0191405989216952
chronos_bolt,btc,0.05,F1_vs_garch_evt,2808,0.5652320967778218,0.5719610798061241,0.0134635103715529
chronos_bolt,btc,0.05,F1_vs_F4,2808,0.8249894086530969,0.4094477052145712,0.0150494837748226
chronos_bolt,copper,0.01,F1_vs_garch_evt,2140,0.0120245743479499,0.990407130337742,0.0004190686154543
chronos_bolt,copper,0.01,F1_vs_F4,2105,0.1191776910750302,0.9051459580386942,0.0057062793027079
chronos_bolt,copper,0.025,F1_vs_garch_evt,2140,-0.0688195191032539,0.9451397134129936,-0.0014139440610099
chronos_bolt,copper,0.025,F1_vs_F4,2139,-0.5406828873720678,0.5887824975704248,-0.0100328593630449
chronos_bolt,copper,0.05,F1_vs_garch_evt,2140,0.5564133921119584,0.5779864886127593,0.0084713077118951
chronos_bolt,copper,0.05,F1_vs_F4,2140,0.115742339850933,0.9078676137929882,0.0012231800043964
