model,asset,alpha,arm,in_mcs,mcs_p,n
chronos_bolt,aapl,0.01,F1,True,0.1128,2058
chronos_bolt,aapl,0.01,H,True,0.1128,2058
chronos_bolt,aapl,0.01,F2,True,0.1128,2058
chronos_bolt,aapl,0.01,F3,False,0.0494,2058
chronos_bolt,aapl,0.01,F4,True,0.1128,2058
chronos_bolt,aapl,0.01,garch_evt,True,0.1128,2058
chronos_bolt,aapl,0.01,fhs,True,0.1128,2058
chronos_bolt,aapl,0.025,F1,True,0.2622,2139
chronos_bolt,aapl,0.025,H,True,0.2622,2139
chronos_bolt,aapl,0.025,F2,True,0.2622,2139
chronos_bolt,aapl,0.025,F3,False,0.0678,2139
chronos_bolt,aapl,0.025,F4,True,0.2622,2139
chronos_bolt,aapl,0.025,garch_evt,True,0.2622,2139
chronos_bolt,aapl,0.025,fhs,True,0.2622,2139
chronos_bolt,aapl,0.05,F1,True,0.1074,2139
chronos_bolt,aapl,0.05,H,True,0.1074,2139
chronos_bolt,aapl,0.05,F2,True,0.1074,2139
chronos_bolt,aapl,0.05,F3,False,0.0014,2139
chronos_bolt,aapl,0.05,F4,True,0.1074,2139
chronos_bolt,aapl,0.05,garch_evt,True,0.1074,2139
chronos_bolt,aapl,0.05,fhs,True,0.1074,2139
chronos_bolt,amzn,0.01,F1,False,0.0994,2082
chronos_bolt,amzn,0.01,H,True,0.4936,2082
chronos_bolt,amzn,0.01,F2,True,0.4936,2082
chronos_bolt,amzn,0.01,F3,False,0.0994,2082
chronos_bolt,amzn,0.01,F4,False,0.0084,2082
chronos_bolt,amzn,0.01,garch_evt,True,0.4936,2082
chronos_bolt,amzn,0.01,fhs,True,0.4936,2082
chronos_bolt,amzn,0.025,F1,True,0.1046,2112
chronos_bolt,amzn,0.025,H,True,0.1046,2112
chronos_bolt,amzn,0.025,F2,True,0.1046,2112
chronos_bolt,amzn,0.025,F3,True,0.1046,2112
chronos_bolt,amzn,0.025,F4,True,0.1046,2112
chronos_bolt,amzn,0.025,garch_evt,True,0.1046,2112
chronos_bolt,amzn,0.025,fhs,True,0.1046,2112
chronos_bolt,amzn,0.05,F1,True,0.1506,2139
chronos_bolt,amzn,0.05,H,True,0.1506,2139
chronos_bolt,amzn,0.05,F2,True,0.1506,2139
chronos_bolt,amzn,0.05,F3,True,0.1506,2139
chronos_bolt,amzn,0.05,F4,True,0.1506,2139
chronos_bolt,amzn,0.05,garch_evt,True,0.1506,2139
chronos_bolt,amzn,0.05,fhs,True,0.1506,2139
chronos_bolt,audusd,0.01,F1,True,0.2372,2205
chronos_bolt,audusd,0.01,H,True,0.2372,2205
chronos_bolt,audusd,0.01,F2,True,0.2372,2205
chronos_bolt,audusd,0.01,F3,True,0.2372,2205
chronos_bolt,audusd,0.01,F4,True,0.2372,2205
chronos_bolt,audusd,0.01,garch_evt,True,0.2372,2205
chronos_bolt,audusd,0.01,fhs,True,0.2372,2205
chronos_bolt,audusd,0.025,F1,True,0.2514,2202
chronos_bolt,audusd,0.025,H,True,0.2514,2202
chronos_bolt,audusd,0.025,F2,True,0.2514,2202
chronos_bolt,audusd,0.025,F3,True,0.2514,2202
chronos_bolt,audusd,0.025,F4,True,0.2514,2202
