model,dgp,path,t,alpha,true_v,true_e,e2_v,e2_e,e3_v,e3_e
chronos_bolt,garch_t,0,512,0.01,-3.152172600113327,-3.9079108772785474,-4.879735276831861,-7.163884145276066,-4.241055364988194,-5.767235513490873
chronos_bolt,garch_t,0,512,0.025,-2.509589101400448,-3.232104060275753,-3.5418130131147776,-5.31662794528518,-3.170664698708382,-4.473724132217986
chronos_bolt,garch_t,0,512,0.05,-2.0237177451680433,-2.7357877665961596,-2.701958767819448,-4.1902351710033265,-2.466202456813628,-3.6224181966618603
chronos_bolt,garch_t,0,528,0.01,-3.300126897406588,-4.091337447166139,-4.134348540410111,-5.931607213919882,-3.5788920428008577,-4.894405311327667
chronos_bolt,garch_t,0,528,0.025,-2.6273822996470098,-3.3838101200897373,-3.040843407711068,-4.464656787918723,-2.69107980656308,-3.790818829297333
chronos_bolt,garch_t,0,528,0.05,-2.118705480578051,-2.8641981069866835,-2.3419105456859115,-3.554313853387853,-2.11757992786392,-3.07793530759633
chronos_bolt,garch_t,0,545,0.01,-3.62713599594459,-4.496747485023763,-3.824656126370338,-5.155160325036465,-3.5006253277071737,-4.561269175709418
chronos_bolt,garch_t,0,545,0.025,-2.887729232971743,-3.719111377100153,-2.9029643326994212,-4.032525627373113,-2.691321266620092,-3.6411256158743703
chronos_bolt,garch_t,0,545,0.05,-2.328647701228966,-3.148011084522793,-2.275278713421293,-3.2909494840969864,-2.135786789642765,-3.0095070489659106
chronos_bolt,garch_t,0,562,0.01,-3.0015737810254732,-3.7212057573883586,-3.2065547112344426,-4.270587400944745,-3.013966773941158,-3.951158590433535
chronos_bolt,garch_t,0,562,0.025,-2.38969047812929,-3.0776864200015224,-2.4502373768142216,-3.366567011185993,-2.306964544316437,-3.1407272908442825
chronos_bolt,garch_t,0,562,0.05,-1.92703220752379,-2.6050822313378537,-1.9285040747852127,-2.7616870833002,-1.824455945725437,-2.5876313397513724
chronos_bolt,garch_t,0,578,0.01,-4.142210502588963,-5.135311904704355,-3.660277454172458,-4.841116048023803,-3.4542328110313134,-4.556937466086726
chronos_bolt,garch_t,0,578,0.025,-3.2978036585401456,-4.24724692532805,-2.8063214704728936,-3.833134324771164,-2.6382885654844848,-3.6085238396230586
chronos_bolt,garch_t,0,578,0.05,-2.659329282289095,-3.5950470539721078,-2.212101090873008,-3.1528112025872717,-2.0868315276587897,-2.9675371889571545
chronos_bolt,garch_t,0,595,0.01,-3.9656858937401247,-4.916465246687305,-3.1150720339338402,-3.755314416346214,-3.12639216354614,-3.6371012509029783
chronos_bolt,garch_t,0,595,0.025,-3.157264325611456,-4.066246080076618,-2.5298991741306915,-3.1699318404292876,-2.5749971228926136,-3.1432492088873163
chronos_bolt,garch_t,0,595,0.05,-2.545999198976589,-3.441840384586535,-2.0702945011553218,-2.7227713143092425,-2.116973008788841,-2.733024003063067
chronos_bolt,garch_t,0,612,0.01,-3.102771485264712,-3.846665768409938,-2.9806457556250248,-3.5606458538352004,-3.0122711110622595,-3.4553094901776245
