margin_pp,tol,frac,n_heads_pass,heads_fail
5,1.0,1/2,0,"chronos_2,moirai_2_0,lag_llama,chronos_bolt,timesfm_2_5"
5,1.0,2/3,0,"chronos_2,moirai_2_0,lag_llama,chronos_bolt,timesfm_2_5"
5,1.0,3/4,0,"chronos_2,moirai_2_0,lag_llama,chronos_bolt,timesfm_2_5"
5,1.025,1/2,1,"chronos_2,moirai_2_0,chronos_bolt,timesfm_2_5"
5,1.025,2/3,0,"chronos_2,moirai_2_0,lag_llama,chronos_bolt,timesfm_2_5"
5,1.025,3/4,0,"chronos_2,moirai_2_0,lag_llama,chronos_bolt,timesfm_2_5"
5,1.05,1/2,1,"chronos_2,moirai_2_0,chronos_bolt,timesfm_2_5"
5,1.05,2/3,1,"chronos_2,moirai_2_0,chronos_bolt,timesfm_2_5"
5,1.05,3/4,1,"chronos_2,moirai_2_0,chronos_bolt,timesfm_2_5"
5,1.1,1/2,1,"chronos_2,moirai_2_0,chronos_bolt,timesfm_2_5"
5,1.1,2/3,1,"chronos_2,moirai_2_0,chronos_bolt,timesfm_2_5"
5,1.1,3/4,1,"chronos_2,moirai_2_0,chronos_bolt,timesfm_2_5"
10,1.0,1/2,0,"chronos_2,moirai_2_0,lag_llama,chronos_bolt,timesfm_2_5"
10,1.0,2/3,0,"chronos_2,moirai_2_0,lag_llama,chronos_bolt,timesfm_2_5"
10,1.0,3/4,0,"chronos_2,moirai_2_0,lag_llama,chronos_bolt,timesfm_2_5"
10,1.025,1/2,5,-
10,1.025,2/3,3,"chronos_2,lag_llama"
10,1.025,3/4,0,"chronos_2,moirai_2_0,lag_llama,chronos_bolt,timesfm_2_5"
10,1.05,1/2,5,-
10,1.05,2/3,5,-
10,1.05,3/4,5,-
10,1.1,1/2,5,-
10,1.1,2/3,5,-
10,1.1,3/4,5,-
15,1.0,1/2,0,"chronos_2,moirai_2_0,lag_llama,chronos_bolt,timesfm_2_5"
15,1.0,2/3,0,"chronos_2,moirai_2_0,lag_llama,chronos_bolt,timesfm_2_5"
15,1.0,3/4,0,"chronos_2,moirai_2_0,lag_llama,chronos_bolt,timesfm_2_5"
15,1.025,1/2,5,-
15,1.025,2/3,3,"chronos_2,lag_llama"
15,1.025,3/4,0,"chronos_2,moirai_2_0,lag_llama,chronos_bolt,timesfm_2_5"
15,1.05,1/2,5,-
15,1.05,2/3,5,-
15,1.05,3/4,5,-
15,1.1,1/2,5,-
15,1.1,2/3,5,-
15,1.1,3/4,5,-
