model,asset,alpha,pair,n,stat_frozen,p_frozen,stat_nw,p_nw,nw_lag,mean_diff
chronos_2,aapl,0.01,F1_vs_garch_evt,2139,1.7952679752093774,0.0727521956895152,1.8384959706938881,0.06598935505082748,7,0.0695510156343002
chronos_2,aapl,0.01,F1_vs_F4,2062,0.0397280978126275,0.9683137483680266,0.03916430261413913,0.9687593941756554,7,0.0014956376711461
chronos_2,aapl,0.025,F1_vs_garch_evt,2139,1.9377574601056589,0.052784346897431,1.8918736864046777,0.05850781250165804,7,0.0462363738141051
chronos_2,aapl,0.025,F1_vs_F4,2135,-0.2936699326332792,0.7690386893105822,-0.27947510628435257,0.77988023952826,7,-0.0056452685459286
chronos_2,aapl,0.05,F1_vs_garch_evt,2139,2.0480764727723098,0.0406744179434499,1.9670395354851884,0.04917865305023428,7,0.0360841899155776
chronos_2,aapl,0.05,F1_vs_F4,2139,-0.0723333088163397,0.9423434232526406,-0.06811333639676494,0.9456954141038314,7,-0.0008170477777785
chronos_2,amzn,0.01,F1_vs_garch_evt,2139,0.5148584104722295,0.6067051862900177,0.5201222679520322,0.6029783588715016,7,0.022914671288371
chronos_2,amzn,0.01,F1_vs_F4,2102,-1.770693094370673,0.0767567243490085,-1.7392535342091373,0.08199017663131847,7,-0.0655191847728752
chronos_2,amzn,0.025,F1_vs_garch_evt,2139,-0.1257973286414955,0.899904184120314,-0.12426256559646345,0.9011073858523595,7,-0.0034023768730519
chronos_2,amzn,0.025,F1_vs_F4,2123,-1.866616619261033,0.0620929688712269,-1.8285814318060405,0.06746233642234234,7,-0.030326097410596
chronos_2,amzn,0.05,F1_vs_garch_evt,2139,-1.392861940575358,0.1638063566462069,-1.2736533461354498,0.20278629739530807,7,-0.0290035589005996
chronos_2,amzn,0.05,F1_vs_F4,2139,-1.262943892229281,0.2067470616915001,-1.2590555821550866,0.2080102564685853,7,-0.010927615735098
chronos_2,audusd,0.01,F1_vs_garch_evt,2234,-0.6818688495362718,0.4953925998555986,-0.7072962047543238,0.47938242356834326,7,-0.0256989008128721
chronos_2,audusd,0.01,F1_vs_F4,2200,-1.99569364621378,0.0460904365503375,-2.0079541338180764,0.044648165844032084,7,-0.0561655703937622
chronos_2,audusd,0.025,F1_vs_garch_evt,2234,-0.1512374421364782,0.8798020763658664,-0.135574093387123,0.8921579868086251,7,-0.0035290218061103
chronos_2,audusd,0.025,F1_vs_F4,2214,-1.9109429896721208,0.0561409868913552,-1.8354085113477048,0.06644518354803308,7,-0.0261467016902046
chronos_2,audusd,0.05,F1_vs_garch_evt,2234,0.3580595740728731,0.7203325742519289,0.29303798189248526,0.7694931199986332,7,0.0058835717267369
chronos_2,audusd,0.05,F1_vs_F4,2234,-1.2832700335001384,0.1995306499677178,-1.2679998585065482,0.20479800109324442,7,-0.0106477457183887
chronos_2,brent,0.01,F1_vs_garch_evt,2141,1.1187356640635011,0.2633784852931746,1.0747575025297536,0.2824833116455434,7,0.0573694968196474
chronos_2,brent,0.01,F1_vs_F4,2094,-1.661025893085016,0.0968580194048919,-1.5870228862348779,0.11250746132657663,7,-0.0469547617932831
chronos_2,brent,0.025,F1_vs_garch_evt,2141,2.501335118216952,0.0124467780230975,2.390057933269468,0.01684571531089496,7,0.0808715116801233
chronos_2,brent,0.025,F1_vs_F4,2136,-0.6168841517209837,0.5373769168037599,-0.5567006150708066,0.5777319966191012,7,-0.0109115580982588
chronos_2,brent,0.05,F1_vs_garch_evt,2141,3.038525917681201,0.0024061399647637,2.9459124500822442,0.0032200352760056727,7,0.078831519387317
chronos_2,brent,0.05,F1_vs_F4,2141,-0.3448070597910465,0.7302733085605995,-0.3342368758342909,0.7382008195724281,7,-0.0035491686008669
chronos_2,btc,0.01,F1_vs_garch_evt,2808,1.42525722591262,0.1541940401773412,1.4241675194544663,0.1543979848199346,8,0.1282985163711557
chronos_2,btc,0.01,F1_vs_F4,2792,0.9878380642283434,0.3233175908055227,1.0021461803564335,0.3162729967694331,8,0.0848496963364395
chronos_2,btc,0.025,F1_vs_garch_evt,2808,1.3220379993738554,0.186263218002166,1.3213416593355272,0.18638746925948269,8,0.0731856808609575
chronos_2,btc,0.025,F1_vs_F4,2799,0.919320017704461,0.358007455557815,0.9126755417744152,0.3614132110581596,8,0.0427351090826814
chronos_2,btc,0.05,F1_vs_garch_evt,2808,1.330888254748907,0.1833338741362062,1.33652862714707,0.18137655001072606,8,0.0516856343695923
chronos_2,btc,0.05,F1_vs_F4,2805,1.2685897039559084,0.2046927436461915,1.2802116664242371,0.20047070399936162,8,0.0405783959355182
chronos_2,copper,0.01,F1_vs_garch_evt,2140,-0.019976051617013,0.9840643399116832,-0.01996472895888301,0.984071509167384,7,-0.000638568524389
chronos_2,copper,0.01,F1_vs_F4,2111,0.009399587987055,0.992501212889752,0.009364888271853168,0.9925280094514095,7,0.0004875609554522
chronos_2,copper,0.025,F1_vs_garch_evt,2140,-0.5100069350197424,0.610099221875896,-0.5017901462903566,0.6158151451975984,7,-0.0097221927645837
chronos_2,copper,0.025,F1_vs_F4,2137,-1.2677473149891163,0.2050263783803856,-1.257825619505681,0.20845482818904593,7,-0.030883331347796
chronos_2,copper,0.05,F1_vs_garch_evt,2140,-0.494671305607935,0.6208829619207499,-0.4740252472436201,0.635481903446705,7,-0.0070965137478938
chronos_2,copper,0.05,F1_vs_F4,2140,-0.4033987500526941,0.6866952258459278,-0.4127453328300951,0.67979320756385,7,-0.0058902712503133
chronos_2,csi300,0.01,F1_vs_garch_evt,1680,0.1156119499840442,0.9079739166463474,0.11076517806195278,0.9118025592686652,7,0.0061022416386259
chronos_2,csi300,0.01,F1_vs_F4,1662,-1.761707740225497,0.0783026307745555,-1.6160069005449451,0.10609282125823816,7,-0.1730253884210203
chronos_2,csi300,0.025,F1_vs_garch_evt,1680,0.6169859611778836,0.5373276399524081,0.5897755601962025,0.555341129838157,7,0.0168004241255268
chronos_2,csi300,0.025,F1_vs_F4,1680,-1.5488292792932634,0.1216112233944336,-1.5229490594495858,0.12777145046691185,7,-0.0694994129987852
chronos_2,csi300,0.05,F1_vs_garch_evt,1680,1.7659534817696338,0.0775853618780293,1.786188918663244,0.07406867470173228,7,0.0337067502641501
chronos_2,csi300,0.05,F1_vs_F4,1680,-0.999624572208454,0.3176362674510616,-1.0068326185707401,0.31401521676829525,7,-0.0279504822352821
chronos_2,dax,0.01,F1_vs_garch_evt,2165,1.1178404783414635,0.2637592118937213,1.0875695274660824,0.27678518929949547,7,0.0755224446981976
chronos_2,dax,0.01,F1_vs_F4,2165,-1.255085385144611,0.2095832846165398,-1.2855801750400822,0.19858961926659213,7,-0.0929581082507162
chronos_2,dax,0.025,F1_vs_garch_evt,2165,1.976289866428985,0.0482487638262741,1.8172559764265885,0.06917792744733076,7,0.0778611761226934
chronos_2,dax,0.025,F1_vs_F4,2165,-0.6716924628149458,0.5018511982394673,-0.703975997145471,0.4814477216738564,7,-0.0220328357138336
chronos_2,dax,0.05,F1_vs_garch_evt,2165,2.438485727749879,0.0148288708939734,2.2591335265324775,0.023875080210128408,7,0.064720405537556
chronos_2,dax,0.05,F1_vs_F4,2165,1.2486405942055816,0.2119316217111724,1.3100498285198134,0.1901789794751816,7,0.0213679303465022
chronos_2,dgs10,0.01,F1_vs_garch_evt,2125,-1.053981173409532,0.2920114160971818,-1.1172997828032245,0.2638661683346597,7,-0.0517435029379928
chronos_2,dgs10,0.01,F1_vs_F4,2124,-1.0473500659711947,0.2950573752719683,-1.0646662677502097,0.2870269800499827,7,-0.028825987808258
chronos_2,dgs10,0.025,F1_vs_garch_evt,2125,-1.0934576246440604,0.2743169198154218,-1.184040287446274,0.2363971154038209,7,-0.0292962858883347
chronos_2,dgs10,0.025,F1_vs_F4,2124,-0.7196617010789836,0.4718125264991032,-0.714516648800652,0.4749077649949145,7,-0.0098671872741865
chronos_2,dgs10,0.05,F1_vs_garch_evt,2125,-0.9830494181263948,0.3256950793590734,-1.038340037591411,0.2991117749737544,7,-0.0179995806889037
chronos_2,dgs10,0.05,F1_vs_F4,2124,-0.7999636853459061,0.4238213377984788,-0.7874006969476139,0.4310473388945826,7,-0.007624024801245
chronos_2,dgs2,0.01,F1_vs_garch_evt,2125,-0.7574799084956532,0.4488464226006153,-0.7640408952135798,0.44484287247251597,7,-0.033361859168427
chronos_2,dgs2,0.01,F1_vs_F4,2092,-2.6434658596634897,0.008267498903164,-2.384955476412169,0.017081188498211164,7,-0.1841565487278029
chronos_2,dgs2,0.025,F1_vs_garch_evt,2125,-0.7779982934841512,0.436656671158167,-0.7665834623904282,0.4433292111385403,7,-0.0207495926418732
chronos_2,dgs2,0.025,F1_vs_F4,2098,-3.3792244275961942,0.0007402102154213,-2.886456405612441,0.0038960671725010165,7,-0.1053942346405892
chronos_2,dgs2,0.05,F1_vs_garch_evt,2125,-0.3656976459741003,0.714627118742196,-0.37386685700471717,0.7085033755393173,7,-0.0073434702907488
chronos_2,dgs2,0.05,F1_vs_F4,2100,-3.765175574418163,0.0001710075539408,-3.0936447220646874,0.0019771409589957045,7,-0.0730294792047983
chronos_2,dgs30,0.01,F1_vs_garch_evt,2125,0.3626247795327799,0.7169212760326098,0.35171001873787777,0.7250557461909719,7,0.0114850712266417
chronos_2,dgs30,0.01,F1_vs_F4,2039,-2.985045544386243,0.0028691046095151,-2.6417367169624195,0.00824821459244185,7,-0.1556150131017128
chronos_2,dgs30,0.025,F1_vs_garch_evt,2125,0.4104028007501784,0.6815518858798079,0.3768319329382756,0.7062985080962183,7,0.0082419975713985
chronos_2,dgs30,0.025,F1_vs_F4,2064,-3.828163380151026,0.0001329503871335,-3.3873962614754207,0.0007055939547482293,7,-0.081939214265347
