layer,asset,stratum,n,hit_rate,uc_p_mc,uc_pass,fz0_mean
chronos_bolt:e3,aapl,Q1,660,0.06818181818181818,0.05019498050194981,True,1.0914354888908806
chronos_bolt:e3,aapl,Q2,659,0.06069802731411229,0.24997500249975002,True,1.213114095595769
chronos_bolt:e3,aapl,Q3,660,0.05757575757575758,0.42555744425557446,True,1.3543720492100995
chronos_bolt:e3,aapl,Q4,660,0.07575757575757576,0.005499450054994501,False,1.8163536974766974
chronos_bolt:e3,amzn,Q1,660,0.06212121212121212,0.1785821417858214,True,1.1706122940636274
chronos_bolt:e3,amzn,Q2,659,0.08649468892261002,0.00029997000299970003,False,1.4738436256502323
chronos_bolt:e3,amzn,Q3,660,0.07575757575757576,0.005499450054994501,False,1.6334534351902434
chronos_bolt:e3,amzn,Q4,660,0.06515151515151515,0.09049095090490951,True,1.8084159169917078
chronos_bolt:e3,audusd,Q1,684,0.07456140350877193,0.006799320067993201,False,0.17527782108410533
chronos_bolt:e3,audusd,Q2,683,0.07320644216691069,0.0100989901009899,False,0.502510990269516
chronos_bolt:e3,audusd,Q3,683,0.07174231332357248,0.017998200179982,False,0.3173813753735957
chronos_bolt:e3,audusd,Q4,684,0.054093567251461985,0.6532346765323468,True,0.4476949445189607
chronos_bolt:e3,brent,Q1,660,0.07878787878787878,0.0014998500149985001,False,1.4905087438662896
chronos_bolt:e3,brent,Q2,660,0.05606060606060606,0.5364463553644635,True,1.5545106586441755
chronos_bolt:e3,brent,Q3,660,0.06666666666666667,0.07589241075892411,True,1.8047253368078506
chronos_bolt:e3,brent,Q4,661,0.057488653555219364,0.4246575342465753,True,2.2550551323461283
chronos_bolt:e3,btc,Q1,827,0.07859733978234583,0.0006999300069993001,False,1.8693336511023628
chronos_bolt:e3,btc,Q2,827,0.06408706166868199,0.0771922807719228,True,1.9943870074784422
chronos_bolt:e3,btc,Q3,827,0.06408706166868199,0.0771922807719228,True,2.225079345740362
chronos_bolt:e3,btc,Q4,827,0.06408706166868199,0.0771922807719228,True,2.378807071718054
chronos_bolt:e3,copper,Q1,660,0.04393939393939394,0.48325167483251674,True,0.9336862920749543
chronos_bolt:e3,copper,Q2,660,0.06212121212121212,0.1785821417858214,True,1.1298824175094524
chronos_bolt:e3,copper,Q3,660,0.05909090909090909,0.3321667833216678,True,1.2206849984927008
chronos_bolt:e3,copper,Q4,660,0.0803030303030303,0.0010998900109989002,False,1.6403510778530848
chronos_bolt:e3,csi300,Q1,545,0.06422018348623854,0.1698830116988301,True,0.9229077471838889
chronos_bolt:e3,csi300,Q2,545,0.05504587155963303,0.6208379162083791,True,1.058781525328105
chronos_bolt:e3,csi300,Q3,545,0.062385321100917435,0.20267973202679732,True,1.3367729741461576
chronos_bolt:e3,csi300,Q4,545,0.06605504587155964,0.11498850114988501,True,1.6280828317176264
chronos_bolt:e3,dax,Q1,666,0.11261261261261261,9.999000099990002e-05,False,0.9111450603115807
chronos_bolt:e3,dax,Q2,666,0.07357357357357357,0.0100989901009899,False,0.6336769471199547
chronos_bolt:e3,dax,Q3,666,0.06756756756756757,0.0494950504949505,False,0.955296252119886
chronos_bolt:e3,dax,Q4,667,0.0734632683658171,0.0103989601039896,False,1.5670768021557921
chronos_bolt:e3,dgs10,Q1,656,0.04878048780487805,0.9277072292770723,True,2.0309992792809393
chronos_bolt:e3,dgs10,Q2,656,0.06554878048780488,0.0882911708829117,True,2.302533481422775
chronos_bolt:e3,dgs10,Q3,656,0.06707317073170732,0.05909409059094091,True,2.402538971490697
chronos_bolt:e3,dgs10,Q4,657,0.0426179604261796,0.42145785421457854,True,2.6829219382958396
chronos_bolt:e3,dgs2,Q1,656,0.056402439024390245,0.48205179482051796,True,1.5310246664372853
chronos_bolt:e3,dgs2,Q2,656,0.0701219512195122,0.03189681031896811,False,
chronos_bolt:e3,dgs2,Q3,656,0.06402439024390244,0.12938706129387062,True,
chronos_bolt:e3,dgs2,Q4,657,0.0487062404870624,0.9286071392860714,True,2.9665768760125695
