asset,group,model,site,xi_ge1,n,frac
aapl,equity_single,"(E3, all)",e3,0,2639,0.0
aapl,equity_single,chronos_bolt,residual_f1,0,2447,0.0
aapl,equity_single,chronos_bolt,residual_h,0,2447,0.0
aapl,equity_single,chronos_2,residual_f1,0,2447,0.0
aapl,equity_single,chronos_2,residual_h,0,2447,0.0
aapl,equity_single,timesfm_2_5,residual_f1,0,2447,0.0
aapl,equity_single,timesfm_2_5,residual_h,0,2447,0.0
aapl,equity_single,moirai_2_0,residual_f1,0,2447,0.0
aapl,equity_single,moirai_2_0,residual_h,0,2447,0.0
aapl,equity_single,lag_llama,residual_f1,0,2447,0.0
aapl,equity_single,lag_llama,residual_h,0,2447,0.0
aapl,equity_single,(GARCH-EVT),residual_ge,0,2447,0.0
amzn,equity_single,"(E3, all)",e3,0,2639,0.0
amzn,equity_single,chronos_bolt,residual_f1,0,2447,0.0
amzn,equity_single,chronos_bolt,residual_h,0,2447,0.0
amzn,equity_single,chronos_2,residual_f1,0,2447,0.0
amzn,equity_single,chronos_2,residual_h,0,2447,0.0
amzn,equity_single,timesfm_2_5,residual_f1,0,2447,0.0
amzn,equity_single,timesfm_2_5,residual_h,0,2447,0.0
amzn,equity_single,moirai_2_0,residual_f1,0,2447,0.0
amzn,equity_single,moirai_2_0,residual_h,0,2447,0.0
amzn,equity_single,lag_llama,residual_f1,0,2447,0.0
amzn,equity_single,lag_llama,residual_h,0,2447,0.0
amzn,equity_single,(GARCH-EVT),residual_ge,0,2447,0.0
audusd,fx,"(E3, all)",e3,0,2734,0.0
audusd,fx,chronos_bolt,residual_f1,0,2542,0.0
audusd,fx,chronos_bolt,residual_h,0,2542,0.0
audusd,fx,chronos_2,residual_f1,0,2542,0.0
audusd,fx,chronos_2,residual_h,0,2542,0.0
audusd,fx,timesfm_2_5,residual_f1,0,2542,0.0
audusd,fx,timesfm_2_5,residual_h,0,2542,0.0
audusd,fx,moirai_2_0,residual_f1,0,2542,0.0
audusd,fx,moirai_2_0,residual_h,0,2542,0.0
audusd,fx,lag_llama,residual_f1,0,2542,0.0
audusd,fx,lag_llama,residual_h,0,2542,0.0
audusd,fx,(GARCH-EVT),residual_ge,0,2542,0.0
brent,commodity,"(E3, all)",e3,0,2641,0.0
brent,commodity,chronos_bolt,residual_f1,0,2449,0.0
brent,commodity,chronos_bolt,residual_h,0,2449,0.0
brent,commodity,chronos_2,residual_f1,0,2449,0.0
brent,commodity,chronos_2,residual_h,0,2449,0.0
brent,commodity,timesfm_2_5,residual_f1,0,2449,0.0
brent,commodity,timesfm_2_5,residual_h,0,2449,0.0
brent,commodity,moirai_2_0,residual_f1,0,2449,0.0
brent,commodity,moirai_2_0,residual_h,0,2449,0.0
brent,commodity,lag_llama,residual_f1,0,2449,0.0
brent,commodity,lag_llama,residual_h,0,2449,0.0
brent,commodity,(GARCH-EVT),residual_ge,0,2449,0.0
btc,crypto,"(E3, all)",e3,0,3796,0.0
btc,crypto,chronos_bolt,residual_f1,0,3116,0.0
btc,crypto,chronos_bolt,residual_h,0,3116,0.0
btc,crypto,chronos_2,residual_f1,0,3116,0.0
btc,crypto,chronos_2,residual_h,0,3116,0.0
btc,crypto,timesfm_2_5,residual_f1,0,3116,0.0
btc,crypto,timesfm_2_5,residual_h,0,3116,0.0
btc,crypto,moirai_2_0,residual_f1,0,3116,0.0
btc,crypto,moirai_2_0,residual_h,0,3116,0.0
btc,crypto,lag_llama,residual_f1,0,3116,0.0
btc,crypto,lag_llama,residual_h,0,3116,0.0
btc,crypto,(GARCH-EVT),residual_ge,0,3116,0.0
copper,commodity,"(E3, all)",e3,0,2640,0.0
copper,commodity,chronos_bolt,residual_f1,0,2448,0.0
copper,commodity,chronos_bolt,residual_h,0,2448,0.0
copper,commodity,chronos_2,residual_f1,0,2448,0.0
copper,commodity,chronos_2,residual_h,0,2448,0.0
copper,commodity,timesfm_2_5,residual_f1,0,2448,0.0
copper,commodity,timesfm_2_5,residual_h,0,2448,0.0
copper,commodity,moirai_2_0,residual_f1,0,2448,0.0
copper,commodity,moirai_2_0,residual_h,0,2448,0.0
copper,commodity,lag_llama,residual_f1,0,2448,0.0
copper,commodity,lag_llama,residual_h,0,2448,0.0
copper,commodity,(GARCH-EVT),residual_ge,0,2448,0.0
csi300,equity_index,"(E3, all)",e3,0,2639,0.0
csi300,equity_index,chronos_bolt,residual_f1,0,1988,0.0
csi300,equity_index,chronos_bolt,residual_h,0,1988,0.0
csi300,equity_index,chronos_2,residual_f1,0,1988,0.0
csi300,equity_index,chronos_2,residual_h,0,1988,0.0
csi300,equity_index,timesfm_2_5,residual_f1,0,1988,0.0
csi300,equity_index,timesfm_2_5,residual_h,0,1988,0.0
csi300,equity_index,moirai_2_0,residual_f1,0,1988,0.0
csi300,equity_index,moirai_2_0,residual_h,0,1988,0.0
csi300,equity_index,lag_llama,residual_f1,0,1988,0.0
csi300,equity_index,lag_llama,residual_h,0,1988,0.0
csi300,equity_index,(GARCH-EVT),residual_ge,0,1988,0.0
dax,equity_index,"(E3, all)",e3,0,2665,0.0
dax,equity_index,chronos_bolt,residual_f1,0,2473,0.0
dax,equity_index,chronos_bolt,residual_h,0,2473,0.0
dax,equity_index,chronos_2,residual_f1,0,2473,0.0
dax,equity_index,chronos_2,residual_h,0,2473,0.0
dax,equity_index,timesfm_2_5,residual_f1,0,2473,0.0
dax,equity_index,timesfm_2_5,residual_h,0,2473,0.0
dax,equity_index,moirai_2_0,residual_f1,0,2473,0.0
dax,equity_index,moirai_2_0,residual_h,0,2473,0.0
dax,equity_index,lag_llama,residual_f1,0,2473,0.0
dax,equity_index,lag_llama,residual_h,0,2473,0.0
dax,equity_index,(GARCH-EVT),residual_ge,0,2473,0.0
dgs10,rates,"(E3, all)",e3,1,2625,0.0004
dgs10,rates,chronos_bolt,residual_f1,0,2433,0.0
dgs10,rates,chronos_bolt,residual_h,0,2433,0.0
dgs10,rates,chronos_2,residual_f1,0,2433,0.0
dgs10,rates,chronos_2,residual_h,0,2433,0.0
dgs10,rates,timesfm_2_5,residual_f1,0,2433,0.0
dgs10,rates,timesfm_2_5,residual_h,0,2433,0.0
dgs10,rates,moirai_2_0,residual_f1,0,2433,0.0
dgs10,rates,moirai_2_0,residual_h,0,2433,0.0
dgs10,rates,lag_llama,residual_f1,0,2433,0.0
dgs10,rates,lag_llama,residual_h,0,2433,0.0
dgs10,rates,(GARCH-EVT),residual_ge,0,2433,0.0
dgs2,rates,"(E3, all)",e3,23,2625,0.0088
dgs2,rates,chronos_bolt,residual_f1,0,2433,0.0
